종목명,업종명,회계연도,t년_시가총액,t년_tobinQ,t년대비 t+1년 tobinQ 증가율,t년대비 t+1년 시가총액 증가율
AK홀딩스,기타금융,2011,325000000000.0,0.967397902,-30.192200168736772,-48.92307692307693
BYC,섬유의복,2011,111000000000.0,0.586111414,1.9763500118426203,17.117117117117118
CJ,기타금융,2011,2280000000000.0,0.731175551,5.530516295942167,53.508771929824576
CJCGV,서비스업,2011,549000000000.0,1.258420317,4.2983142650580675,20.76502732240437
CJ대한통운,운수창고업,2011,1710000000000.0,0.845711425,17.01714021422851,33.91812865497077
CJ씨푸드,음식료품,2011,98791087100.0,1.803428122,1.634121850518655,10.33384002512916
CJ제일제당,음식료품,2011,3880000000000.0,0.927997504,3.566392458745238,22.164948453608257
CS홀딩스,기타금융,2011,40868662800.0,0.354052891,-15.132063135730744,-4.943502824858759
DB,서비스업,2011,99258844400.0,0.770976153,-4.517546990847066,13.843759398029022
DB하이텍,전기전자,2011,312000000000.0,1.003284544,-1.0930178348287245,-9.615384615384615
DI동일,유통업,2011,108000000000.0,0.510268507,-3.4152258587261897,-12.475002870370366
DL,화학,2011,3210000000000.0,0.867399381,-3.761173654791894,-3.4267912772585674
DN오토모티브,전기전자,2011,265000000000.0,0.674863917,10.759933843077274,41.50943396226414
DRB동일,화학,2011,209000000000.0,0.965489579,-14.697554493231879,-60.28069401913876
DSR제강,철강금속,2011,47808000000.0,0.743630772,-4.334551932716424,-11.144578313253017
E1,유통업,2011,364000000000.0,0.765987762,3.5977317611505244,30.494505494505496
GKL,서비스업,2011,1130000000000.0,3.414414088,13.104117352739797,56.63716814159292
GS,기타금융,2011,4750000000000.0,0.804381977,19.98697753020391,41.68421052631579
GS건설,건설업,2011,4700000000000.0,1.065872715,-14.214706396720178,-37.87234042553192
GS글로벌,유통업,2011,233000000000.0,0.976385059,1.9754330345605808,15.021459227467805
HDC현대EP,화학,2011,170000000000.0,1.14668375,-8.464640228833797,-9.999999999999998
HD현대미포,운수장비,2011,2240000000000.0,0.850652303,4.576372727459721,13.392857142857139
HD현대인프라코어,기계,2011,3010000000000.0,1.06192918,-6.963896688477844,-4.651162790697672
HJ중공업,건설업,2011,896000000000.0,0.862030389,-3.575644941677325,-32.58928571428571
HLB글로벌,광업,2011,21640876920.0,0.731607422,1.6431619798411568,-7.9520697167756005
HMM,운수창고업,2011,3600000000000.0,1.210642633,3.6105347530744014,-6.111111111111112
HS애드,서비스업,2011,146000000000.0,1.111000956,-10.782204403431672,-24.65753424657534
IHQ,서비스업,2011,154000000000.0,3.221560681,-39.265140137212896,-48.7809775
JW중외제약,의약품,2011,146000000000.0,0.963647013,3.8304772911696983,12.328767123287676
JW홀딩스,기타금융,2011,114000000000.0,0.878859282,4.122155018668838,0.0
KCC,화학,2011,3000000000000.0,0.724134161,0.8216908302990378,4.0000000000000036
KCTC,운수창고업,2011,46800000000.0,0.627357306,5.006426433487654,0.9615384615384581
KC그린홀딩스,기타금융,2011,49356956000.0,0.720542762,2.547802152511247,32.72727272727274
KEC,전기전자,2011,104000000000.0,0.869537709,-2.6897398189777766,-11.885426824038458
KG스틸,철강금속,2011,315000000000.0,0.778860981,-2.049438653289015,-34.92063492063492
KG케미칼,화학,2011,81641000000.0,0.767886346,2.495907252399565,49.434720299849346
KH필룩스,전기전자,2011,35559480795.0,0.770811752,-0.3217901119909161,1.7793594306049876
KIB플러그에너지,기계,2011,148000000000.0,1.310703069,-13.51461678770205,-29.054054054054056
KISCO홀딩스,철강금속,2011,122000000000.0,0.280864505,6.7394183540565145,14.754098360655732
KPX케미칼,화학,2011,279000000000.0,0.93632908,-16.486657554200935,-14.336917562724016
KPX홀딩스,화학,2011,181000000000.0,0.410600856,1.3168345659756664,-6.629834254143652
KR모터스,운수장비,2011,79362017035.0,1.079477583,-8.793009090212855,-25.71428571428571
KSS해운,운수창고업,2011,44053172000.0,0.691223986,26.791994020878775,125.0
KT,통신업,2011,9310000000000.0,0.899399475,-1.516765172672574,-0.42964554242749253
KT&G,기타제조업,2011,11200000000000.0,2.030958328,-7.157604121949279,-0.8928571428571397
LF,섬유의복,2011,1180000000000.0,1.302763886,-20.67998137614938,-22.457627118644062
LG,기타금융,2011,10700000000000.0,0.982820856,0.17242358967604066,5.607476635514019
LG디스플레이,전기전자,2011,8770000000000.0,0.945911388,9.435043296042878,26.567844925883687
LG생활건강,화학,2011,7870000000000.0,3.874503784,13.846315267916642,35.95933926302415
LG유플러스,통신업,2011,3810000000000.0,0.995529546,-2.6173131781665804,-10.498687664041995
LG이노텍,전기전자,2011,1370000000000.0,1.01024037,6.92126300595175,21.16788321167884
LG전자,전기전자,2011,11200000000000.0,0.940344763,5.4087421976741545,10.71428571428572
LG화학,화학,2011,21900000000000.0,1.797636841,-4.667019727595811,3.1963470319634757
LS,기타금융,2011,2450000000000.0,0.966250873,5.0285491436756535,24.081632653061224
LSELECTRIC,전기전자,2011,2000000000000.0,1.691473312,-6.570623267392117,0.49999999999998934
LS네트웍스,유통업,2011,347000000000.0,0.668164289,0.178708293702301,-2.8818443804034533
LX하우시스,화학,2011,803000000000.0,1.041558193,-3.640095988376524,-8.717310087173102
MH에탄올,음식료품,2011,19110000000.0,0.82446993,2.947274135273803,1.2820512820512775
NAVER,서비스업,2011,10200000000000.0,4.63388494,-12.098183149968333,6.8627450980392135
NICE,서비스업,2011,176000000000.0,0.657844208,-4.729635318154224,25.0
NI스틸,철강금속,2011,51736867000.0,0.959500107,-6.253369391234465,-6.043956043956045
NPC,화학,2011,106000000000.0,0.942529661,-10.962338934816817,-8.92566037735849
POSCO홀딩스,철강금속,2011,33100000000000.0,0.902690557,-6.032075064678011,-8.157099697885196
S-Oil,화학,2011,11500000000000.0,1.475255555,3.170334986469525,3.4782608695652195
SBS,서비스업,2011,681000000000.0,1.153562942,8.953283799229418,13.656387665198233
SGC에너지,전기가스업,2011,330000000000.0,1.205269927,-3.5944003935974744,3.6363636363636376
SG세계물산,유통업,2011,59310513280.0,0.508168424,82.63479570308763,218.66188563863327
SHD,철강금속,2011,14031840900.0,0.717429401,2.149983535453126,7.792207792207795
SH에너지화학,화학,2011,35998388680.0,0.720716926,99.1255190807049,205.56923249488065
SIMPAC,철강금속,2011,143000000000.0,0.916555182,20.79265010363556,55.244755244755254
SJM홀딩스,유통업,2011,44652683920.0,0.392133015,3.388000625247045,24.916387959866213
SK,기타금융,2011,5850000000000.0,1.777411838,-11.739936605508294,-11.965811965811968
SKC,화학,2011,1380000000000.0,1.072556948,2.004384386310454,10.144927536231885
SK가스,유통업,2011,640000000000.0,0.912267168,1.3663065423395793,18.593750000000007
SK네트웍스,유통업,2011,2510000000000.0,0.931286145,-2.386088327342173,-16.33466135458167
SK디스커버리,기타금융,2011,1380000000000.0,0.940407146,-3.419860656822349,-7.246376811594201
SK이노베이션,화학,2011,13200000000000.0,0.953418359,4.4268326282565384,22.72727272727273
SK텔레콤,통신업,2011,11400000000000.0,0.945304644,3.4930974061733178,7.8947368421052655
SK하이닉스,전기전자,2011,13000000000000.0,1.297289999,10.815168474909353,37.69230769230769
SNT다이내믹스,운수장비,2011,531000000000.0,0.797403198,-18.887325681380073,-27.306967984934083
SNT모티브,운수장비,2011,358000000000.0,0.860774059,-3.5621288396656903,-5.586592178770955
SNT에너지,기계,2011,125000000000.0,0.871268207,-11.608122985256596,-7.199999999999996
SNT홀딩스,기타금융,2011,188000000000.0,0.471483178,-7.809734412199965,-22.872340425531913
SPC삼립,음식료품,2011,105000000000.0,0.854332803,25.08854105184113,104.76190476190474
SUN&L,종이목재,2011,62200000000.0,0.575941409,-2.3828298826139793,7.550795176848868
TBH글로벌,섬유의복,2011,356000000000.0,1.371035291,-8.984114472367743,-14.04494382022472
TCC스틸,철강금속,2011,82240000000.0,0.684805929,6.639585475902021,-4.602383268482491
TKG휴켐스,화학,2011,816000000000.0,1.506087703,18.024717980185258,29.90196078431373
TP,섬유의복,2011,39910050000.0,0.785896305,9.986538491232633,70.57057057057057
TYM,기계,2011,173000000000.0,1.091978953,-26.433905178024062,-55.966434393063594
WISCOM,화학,2011,59277254400.0,0.58370952,4.4043521853129874,8.871989860583017
가온전선,전기전자,2011,64069343800.0,0.615698974,8.166604805808886,43.50649350649351
강남제비스코,화학,2011,94900000000.0,0.453820571,14.581349156162403,34.878819810326654
강원랜드,서비스업,2011,5820000000000.0,2.313946656,1.0226665311682925,7.560137457044669
갤럭시아에스엠,서비스업,2011,33652457160.0,1.185732078,-5.138699553677761,-6.705539358600587
경농,화학,2011,65183708750.0,0.552277869,25.665732406887386,6.322795341098164
경동나비엔,전기전자,2011,76437060000.0,0.651695756,39.68705452180359,94.93162086558536
경동인베스트,기타금융,2011,188000000000.0,0.780464756,8.801379879349746,40.42553191489362
경방,유통업,2011,195000000000.0,0.678550196,-0.6133052535438388,-4.61538461538461
경인양행,화학,2011,151000000000.0,0.9208834,-18.981651857336125,-32.450331125827816
경인전자,전기전자,2011,20106201600.0,0.44199873,-1.3013238748446176,4.6875
계룡건설,건설업,2011,113000000000.0,0.743400634,-2.35167501888357,-36.061028646017704
계양전기,기계,2011,98783000000.0,0.766631545,-16.736263702793497,-17.79557211261047
고려산업,음식료품,2011,17033627275.0,0.687483376,11.426930125507507,60.761346998535885
고려아연,철강금속,2011,5740000000000.0,1.484042825,17.219373706415798,33.10104529616724
고려제강,철강금속,2011,550000000000.0,0.604126513,-7.202828060618494,-16.000000000000004
