,회사명,종합등급,환경,사회,지배구조
0,AJ네트웍스  2022  N  N,KCGS  B+,환경  C,사회  B+,지배구조 B+
1,AK홀딩스  2022  N  N,KCGS  B+,환경  B,사회  A,지배구조 B
2,BGF  2022  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
3,BGF리테일  2022  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
4,BNK금융지주  2022  N  N,KCGS  A,환경  A,사회  A,지배구조 A
5,BYC  2022  N  N,KCGS  D,환경  D,사회  D,지배구조 D
6,CJ  2022  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
7,CJ CGV  2022  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
8,CJ대한통운  2022  N  N,KCGS  B+,환경  B+,사회  A+,지배구조 B
9,CJ씨푸드  2022  N  N,KCGS  B,환경  C,사회  B,지배구조 B
10,CJ제일제당  2022  N  N,KCGS  A,환경  A,사회  A,지배구조 B+
11,CS홀딩스  2022  N  N,KCGS  C,환경  D,사회  D,지배구조 B
12,DB  2022  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
13,DB금융투자  2022  N  N,KCGS  B,환경  C,사회  B,지배구조 B
14,DB손해보험  2022  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
15,DB하이텍  2022  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
16,DGB금융지주  2022  N  N,KCGS  A,환경  A+,사회  A+,지배구조 A
17,DL  2022  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
18,DL건설  2022  N  N,KCGS  A,환경  A,사회  A,지배구조 B+
19,DL이앤씨  2022  N  N,KCGS  A,환경  A,사회  A,지배구조 A
20,DN오토모티브  2022  N  N,KCGS  C,환경  C,사회  D,지배구조 B
21,DRB동일  2022  N  N,KCGS  C,환경  D,사회  B+,지배구조 B
22,DSR  2022  N  N,KCGS  D,환경  D,사회  C,지배구조 D
23,DSR제강  2022  N  N,KCGS  C,환경  D,사회  C,지배구조 B
24,E1  2022  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
25,ESR켄달스퀘어리츠  2022  N  N,KCGS  -,환경  -,사회  -,지배구조 -
26,F&F  2022  N  N,KCGS  -,환경  -,사회  -,지배구조 -
27,F&F 홀딩스  2022  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
28,GKL  2022  N  N,KCGS  A,환경  B,사회  A,지배구조 A
29,GS  2022  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
