Unnamed: 0,종목명,2011 Market Cap,2012 Market Cap,2013 Market Cap,2014 Market Cap,2015 Market Cap,2016 Market Cap,2017 Market Cap,2018 Market Cap,2019 Market Cap,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap,총부채_2011_x,총부채_2012_x,총부채_2013_x,총부채_2014_x,총부채_2015_x,총부채_2016_x,총부채_2017_x,총부채_2018_x,총자산_2011_x,총자산_2012_x,총자산_2013_x,총자산_2014_x,총자산_2015_x,총자산_2016_x,총자산_2017_x,총자산_2018_x,총자산_2019_x,총부채_2011_y,총부채_2012_y,총부채_2013_y,총부채_2014_y,총부채_2015_y,총부채_2016_y,총부채_2017_y,총부채_2018_y,총자산_2011_y,총자산_2012_y,총자산_2013_y,총자산_2014_y,총자산_2015_y,총자산_2016_y,총자산_2017_y,총자산_2018_y,총자산_2019_y,2011 tobinQ,2012 tobinQ,2013 tobinQ,2014 tobinQ,2015 tobinQ,2016 tobinQ,2017 tobinQ,2018 tobinQ
0,AK홀딩스,325000000000.0,166000000000.0,477000000000.0,1060000000000.0,837000000000.0,742000000000.0,907000000000.0,715000000000.0,458000000000.0,333000000000.0,256000000000.0,228000000000.0,227000000000.0,446398508.0,551197541.0,1739973013.0,1946141284.0,1593921534.0,1730525758.0,1792720288.0,1924033598.0,797395267.0,1062012676.0,2374994472.0,2773153876.0,2495514993.0,2741946503.0,2944784347.0,3397931239.0,4327964555.0,446398508.0,551197541.0,1739973013.0,1946141284.0,1593921534.0,1730525758.0,1792720288.0,1924033598.0,797395267.0,1062012676.0,2374994472.0,2773153876.0,2495514993.0,2741946503.0,2944784347.0,3397931239.0,4327964555.0,0.9673979015478656,0.6753191908229164,0.9334644939754622,1.0840153191701216,0.9741161807558012,0.9017410643478189,0.9167803037089425,0.776658917552628
1,BYC,111000000000.0,130000000000.0,132000000000.0,201000000000.0,329000000000.0,285000000000.0,224000000000.0,178000000000.0,174000000000.0,209000000000.0,321000000000.0,259000000000.0,297000000000.0,169119743.0,172109096.0,177223435.0,242958473.0,313347277.0,339167415.0,346484954.0,331027820.0,477929172.0,505456934.0,525157538.0,608388101.0,691464609.0,733018518.0,745823200.0,738431267.0,693882853.0,169119743.0,172109096.0,177223435.0,242958473.0,313347277.0,339167415.0,346484954.0,331027820.0,477929172.0,505456934.0,525157538.0,608388101.0,691464609.0,733018518.0,745823200.0,738431267.0,693882853.0,0.5861114144336015,0.5976950273670595,0.588820330329144,0.7297290533300552,0.9289662386755647,0.8515029288796221,0.7649064201810831,0.6893367639591025
2,CJ,2280000000000.0,3500000000000.0,3470000000000.0,4710000000000.0,7610000000000.0,5620000000000.0,5470000000000.0,3660000000000.0,3230000000000.0,3120000000000.0,2850000000000.0,2870000000000.0,3170000000000.0,12092041534.0,13000982677.0,13522759512.0,13969444303.0,13698687478.0,15755138247.0,17333214255.0,19207738403.0,19656075093.0,21385040866.0,22123704854.0,23039318812.0,23562143506.0,27009587950.0,29325383064.0,31729548648.0,40381364593.0,12092041534.0,13000982677.0,13522759512.0,13969444303.0,13698687478.0,15755138247.0,17333214255.0,19207738403.0,19656075093.0,21385040866.0,22123704854.0,23039318812.0,23562143506.0,27009587950.0,29325383064.0,31729548648.0,40381364593.0,0.7311755508666239,0.7716133338437924,0.768079289799768,0.8107637406914494,0.9043611619025168,0.7913907567405152,0.7775930566783746,0.720707963945192
3,CJCGV,549000000000.0,663000000000.0,921000000000.0,1140000000000.0,2670000000000.0,1490000000000.0,1570000000000.0,868000000000.0,731000000000.0,885000000000.0,951000000000.0,809000000000.0,708000000000.0,625654643.0,659978085.0,720542557.0,863739963.0,972407247.0,1621292084.0,1682438285.0,1683905312.0,933435854.0,1007974719.0,1099174954.0,1254918923.0,1417577427.0,2541773014.0,2460100846.0,2234185993.0,4524046865.0,625654643.0,659978085.0,720542557.0,863739963.0,972407247.0,1621292084.0,1682438285.0,1683905312.0,933435854.0,1007974719.0,1099174954.0,1254918923.0,1417577427.0,2541773014.0,2460100846.0,2234185993.0,4524046865.0,1.2584203166894852,1.312511177177649,1.4934315515708156,1.5967087006783465,2.569459119216068,1.2240637015434142,1.3220751865876965,1.1422080883129053
4,CJ대한통운,1710000000000.0,2290000000000.0,2280000000000.0,4470000000000.0,4360000000000.0,4080000000000.0,3190000000000.0,3810000000000.0,3540000000000.0,3780000000000.0,2870000000000.0,2140000000000.0,2900000000000.0,1330470686.0,1341438819.0,2360513240.0,2262195616.0,2128783996.0,2781927821.0,3526210932.0,4737828935.0,3595163312.0,3669501369.0,4608720687.0,4542856099.0,4500489064.0,5521193039.0,6285983376.0,7868566775.0,9110016110.0,1330470686.0,1341438819.0,2360513240.0,2262195616.0,2128783996.0,2781927821.0,3526210932.0,4737828935.0,3595163312.0,3669501369.0,4608720687.0,4542856099.0,4500489064.0,5521193039.0,6285983376.0,7868566775.0,9110016110.0,0.845711424527354,0.9896273236681276,1.0068983466691046,1.4819301930963498,1.4417953035159292,1.242834252041083,1.0684423629948843,1.0863260336251006
5,CJ제일제당,3880000000000.0,4740000000000.0,3750000000000.0,4240000000000.0,5260000000000.0,4940000000000.0,5020000000000.0,5140000000000.0,3950000000000.0,5960000000000.0,6070000000000.0,5950000000000.0,5060000000000.0,6643045604.0,7142847716.0,8191910984.0,8432650582.0,8366031773.0,9705761673.0,10724270560.0,12188810794.0,11339519300.0,12363882660.0,13004490092.0,13382531013.0,13751265058.0,15766238539.0,16868123895.0,19497022884.0,26280632351.0,6643045604.0,7142847716.0,8191910984.0,8432650582.0,8366031773.0,9705761673.0,10724270560.0,12188810794.0,11339519300.0,12363882660.0,13004490092.0,13382531013.0,13751265058.0,15766238539.0,16868123895.0,19497022884.0,26280632351.0,0.9279975037389813,0.9610935369391479,0.9182913670214822,0.9469546956169643,0.9908929626131274,0.9289318842139586,0.9333741356184175,0.8887926580945177
6,DB,99258844400.0,113000000000.0,80864086080.0,45713706320.0,90243591560.0,134000000000.0,122000000000.0,167000000000.0,177000000000.0,160000000000.0,191000000000.0,162000000000.0,349000000000.0,430206277.0,397390951.0,392079771.0,255603853.0,110370381.0,63423582.0,58372533.0,150848167.0,686746431.0,693327543.0,638356756.0,365853366.0,276200611.0,214971054.0,197512862.0,288416201.0,363158130.0,430206277.0,397390951.0,392079771.0,255603853.0,110370381.0,63423582.0,58372533.0,150848167.0,686746431.0,693327543.0,638356756.0,365853366.0,276200611.0,214971054.0,197512862.0,288416201.0,363158130.0,0.7709761529142916,0.7361469426002596,0.7408770293957694,0.8236019873601491,0.7263342822945457,0.9183728614923198,0.9132191755694371,1.1020468541571282
7,DB손해보험,3780000000000.0,3250000000000.0,3980000000000.0,3890000000000.0,4980000000000.0,4430000000000.0,5040000000000.0,4980000000000.0,3700000000000.0,3100000000000.0,3820000000000.0,4620000000000.0,5930000000000.0,15403498659.0,25183444357.0,27455719181.0,31340890882.0,36051445686.0,40518709028.0,43542601178.0,45636344236.0,17664260394.0,28250023438.0,30313490065.0,34932066498.0,40018390609.0,44863439973.0,48375610761.0,50929102340.0,55779051736.0,15403498659.0,25183444357.0,27455719181.0,31340890882.0,36051445686.0,40518709028.0,43542601178.0,45636344236.0,17664260394.0,28250023438.0,30313490065.0,34932066498.0,40018390609.0,44863439973.0,48375610761.0,50929102340.0,55779051736.0,1.0860063331899272,1.0064927705069893,1.0370207822851691,1.0085544433512719,1.0253147380887468,1.0019006356857905,1.004278817646823,0.9938589511766368
8,DB하이텍,312000000000.0,282000000000.0,336000000000.0,208000000000.0,638000000000.0,709000000000.0,536000000000.0,486000000000.0,1230000000000.0,2280000000000.0,3240000000000.0,1660000000000.0,2600000000000.0,890982181.0,866861695.0,853635085.0,864173902.0,730586221.0,644871257.0,538152775.0,508142309.0,1199043869.0,1157755031.0,1058391832.0,984876636.0,984643712.0,986788572.0,993950720.0,1066533840.0,1088889810.0,890982181.0,866861695.0,853635085.0,864173902.0,730586221.0,644871257.0,538152775.0,508142309.0,1199043869.0,1157755031.0,1058391832.0,984876636.0,984643712.0,986788572.0,993950720.0,1066533840.0,1088889810.0,1.0032845437117197,0.9923184648203873,1.1240025187571554,1.0886377672177818,1.3899303924057356,1.371997300552443,1.0806901724463764,0.9321244874893047
9,DRB동일,209000000000.0,83013349500.0,132000000000.0,222000000000.0,232000000000.0,229000000000.0,149000000000.0,128000000000.0,105000000000.0,137000000000.0,105000000000.0,81314400000.0,117000000000.0,295096996.0,220885847.0,277609051.0,282962974.0,253964151.0,270797494.0,240358582.0,267955160.0,522115419.0,368994998.0,567066429.0,617244613.0,639083096.0,701206828.0,677426447.0,716166879.0,745278927.0,295096996.0,220885847.0,277609051.0,282962974.0,253964151.0,270797494.0,240358582.0,267955160.0,522115419.0,368994998.0,567066429.0,617244613.0,639083096.0,701206828.0,677426447.0,716166879.0,745278927.0,0.9654895788473161,0.8235862224343756,0.7223299247714768,0.8180921523895098,0.760408394529027,0.7127675801810647,0.5747614131752373,0.5528811393133415
