종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조
AJ네트웍스  ,B+,C,A,B+,B+,C,A,B+,B+,C,B+,B+,B,D,B,B,B,D,B,B
AK홀딩스  ,A,A,A+,B+,A,A,A+,B+,B+,B,A,B,B+,B,B+,B+,B+,C,B+,B+
BGF  ,A,A,A+,B+,A,A,A+,B+,B+,A,A+,B,A,A,A+,A,B+,B,A,B+
BGF리테일  ,A,A,A+,A,A,A,A+,A,A,A,A+,A,A,A,A+,A,A,B+,B+,A
BNK금융지주  ,A,A,A+,A,A,A,A+,A,A,A,A,A,A+,A,A+,A+,A+,B+,A+,A+
BYC  ,D,D,D,D,D,D,D,D,D,D,D,D,B,D,B,B+,B,D,B,B+
CJ  ,A,A,A+,B+,A,A,A+,B+,B+,B+,A,B+,A,B+,A+,A,A,B,A,A
CJ CGV  ,A,A,A+,B+,A,A,A+,B+,B+,B,B+,B+,A,B,A,A,A,B,A,A
CJ대한통운  ,A,A,A+,B+,A,A,A+,B+,B+,B+,A+,B,A,A,A+,A,A,A,B,A
CJ씨푸드  ,B+,B+,A,B,B+,B+,A,B,B,C,B,B,B,C,B+,B+,B,C,B+,B+
CJ제일제당  ,A,A,A+,A,A,A,A+,A,A,A,A,B+,A,A,A+,A,A,A,A+,A
CS홀딩스  ,C,D,D,B,C,D,D,B,C,D,D,B,B,D,C,B+,C,D,C,B
DB  ,C,D,B,C,C,D,B,C,B,D,B,B+,B,D,B+,B+,B,D,B,B
DB금융투자  ,B,C,B,B+,B,C,B,B+,B,C,B,B,B,D,B+,B,B,D,A,B
DB손해보험  ,B+,B+,A,B+,B+,B+,A,B+,B+,B+,A,B+,A,A,A+,B+,B+,A,A,B+
