종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조
AJ네트웍스  ,6,3,7,6,6,3,7,6,6,3,6,6,5,1,5,5,5,1,5,5
AK홀딩스  ,7,7,8,6,7,7,8,6,6,5,7,5,6,5,6,6,6,3,6,6
BGF  ,7,7,8,6,7,7,8,6,6,7,8,5,7,7,8,7,6,5,7,6
BGF리테일  ,7,7,8,7,7,7,8,7,7,7,8,7,7,7,8,7,7,6,6,7
BNK금융지주  ,7,7,8,7,7,7,8,7,7,7,7,7,8,7,8,8,8,6,8,8
BYC  ,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,6,5,1,5,6
CJ  ,7,7,8,6,7,7,8,6,6,6,7,6,7,6,8,7,7,5,7,7
CJ CGV  ,7,7,8,6,7,7,8,6,6,5,6,6,7,5,7,7,7,5,7,7
CJ대한통운  ,7,7,8,6,7,7,8,6,6,6,8,5,7,7,8,7,7,7,5,7
CJ씨푸드  ,6,6,7,5,6,6,7,5,5,3,5,5,5,3,6,6,5,3,6,6
CJ제일제당  ,7,7,8,7,7,7,8,7,7,7,7,6,7,7,8,7,7,7,8,7
CS홀딩스  ,3,1,1,5,3,1,1,5,3,1,1,5,5,1,3,6,3,1,3,5
DB  ,3,1,5,3,3,1,5,3,5,1,5,6,5,1,6,6,5,1,5,5
DB금융투자  ,5,3,5,6,5,3,5,6,5,3,5,5,5,1,6,5,5,1,7,5
DB손해보험  ,6,6,7,6,6,6,7,6,6,6,7,6,7,7,8,6,6,7,7,6
DB하이텍  ,6,7,7,5,6,7,7,5,5,5,6,5,7,7,7,7,6,6,7,6
DGB금융지주  ,7,8,8,7,7,8,8,7,7,8,8,7,8,7,8,8,8,7,8,8
DL  ,7,7,7,7,7,7,7,7,7,7,8,7,7,8,8,6,6,7,6,6
DL건설  ,7,7,8,6,7,7,8,6,7,7,7,6,6,6,7,6,5,5,6,5
DL이앤씨  ,7,7,6,7,7,7,6,7,7,7,7,7,-,-,-,-,,,,
DN오토모티브  ,3,3,5,1,3,3,5,1,3,3,1,5,5,5,3,6,5,5,3,5
DRB동일  ,6,5,7,6,6,5,7,6,3,1,6,5,6,5,6,6,5,5,5,5
DSR  ,1,3,3,1,1,3,3,1,1,1,3,1,5,5,5,5,3,5,5,3
DSR제강  ,3,3,3,5,3,3,3,5,3,1,3,5,3,3,3,6,3,3,5,3
E1  ,7,7,7,6,7,7,7,6,6,6,6,6,6,6,7,6,5,3,7,6
ESR켄달스퀘어리츠  ,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
F&F  ,6,6,8,5,6,6,8,5,-,-,-,-,-,-,-,-,,,,
F&F 홀딩스  ,7,6,8,6,7,6,8,6,5,5,6,5,6,6,7,6,1,1,3,3
GKL  ,6,5,7,6,6,5,7,6,7,5,7,7,6,6,6,6,6,3,7,7
GS  ,5,6,8,3,5,6,8,3,7,6,8,7,7,7,7,7,6,3,7,7
GS건설  ,7,7,6,7,7,7,6,7,7,7,7,7,7,7,8,7,7,7,6,7
GS글로벌  ,6,6,6,6,6,6,6,6,6,3,6,6,6,5,6,7,5,1,6,6
GS리테일  ,7,8,7,7,7,8,7,7,7,6,7,7,7,7,7,7,5,3,5,6
HDC  ,6,6,7,5,6,6,7,5,3,1,5,3,6,5,6,7,6,3,6,6
HDC랩스  ,1,1,1,3,1,1,1,3,1,1,1,1,5,3,5,6,3,1,3,5
HDC현대EP  ,6,6,6,5,6,6,6,5,3,3,5,3,6,5,6,6,5,5,6,5
HDC현대산업개발  ,6,6,7,5,6,6,7,5,3,1,3,5,5,5,3,6,3,3,3,6
HD한국조선해양  ,7,7,8,7,7,7,8,7,6,6,7,6,7,7,6,7,6,6,3,7
HD현대  ,7,6,8,6,7,6,8,6,7,6,7,7,7,7,8,7,7,6,7,7
