종목명,2024통합등급,2024환경,2024사회,2024지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021-2020통합등급,2021-2020환경,2021-2020사회,2021-2020지배구조,2022-2021통합등급,2022-2021환경,2022-2021사회,2022-2021지배구조,2023-2022통합등급,2023-2022환경,2023-2022사회,2023-2022지배구조,2024-2023통합등급,2024-2023환경,2024-2023사회,2024-2023지배구조,종목코드,시장구분,업종명,시가총액
AJ네트웍스,6.0,3.0,7.0,6.0,6.0,3.0,7.0,6.0,6.0,3.0,6.0,6.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95570,KOSPI,서비스업,213593022480.0
AK홀딩스,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,5.0,7.0,5.0,6.0,5.0,6.0,6.0,6.0,3.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6840,KOSPI,기타금융,195931427190.0
BGF,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,7.0,8.0,5.0,7.0,7.0,8.0,7.0,6.0,5.0,7.0,6.0,1.0,2.0,1.0,1.0,-1.0,0.0,0.0,-2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27410,KOSPI,기타금융,351280622970.0
BGF리테일,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,6.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282330,KOSPI,유통업,2231352264600.0
BNK금융지주,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,138930,KOSPI,기타금융,2589591041520.0
BYC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,6.0,5.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,-4.0,0.0,-4.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460,KOSPI,섬유의복,246410617500.0
CJ,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,8.0,7.0,7.0,5.0,7.0,7.0,0.0,1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1040,KOSPI,기타금융,3574182255000.0
CJCGV,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,5.0,6.0,6.0,7.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,79160,KOSPI,서비스업,710106406200.0
CJ대한통운,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,8.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0,5.0,7.0,0.0,0.0,3.0,0.0,-1.0,-1.0,0.0,-2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,120,KOSPI,운수창고업,2817324484000.0
CJ씨푸드,6.0,6.0,7.0,5.0,6.0,6.0,7.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,6.0,6.0,5.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,11150,KOSPI,음식료품,98809625750.0
CJ제일제당,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,97950,KOSPI,음식료품,5223802542000.0
CS홀딩스,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,6.0,3.0,1.0,3.0,5.0,2.0,0.0,0.0,1.0,-2.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590,KOSPI,기타금융,73540503400.0
