,회사명,종합등급,환경,사회,지배구조
0,AJ네트웍스  2020  N  N,KCGS  B,환경  D,사회  B,지배구조 B
1,AK홀딩스  2020  N  N,KCGS  B+,환경  C,사회  B+,지배구조 B+
2,BGF  2020  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
3,BGF리테일  2020  N  N,KCGS  A,환경  B+,사회  B+,지배구조 A
4,BNK금융지주  2020  N  N,KCGS  A+,환경  B+,사회  A+,지배구조 A+
5,BYC  2020  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
6,CJ  2020  N  N,KCGS  A,환경  B,사회  A,지배구조 A
7,CJ CGV  2020  N  N,KCGS  A,환경  B,사회  A,지배구조 A
8,CJ대한통운  2020  N  N,KCGS  A,환경  A,사회  B,지배구조 A
9,CJ씨푸드  2020  N  N,KCGS  B,환경  C,사회  B+,지배구조 B+
10,CJ제일제당  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
11,CS홀딩스  2020  N  N,KCGS  C,환경  D,사회  C,지배구조 B
12,DB  2020  N  N,KCGS  B,환경  D,사회  B,지배구조 B
13,DB금융투자  2020  N  N,KCGS  B,환경  D,사회  A,지배구조 B
14,DB손해보험  2020  N  N,KCGS  B+,환경  A,사회  A,지배구조 B+
15,DB하이텍  2020  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
16,DGB금융지주  2020  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
17,DL  2020  N  N,KCGS  B+,환경  A,사회  B+,지배구조 B+
18,DL건설  2020  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
19,DN오토모티브  2020  N  N,KCGS  B,환경  B,사회  C,지배구조 B
20,DRB동일  2020  N  N,KCGS  B,환경  B,사회  B,지배구조 B
21,DSR  2020  N  N,KCGS  C,환경  B,사회  B,지배구조 C
22,DSR제강  2020  N  N,KCGS  C,환경  C,사회  B,지배구조 C
23,E1  2020  N  N,KCGS  B,환경  C,사회  A,지배구조 B+
24,F&F 홀딩스  2020  N  N,KCGS  D,환경  D,사회  C,지배구조 C
25,GKL  2020  N  N,KCGS  B+,환경  C,사회  A,지배구조 A
26,GS  2020  N  N,KCGS  B+,환경  C,사회  A,지배구조 A
27,GS건설  2020  N  N,KCGS  A,환경  A,사회  B+,지배구조 A
28,GS글로벌  2020  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
29,GS리테일  2020  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
30,HDC  2020  N  N,KCGS  B+,환경  C,사회  B+,지배구조 B+
31,HDC랩스  2020  N  N,KCGS  C,환경  D,사회  C,지배구조 B
32,HDC현대EP  2020  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
33,HDC현대산업개발  2020  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
34,HD한국조선해양  2020  N  N,KCGS  B+,환경  B+,사회  C,지배구조 A
35,HD현대  2020  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
36,HD현대건설기계  2020  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
37,HD현대미포  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
38,HD현대인프라코어  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
39,HD현대일렉트릭  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
40,HJ중공업  2020  N  N,KCGS  B,환경  B,사회  B,지배구조 B+
41,HL D&I  2020  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
42,HLB글로벌  2020  N  N,KCGS  C,환경  D,사회  B,지배구조 C
43,HL만도  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
44,HL홀딩스  2020  N  N,KCGS  B+,환경  B,사회  B+,지배구조 A
45,HMM  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
46,HS애드  2020  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
47,JB금융지주  2020  N  N,KCGS  A+,환경  A,사회  A,지배구조 A+
48,JW생명과학  2020  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
49,JW중외제약  2020  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
50,JW홀딩스  2020  N  N,KCGS  B+,환경  C,사회  B+,지배구조 B+
51,KB금융  2020  N  N,KCGS  A+,환경  A+,사회  A+,지배구조 A+
52,KC그린홀딩스  2020  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
53,KC코트렐  2020  N  N,KCGS  B,환경  B,사회  B,지배구조 B
54,KEC  2020  N  N,KCGS  B,환경  B+,사회  B+,지배구조 C
55,KG모빌리티  2020  N  N,KCGS  B+,환경  B+,사회  B,지배구조 B+
56,KG스틸  2020  N  N,KCGS  B,환경  B,사회  B+,지배구조 B
57,KG케미칼  2020  N  N,KCGS  D,환경  C,사회  C,지배구조 D
58,KH 필룩스  2020  N  N,KCGS  C,환경  C,사회  B,지배구조 B
59,KIB플러그에너지  2020  N  N,KCGS  C,환경  B,사회  C,지배구조 C
60,KISCO홀딩스  2020  N  N,KCGS  C,환경  B,사회  B,지배구조 C
61,KPX케미칼  2020  N  N,KCGS  B,환경  B,사회  C,지배구조 B
62,KPX홀딩스  2020  N  N,KCGS  C,환경  C,사회  C,지배구조 B
63,KR모터스  2020  N  N,KCGS  C,환경  D,사회  C,지배구조 B
64,KSS해운  2020  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
65,KTcs  2020  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
66,KTis  2020  N  N,KCGS  B,환경  D,사회  B+,지배구조 B+
67,LF  2020  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
68,LG  2020  N  N,KCGS  A,환경  B+,사회  A+,지배구조 B+
69,LG디스플레이  2020  N  N,KCGS  B+,환경  B,사회  A,지배구조 B+
70,LG생활건강  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
71,LG유플러스  2020  N  N,KCGS  B,환경  B+,사회  B+,지배구조 B
72,LG이노텍  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 B+
73,LG전자  2020  N  N,KCGS  B+,환경  A,사회  A+,지배구조 B
74,LG헬로비전  2020  N  N,KCGS  B+,환경  D,사회  B+,지배구조 A
75,LG화학  2020  N  N,KCGS  B,환경  C,사회  A,지배구조 B+
76,LIG넥스원  2020  N  N,KCGS  A,환경  B+,사회  A,지배구조 A
77,LS  2020  N  N,KCGS  B+,환경  B,사회  B+,지배구조 A
78,LS네트웍스  2020  N  N,KCGS  B,환경  D,사회  B+,지배구조 B
79,LS에코에너지  2020  N  N,KCGS  B,환경  D,사회  C,지배구조 B+
80,LX세미콘  2020  N  N,KCGS  B,환경  C,사회  B+,지배구조 B+
81,LX인터내셔널  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
82,LX하우시스  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
83,MH에탄올  2020  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
84,NAVER  2020  N  N,KCGS  A,환경  B+,사회  B+,지배구조 A+
85,NH투자증권  2020  N  N,KCGS  B+,환경  B,사회  A+,지배구조 B+
86,NICE  2020  N  N,KCGS  B,환경  D,사회  B,지배구조 B+
87,NICE평가정보  2020  N  N,KCGS  B,환경  D,사회  B,지배구조 B
88,NI스틸  2020  N  N,KCGS  C,환경  D,사회  C,지배구조 B
89,OCI홀딩스  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
90,PI첨단소재  2020  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
91,POSCO홀딩스  2020  N  N,KCGS  A,환경  A,사회  B,지배구조 A+
92,S-Oil  2020  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
93,SBS  2020  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
94,SGC에너지  2020  N  N,KCGS  C,환경  C,사회  B,지배구조 C
95,SG글로벌  2020  N  N,KCGS  D,환경  C,사회  C,지배구조 D
96,SG세계물산  2020  N  N,KCGS  C,환경  D,사회  B,지배구조 C
97,SHD  2020  N  N,KCGS  D,환경  D,사회  C,지배구조 D
98,SH에너지화학  2020  N  N,KCGS  C,환경  C,사회  C,지배구조 B+
99,SIMPAC  2020  N  N,KCGS  C,환경  C,사회  B,지배구조 C
100,SK  2020  N  N,KCGS  A+,환경  A,사회  A+,지배구조 A+
101,SKC  2020  N  N,KCGS  B+,환경  B+,사회  A+,지배구조 B
102,SK가스  2020  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
103,SK네트웍스  2020  N  N,KCGS  A,환경  B+,사회  A+,지배구조 A
104,SK디스커버리  2020  N  N,KCGS  A,환경  B,사회  A,지배구조 A
105,SK디앤디  2020  N  N,KCGS  B,환경  C,사회  B,지배구조 B+
106,SK렌터카  2020  N  N,KCGS  B,환경  B,사회  C,지배구조 B
107,SK이노베이션  2020  N  N,KCGS  A,환경  A,사회  A,지배구조 A
108,SK증권  2020  N  N,KCGS  B,환경  D,사회  A,지배구조 B
109,SK케미칼  2020  N  N,KCGS  B+,환경  B+,사회  A,지배구조 B+
110,SK텔레콤  2020  N  N,KCGS  A,환경  A+,사회  A,지배구조 A
111,SK하이닉스  2020  N  N,KCGS  A,환경  A,사회  A+,지배구조 A
112,SNT다이내믹스  2020  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B+
113,SNT모티브  2020  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
114,SNT에너지  2020  N  N,KCGS  B+,환경  B,사회  B,지배구조 B+
115,SNT홀딩스  2020  N  N,KCGS  B+,환경  C,사회  B+,지배구조 B+
116,SPC삼립  2020  N  N,KCGS  B+,환경  B,사회  A,지배구조 B
117,STX  2020  N  N,KCGS  B,환경  C,사회  B+,지배구조 B
118,STX엔진  2020  N  N,KCGS  B+,환경  B+,사회  B+,지배구조 B
119,STX중공업  2020  N  N,KCGS  B,환경  C,사회  B+,지배구조 B+
120,SUN&L  2020  N  N,KCGS  B+,환경  B,사회  B,지배구조 B+
121,TCC스틸  2020  N  N,KCGS  C,환경  B,사회  B,지배구조 C
122,TP  2020  N  N,KCGS  C,환경  D,사회  B+,지배구조 B
123,TYM  2020  N  N,KCGS  B+,환경  B,사회  B+,지배구조 B+
