,종목명,2020사회,2021사회,2022사회,2023사회,2024사회,종목코드,시장구분,업종명,시가총액,2021-2020사회차이,2022-2021사회차이,2023-2022사회차이,2024-2023사회차이
0,AK홀딩스,4.0,4.0,5.0,6.0,6.0,6840.0,KOSPI,기타금융,195931000000.0,0.0,1.0,1.0,0.0
1,BYC,3.0,3.0,1.0,1.0,1.0,1460.0,KOSPI,섬유의복,246411000000.0,0.0,-2.0,0.0,0.0
2,CJ,5.0,6.0,5.0,6.0,6.0,1040.0,KOSPI,기타금융,3574180000000.0,1.0,-1.0,1.0,0.0
3,CJCGV,5.0,5.0,4.0,6.0,6.0,79160.0,KOSPI,서비스업,710106000000.0,0.0,-1.0,2.0,0.0
4,CJ대한통운,3.0,6.0,6.0,6.0,6.0,120.0,KOSPI,운수창고업,2817320000000.0,3.0,0.0,0.0,0.0
5,CJ씨푸드,4.0,4.0,3.0,5.0,5.0,11150.0,KOSPI,음식료품,98809625750.0,0.0,-1.0,2.0,0.0
6,CJ제일제당,6.0,6.0,5.0,6.0,6.0,97950.0,KOSPI,음식료품,5223800000000.0,0.0,-1.0,1.0,0.0
7,CS홀딩스,2.0,2.0,1.0,1.0,1.0,590.0,KOSPI,기타금융,73540503400.0,0.0,-1.0,0.0,0.0
8,DB,3.0,4.0,3.0,3.0,3.0,12030.0,KOSPI,서비스업,291300000000.0,1.0,-1.0,0.0,0.0
9,DB금융투자,5.0,4.0,3.0,3.0,3.0,16610.0,KOSPI,증권,174030000000.0,-1.0,-1.0,0.0,0.0
10,DB손해보험,5.0,6.0,5.0,5.0,5.0,5830.0,KOSPI,보험,6605640000000.0,1.0,-1.0,0.0,0.0
11,DB하이텍,5.0,5.0,4.0,5.0,5.0,990.0,KOSPI,전기전자,1818120000000.0,0.0,-1.0,1.0,0.0
12,DRB동일,3.0,4.0,4.0,5.0,5.0,4840.0,KOSPI,화학,115793000000.0,1.0,0.0,1.0,0.0
13,DSR제강,3.0,2.0,2.0,2.0,2.0,69730.0,KOSPI,철강금속,59616000000.0,-1.0,0.0,0.0,0.0
14,E1,5.0,5.0,4.0,5.0,5.0,17940.0,KOSPI,유통업,454818000000.0,0.0,-1.0,1.0,0.0
15,GKL,5.0,4.0,5.0,5.0,5.0,114090.0,KOSPI,서비스업,856082000000.0,-1.0,1.0,0.0,0.0
16,GS,5.0,5.0,6.0,6.0,6.0,78930.0,KOSPI,기타금융,4157960000000.0,0.0,1.0,0.0,0.0
17,GS건설,4.0,6.0,5.0,4.0,4.0,6360.0,KOSPI,건설업,1258050000000.0,2.0,-1.0,-1.0,0.0
18,GS글로벌,4.0,4.0,4.0,4.0,4.0,1250.0,KOSPI,유통업,198081000000.0,0.0,0.0,0.0,0.0
19,JW중외제약,4.0,4.0,4.0,5.0,5.0,1060.0,KOSPI,의약품,690428000000.0,0.0,0.0,1.0,0.0
20,JW홀딩스,4.0,4.0,4.0,5.0,5.0,96760.0,KOSPI,기타금융,219927000000.0,0.0,0.0,1.0,0.0
21,KB금융,6.0,6.0,6.0,6.0,6.0,105560.0,KOSPI,기타금융,28044000000000.0,0.0,0.0,0.0,0.0
22,KC그린홀딩스,4.0,2.0,1.0,1.0,1.0,9440.0,KOSPI,기타금융,54404826500.0,-2.0,-1.0,0.0,0.0
23,KEC,4.0,4.0,1.0,2.0,2.0,92220.0,KOSPI,전기전자,260189000000.0,0.0,-3.0,1.0,0.0
24,주성코퍼레이션,2.0,2.0,1.0,1.0,1.0,109070.0,KOSPI,전기전자,216522000000.0,0.0,-1.0,0.0,0.0
25,KG케미칼,2.0,2.0,1.0,1.0,1.0,1390.0,KOSPI,화학,378634000000.0,0.0,-1.0,0.0,0.0
26,KISCO홀딩스,3.0,3.0,1.0,1.0,1.0,1940.0,KOSPI,철강금속,373674000000.0,0.0,-2.0,0.0,0.0
27,그린케미칼,3.0,2.0,1.0,2.0,2.0,83420.0,KOSPI,화학,171120000000.0,-1.0,-1.0,1.0,0.0
28,KPX케미칼,2.0,2.0,2.0,2.0,2.0,25000.0,KOSPI,화학,217074000000.0,0.0,0.0,0.0,0.0
29,KPX홀딩스,2.0,2.0,2.0,2.0,2.0,92230.0,KOSPI,화학,238270000000.0,0.0,0.0,0.0,0.0
30,KR모터스,2.0,2.0,1.0,1.0,1.0,40.0,KOSPI,운수장비,31696560384.0,0.0,-1.0,0.0,0.0
31,KSS해운,4.0,6.0,5.0,5.0,5.0,44450.0,KOSPI,운수창고업,187457000000.0,2.0,-1.0,0.0,0.0
32,다올투자증권,3.0,5.0,3.0,4.0,4.0,30210.0,KOSPI,증권,187911000000.0,2.0,-2.0,1.0,0.0
33,LF,3.0,3.0,3.0,3.0,3.0,93050.0,KOSPI,섬유의복,437138000000.0,0.0,0.0,0.0,0.0
34,LG,6.0,6.0,6.0,6.0,6.0,3550.0,KOSPI,기타금융,12426800000000.0,0.0,0.0,0.0,0.0
35,LG디스플레이,5.0,5.0,5.0,6.0,6.0,34220.0,KOSPI,전기전자,5065000000000.0,0.0,0.0,1.0,0.0
36,LG생활건강,6.0,6.0,6.0,6.0,6.0,51900.0,KOSPI,화학,5973960000000.0,0.0,0.0,0.0,0.0
37,LG유플러스,4.0,6.0,4.0,5.0,5.0,32640.0,KOSPI,통신업,4243860000000.0,2.0,-2.0,1.0,0.0
38,LG이노텍,6.0,6.0,6.0,6.0,6.0,11070.0,KOSPI,전기전자,4366580000000.0,0.0,0.0,0.0,0.0
39,LG전자,6.0,6.0,6.0,5.0,5.0,66570.0,KOSPI,전기전자,15055600000000.0,0.0,0.0,-1.0,0.0
40,LX하우시스,6.0,6.0,5.0,5.0,5.0,108670.0,KOSPI,화학,352878000000.0,0.0,-1.0,0.0,0.0
41,LG화학,5.0,5.0,5.0,6.0,6.0,51910.0,KOSPI,화학,26683900000000.0,0.0,0.0,1.0,0.0
42,LS,4.0,6.0,5.0,5.0,5.0,6260.0,KOSPI,기타금융,4079740000000.0,2.0,-1.0,0.0,0.0
43,LS네트웍스,4.0,2.0,4.0,5.0,5.0,680.0,KOSPI,유통업,344369000000.0,-2.0,2.0,1.0,0.0
44,LSELECTRIC,6.0,6.0,5.0,6.0,6.0,10120.0,KOSPI,전기전자,4758000000000.0,0.0,-1.0,1.0,0.0
45,MH에탄올,3.0,1.0,1.0,1.0,1.0,23150.0,KOSPI,음식료품,45082793860.0,-2.0,0.0,0.0,0.0
46,NAVER,4.0,5.0,5.0,6.0,6.0,35420.0,KOSPI,서비스업,29379700000000.0,1.0,0.0,1.0,0.0
47,NH투자증권,6.0,6.0,5.0,5.0,5.0,5940.0,KOSPI,증권,3853960000000.0,0.0,-1.0,0.0,0.0
48,NICE,3.0,5.0,4.0,5.0,5.0,34310.0,KOSPI,서비스업,461293000000.0,2.0,-1.0,1.0,0.0
49,NI스틸,2.0,2.0,1.0,1.0,1.0,8260.0,KOSPI,철강금속,126699000000.0,0.0,-1.0,0.0,0.0
50,SNT에너지,3.0,3.0,2.0,2.0,2.0,100840.0,KOSPI,기계,76193116650.0,0.0,-1.0,0.0,0.0
51,SNT모티브,4.0,3.0,1.0,2.0,2.0,64960.0,KOSPI,운수장비,666084000000.0,-1.0,-2.0,1.0,0.0
52,SNT다이내믹스,4.0,2.0,2.0,2.0,2.0,3570.0,KOSPI,운수장비,540356000000.0,-2.0,0.0,0.0,0.0
53,SNT홀딩스,4.0,3.0,2.0,2.0,2.0,36530.0,KOSPI,기타금융,366837000000.0,-1.0,-1.0,0.0,0.0
54,S-Oil,6.0,6.0,6.0,6.0,6.0,10950.0,KOSPI,화학,8567550000000.0,0.0,0.0,0.0,0.0
55,SBS,3.0,4.0,1.0,5.0,5.0,34120.0,KOSPI,서비스업,422968000000.0,1.0,-3.0,4.0,0.0
56,SG세계물산,3.0,3.0,1.0,1.0,1.0,4060.0,KOSPI,유통업,82791808640.0,0.0,-2.0,0.0,0.0
57,SG글로벌,2.0,2.0,1.0,1.0,1.0,1380.0,KOSPI,운수장비,91502031005.0,0.0,-1.0,0.0,0.0
58,SH에너지화학,2.0,1.0,1.0,1.0,1.0,2360.0,KOSPI,화학,71236720930.0,-1.0,0.0,0.0,0.0
59,SIMPAC,3.0,3.0,2.0,2.0,2.0,9160.0,KOSPI,철강금속,287236000000.0,0.0,-1.0,0.0,0.0
