,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액,2012-2011지배구조차이,2013-2012지배구조차이,2014-2013지배구조차이,2015-2014지배구조차이,2016-2015지배구조차이,2017-2016지배구조차이,2018-2017지배구조차이
0,AK홀딩스,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,6840.0,KOSPI,기타금융,195931000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1,BYC,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1460.0,KOSPI,섬유의복,246411000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CJ대한통운,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,120.0,KOSPI,운수창고업,2817320000000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,CJ제일제당,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,97950.0,KOSPI,음식료품,5223800000000.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,DB손해보험,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5830.0,KOSPI,보험,6605640000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,DB하이텍,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,990.0,KOSPI,전기전자,1818120000000.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
6,DRB동일,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4840.0,KOSPI,화학,115793000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,E1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17940.0,KOSPI,유통업,454818000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,GS건설,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6360.0,KOSPI,건설업,1258050000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,GS글로벌,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1250.0,KOSPI,유통업,198081000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,JW중외제약,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1060.0,KOSPI,의약품,690428000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,KB금융,5.0,5.0,6.0,5.0,4.0,5.0,5.0,6.0,105560.0,KOSPI,기타금융,28044000000000.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0
12,KC그린홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9440.0,KOSPI,기타금융,54404826500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,KEC,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,92220.0,KOSPI,전기전자,260189000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,KG케미칼,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1390.0,KOSPI,화학,378634000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
