,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액,2012-2011사회차이,2013-2012사회차이,2014-2013사회차이,2015-2014사회차이,2016-2015사회차이,2017-2016사회차이,2018-2017사회차이
0,AK홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6840.0,KOSPI,기타금융,195931000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BYC,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1460.0,KOSPI,섬유의복,246411000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CJ,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,1040.0,KOSPI,기타금융,3574180000000.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
3,CJCGV,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,79160.0,KOSPI,서비스업,710106000000.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0
4,CJ대한통운,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,120.0,KOSPI,운수창고업,2817320000000.0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0
5,CJ제일제당,4.0,3.0,5.0,5.0,4.0,4.0,5.0,6.0,97950.0,KOSPI,음식료품,5223800000000.0,-1.0,2.0,0.0,-1.0,0.0,1.0,1.0
6,DB,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12030.0,KOSPI,서비스업,291300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DB금융투자,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,16610.0,KOSPI,증권,174030000000.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
8,DB손해보험,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5830.0,KOSPI,보험,6605640000000.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
9,DB하이텍,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,990.0,KOSPI,전기전자,1818120000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
