,종목명,2011통합등급,2012통합등급,2013통합등급,2014통합등급,2015통합등급,2016통합등급,2017통합등급,2018통합등급,종목코드,시장구분,업종명,시가총액,2012-2011통합등급차이,2013-2012통합등급차이,2014-2013통합등급차이,2015-2014통합등급차이,2016-2015통합등급차이,2017-2016통합등급차이,2018-2017통합등급차이
0,AK홀딩스,3,3,3,3,3,3,3,3,6840.0,KOSPI,기타금융,195931000000.0,0,0,0,0,0,0,0
1,BYC,3,3,3,3,3,3,3,3,1460.0,KOSPI,섬유의복,246411000000.0,0,0,0,0,0,0,0
2,CJ,3,3,4,4,4,4,5,5,1040.0,KOSPI,기타금융,3574180000000.0,0,1,0,0,0,1,0
3,CJCGV,3,3,3,3,3,3,3,4,79160.0,KOSPI,서비스업,710106000000.0,0,0,0,0,0,0,1
4,CJ대한통운,4,3,4,4,4,5,4,4,120.0,KOSPI,운수창고업,2817320000000.0,-1,1,0,0,1,-1,0
5,CJ제일제당,4,4,4,4,4,4,5,5,97950.0,KOSPI,음식료품,5223800000000.0,0,0,0,0,0,1,0
6,DB,3,3,3,3,3,3,3,3,12030.0,KOSPI,서비스업,291300000000.0,0,0,0,0,0,0,0
7,DB손해보험,5,4,4,5,5,5,5,4,5830.0,KOSPI,보험,6605640000000.0,-1,0,1,0,0,0,-1
8,DB하이텍,3,3,4,3,3,4,3,4,990.0,KOSPI,전기전자,1818120000000.0,0,1,-1,0,1,-1,1
9,DRB동일,3,3,3,3,3,3,3,3,4840.0,KOSPI,화학,115793000000.0,0,0,0,0,0,0,0
10,DSR제강,3,3,3,3,3,3,3,3,69730.0,KOSPI,철강금속,59616000000.0,0,0,0,0,0,0,0
11,E1,3,3,3,3,3,4,3,3,17940.0,KOSPI,유통업,454818000000.0,0,0,0,0,1,-1,0
12,GS건설,5,5,5,5,4,4,5,4,6360.0,KOSPI,건설업,1258050000000.0,0,0,0,-1,0,1,-1
13,GS글로벌,3,3,3,3,3,3,3,3,1250.0,KOSPI,유통업,198081000000.0,0,0,0,0,0,0,0
