,종목명,2011환경,2012환경,2013환경,2014환경,2015환경,2016환경,2017환경,2018환경,종목코드,시장구분,업종명,시가총액,2012-2011환경차이,2013-2012환경차이,2014-2013환경차이,2015-2014환경차이,2016-2015환경차이,2017-2016환경차이,2018-2017환경차이
0,AK홀딩스,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,6840.0,KOSPI,기타금융,195931000000.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0
1,BYC,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,1460.0,KOSPI,섬유의복,246411000000.0,-1.0,1.0,-1.0,0.0,0.0,1.0,1.0
2,CJ,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,1040.0,KOSPI,기타금융,3574180000000.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
3,CJCGV,3.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0,79160.0,KOSPI,서비스업,710106000000.0,0.0,0.0,-1.0,1.0,-1.0,2.0,1.0
4,CJ대한통운,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,120.0,KOSPI,운수창고업,2817320000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,CJ씨푸드,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,11150.0,KOSPI,음식료품,98809625750.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,CJ제일제당,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,97950.0,KOSPI,음식료품,5223800000000.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
7,CS홀딩스,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,590.0,KOSPI,기타금융,73540503400.0,-1.0,0.0,0.0,1.0,-1.0,1.0,0.0
8,DB,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,12030.0,KOSPI,서비스업,291300000000.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
9,DB금융투자,3.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,16610.0,KOSPI,증권,174030000000.0,0.0,-1.0,1.0,2.0,-1.0,1.0,-1.0
10,DB손해보험,5.0,4.0,4.0,6.0,5.0,6.0,5.0,4.0,5830.0,KOSPI,보험,6605640000000.0,-1.0,0.0,2.0,-1.0,1.0,-1.0,-1.0
11,DB하이텍,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,990.0,KOSPI,전기전자,1818120000000.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
12,DRB동일,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4840.0,KOSPI,화학,115793000000.0,1.0,-1.0,0.0,0.0,1.0,0.0,-1.0
13,DSR제강,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,69730.0,KOSPI,철강금속,59616000000.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
14,E1,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,17940.0,KOSPI,유통업,454818000000.0,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0
15,F&F,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,383220.0,KOSPI,섬유의복,2528270000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
16,GKL,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,114090.0,KOSPI,서비스업,856082000000.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0
17,GS,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,78930.0,KOSPI,기타금융,4157960000000.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
18,GS건설,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,6360.0,KOSPI,건설업,1258050000000.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0
19,GS글로벌,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1250.0,KOSPI,유통업,198081000000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,JW중외제약,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,1060.0,KOSPI,의약품,690428000000.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0
21,JW홀딩스,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,96760.0,KOSPI,기타금융,219927000000.0,0.0,0.0,0.0,0.0,-1.0,2.0,-1.0
22,KB금융,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,105560.0,KOSPI,기타금융,28044000000000.0,0.0,0.0,-1.0,0.0,1.0,-1.0,1.0
23,KC그린홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9440.0,KOSPI,기타금융,54404826500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,KEC,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,92220.0,KOSPI,전기전자,260189000000.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0
25,KG케미칼,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1390.0,KOSPI,화학,378634000000.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0
26,KISCO홀딩스,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,1940.0,KOSPI,철강금속,373674000000.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0
27,그린케미칼,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,83420.0,KOSPI,화학,171120000000.0,0.0,0.0,-1.0,1.0,0.0,-2.0,2.0
28,KPX케미칼,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,25000.0,KOSPI,화학,217074000000.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0
29,KPX홀딩스,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,92230.0,KOSPI,화학,238270000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,KR모터스,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,40.0,KOSPI,운수장비,31696560384.0,0.0,-1.0,1.0,-1.0,1.0,0.0,-1.0
31,KSS해운,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,44450.0,KOSPI,운수창고업,187457000000.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0
32,다올투자증권,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,30210.0,KOSPI,증권,187911000000.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0
33,LF,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,93050.0,KOSPI,섬유의복,437138000000.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0
34,LG,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3550.0,KOSPI,기타금융,12426800000000.0,-1.0,2.0,0.0,0.0,0.0,-1.0,0.0
35,LG디스플레이,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,34220.0,KOSPI,전기전자,5065000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
