종목명,2011통합등급,2011환경,2011사회,2011지배구조,2012통합등급,2012환경,2012사회,2012지배구조,2013통합등급,2013환경,2013사회,2013지배구조,2014통합등급,2014환경,2014사회,2014지배구조,2015통합등급,2015환경,2015사회,2015지배구조,2016통합등급,2016환경,2016사회,2016지배구조,2017통합등급,2017환경,2017사회,2017지배구조,2018통합등급,2018환경,2018사회,2018지배구조,2020통합등급,2020환경,2020사회,2020지배구조,2021통합등급,2021환경,2021사회,2021지배구조,2022통합등급,2022환경,2022사회,2022지배구조,2023통합등급,2023환경,2023사회,2023지배구조,2024통합등급,2024환경,2024사회,2024지배구조,종목코드,시장구분,업종명,시가총액
AK홀딩스,B이하,B,B이하,B이하,B이하,C,B이하,B+,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B+,C,B+,B+,B+,B,B+,B+,B+,B,A,B,A,A,A+,B+,A,A,A+,B+,6840,KOSPI,기타금융,195931000000.0
BYC,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B,D,B,B+,B,D,B,B+,D,D,D,D,D,D,D,D,D,D,D,D,1460,KOSPI,섬유의복,246411000000.0
CJ,B이하,B+,B이하,,B이하,B,B이하,B이하,B+,B,A,B이하,B+,B,A,B+,B+,B,A,B+,B+,B+,A,B+,A,A,A,B이하,A,A,A+,B이하,A,B,A,A,A,B+,A+,A,B+,B+,A,B+,A,A,A+,B+,A,A,A+,B+,1040,KOSPI,기타금융,3574180000000.0
CJCGV,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B+,B이하,B이하,B,B이하,B이하,B이하,C,B+,B이하,B이하,B+,B+,B이하,B+,A,B+,B이하,A,B,A,A,A,B,A,A,B+,B,B+,B+,A,A,A+,B+,A,A,A+,B+,79160,KOSPI,서비스업,710106000000.0
CJ대한통운,B+,B,B+,B이하,B이하,B,B+,B이하,B+,B+,A,B+,B+,B+,A,B+,B+,B+,B+,B+,A,B+,A,A,B+,B+,B+,A,B+,B+,B+,A,A,A,B,A,A,A,A+,A,B+,B+,A+,B,A,A,A+,B+,A,A,A+,B+,120,KOSPI,운수창고업,2817320000000.0
CJ씨푸드,,C,,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B+,B이하,B,C,B+,B+,B,C,B+,B+,B,C,B,B,B+,B+,A,B,B+,B+,A,B,11150,KOSPI,음식료품,98809625750.0
CJ제일제당,B+,B+,B+,A,B+,B+,B이하,B+,B+,B,A,A,B+,B,A,A,B+,B,B+,A,B+,B,B+,A,A,B+,A,A,A,B+,A+,A,A,A,A+,A,A,A,A+,A,A,A,A,B+,A,A,A+,A,A,A,A+,A,97950,KOSPI,음식료품,5223800000000.0
CS홀딩스,,B,,,,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,C,D,C,B,B,D,C,B+,C,D,D,B,C,D,D,B,C,D,D,B,590,KOSPI,기타금융,73540503400.0
DB,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,D,B,B,B,D,B+,B+,B,D,B,B+,C,D,B,C,C,D,B,C,12030,KOSPI,서비스업,291300000000.0
DB금융투자,B이하,B,B이하,,,B,B+,,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B+,A,B이하,B이하,B이하,B+,B이하,B이하,B+,A,B이하,B이하,B이하,B+ 이하,B이하,B이하,B,D,A,B,B,D,B+,B,B,C,B,B,B,C,B,B+,B,C,B,B+,16610,KOSPI,증권,174030000000.0
DB손해보험,A,A,A,B+,B+,B+,A,B+,B+,B+,B+,B+,A,A+,B+,B+,A,A,A,B+,A,A+,A,B+,A,A,A,B+,B+,B+ 이하,A,A,B+,A,A,B+,A,A,A+,B+,B+,B+,A,B+,B+,B+,A,B+,B+,B+,A,B+,5830,KOSPI,보험,6605640000000.0
DB하이텍,B이하,B,B이하,B+,B이하,B,B이하,B+,B+,B+,B이하,B+,B이하,B,B+,B이하,B이하,C,B+,B+,B+,B,B+,B+,B이하,C,B+,B+,B+,B,B+,B+,B+,B+,A,B+,A,A,A,A,B,B,B+,B,B+,A,A,B,B+,A,A,B,990,KOSPI,전기전자,1818120000000.0
DRB동일,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B,B,B,B,B+,B,B+,B+,C,D,B+,B,B+,B,A,B+,B+,B,A,B+,4840,KOSPI,화학,115793000000.0
DSR제강,B이하,C,B이하,,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,C,B,C,C,C,C,B+,C,D,C,B,C,C,C,B,C,C,C,B,69730,KOSPI,철강금속,59616000000.0
E1,B이하,B+,B이하,B이하,B이하,B,B+,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B+,B이하,B+,B+,B+,B이하,B이하,B+,B+,B이하,B이하,B,B+,B이하,B,C,A,B+,B+,B+,A,B+,B+,B+,B+,B+,A,A,A,B+,A,A,A,B+,17940,KOSPI,유통업,454818000000.0
F&F,,B,,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,,,,,-,-,-,-,-,-,-,-,B+,B+,A+,B,B+,B+,A+,B,383220,KOSPI,섬유의복,2528270000000.0
GKL,B+,B,B+,,,B+,B+,,B이하,B+,B+,B이하,B이하,B,B이하,B이하,B이하,B+,B+,B이하,B이하,B,B+,B이하,B이하,B+,B이하,B이하,B이하,B,B+,B이하,B+,C,A,A,B+,B+,B+,B+,A,B,A,A,B+,B,A,B+,B+,B,A,B+,114090,KOSPI,서비스업,856082000000.0
GS,,B+,,,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B+,C,A,A,A,A,A,A,A,B+,A+,A,B,B+,A+,C,B,B+,A+,C,78930,KOSPI,기타금융,4157960000000.0
GS건설,A,A,A,A,A,A,A,A,A,A,A,A,A,B+,A,A,B+,B,A,A,B+,B+,B+,A,A,B+,A,A,B+,B+,B+,A,A,A,B+,A,A,A,A+,A,A,A,A,A,A,A,B+,A,A,A,B+,A,6360,KOSPI,건설업,1258050000000.0
GS글로벌,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B,D,B+,B+,B+,B,B+,A,B+,C,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,1250,KOSPI,유통업,198081000000.0
JW중외제약,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B+,B이하,B+,B+,B+,B이하,B,B,B+,B,B,C,B+,B+,C,B,B+,D,B+,B,A,B+,B+,B,A,B+,1060,KOSPI,의약품,690428000000.0
JW홀딩스,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B+,B이하,B이하,B+,B이하,B이하,B이하,B,B+,B이하,B+,C,B+,B+,B,D,B+,B+,B+,C,B+,B+,B+,B,A,B+,B+,B,A,B+,96760,KOSPI,기타금융,219927000000.0
KB금융,A+,A+,A+,A,A+,A+,A+,A,A+,A+,A+,A+,A,A,B+,A,B+,A,B+,B+,A+,A+,A+,A,A,A,A,A,A+,A+,A,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,105560,KOSPI,기타금융,28044000000000.0
KB손해보험,A,A+,A,B이하,A,A,A,B+,A,A,A,B+,A,A+,B+,B이하,B이하,B+,B+,B이하,B+,A,B이하,B이하,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,
KB캐피탈,B이하,B+,B이하,,,A,B이하,,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,A,B이하,B이하,B+,A+,B이하,B이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC그린홀딩스,,B,,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,A,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B,B,B+,B,B,D,C,B+,D,D,D,C,C,C,D,C,C,C,D,C,9440,KOSPI,기타금융,54404826500.0
KEC,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B+,B이하,C,B이하,B+,B이하,C,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B,B+,B+,C,B,B,B+,B,C,C,D,C,D,C,C,D,D,C,C,D,92220,KOSPI,전기전자,260189000000.0
주성코퍼레이션,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,D,B이하,B이하,,,,,D,C,C,D,B,B,C,B,D,D,D,C,D,C,D,D,D,C,D,D,109070,KOSPI,전기전자,216522000000.0
KG케미칼,B이하,C,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,D,B이하,B이하,B이하,D,B이하,B이하,D,C,C,D,C,C,C,B,D,D,D,D,C,C,D,C,C,C,D,C,1390,KOSPI,화학,378634000000.0
KISCO홀딩스,,B+,,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,C,B,B,C,B,B,B,B,C,C,D,C,D,C,D,D,D,C,D,D,1940,KOSPI,철강금속,373674000000.0
그린케미칼,,B,,B이하,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,C,B이하,B+,B이하,B,B이하,B+,B이하,B,B이하,B+,B이하,D,B이하,B+,B이하,B,B이하,B+,B,B,B,B,B,B,C,B,D,D,D,D,C,C,C,B,C,C,C,B,83420,KOSPI,화학,171120000000.0
KPX케미칼,,B,,B이하,B이하,B,B이하,B+,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B,B,C,B,C,B,C,C,D,C,C,D,C,C,C,C,C,C,C,C,25000,KOSPI,화학,217074000000.0
KPX홀딩스,,B,,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,C,C,C,B,B,B,C,B+,C,D,C,C,C,C,C,C,C,C,C,C,92230,KOSPI,화학,238270000000.0
KR모터스,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,C,D,C,B,C,D,C,B,D,D,D,D,D,D,D,D,D,D,D,D,40,KOSPI,운수장비,31696560384.0
KSS해운,B이하,B,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B+,B,A,B이하,B+,B+,B이하,B+,B이하,B,B+,B이하,B+,B,B+,B+,A,B+,A+,A,B+,B+,A,B+,B+,B+,A,B+,B+,B+,A,B+,44450,KOSPI,운수창고업,187457000000.0
다올투자증권,B이하,B+,B이하,B이하,,B+,B이하,,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B이하,C,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+,B이하,B이하,B이하,B+ 이하,B이하,B이하,C,D,B,C,B+,C,A,B+,B+,B,B,B+,B+,B+,B+,B+,B+,B+,B+,B+,30210,KOSPI,증권,187911000000.0
LF,B이하,B+,B이하,,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B이하,B,B이하,B이하,B,D,B,B+,B,D,B,B+,B,D,B,B+,B+,B,B,B+,B+,B,B,B+,93050,KOSPI,섬유의복,437138000000.0
LG,B이하,B+,B이하,,B이하,B,B이하,B이하,B+,A,B+,B이하,B+,A,B+,B이하,B+,A,B+,B이하,B+,A,B+,B이하,B+,B+,B+,B이하,B+,B+,A,B+,A,B+,A+,B+,A,A,A+,A,A,B+,A+,A,A,A,A+,A,A,A,A+,A,3550,KOSPI,기타금융,12426800000000.0
LG디스플레이,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,A,B+,A,B+,A,A,B+,B+,B+,A,B+,B+,A,B+,A,B+,A,A,A,B+,A+,A,B+,B,A,B+,B+,B,A,B+,A,A,A,B+,B+,A,A+,B,B+,A,A+,B,34220,KOSPI,전기전자,5065000000000.0
LX인터네셔널,B이하,B,B이하,B이하,B이하,B+,B이하,B이하,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,A,B+,B+,B,A,B+,B+,B+,A,B+,,,,,,,,,,,,,,,,,,,,,,,,
LG생명과학,B+,B+,B+,A,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B이하,B+,B+,B+,B+,B+,B+,A,B+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG생활건강,A,B+,A,A,A,B+,A+,A,A,B+,A+,A,A,B+,A,A,A,B+,A+,A,A,B+,A+,A,A,B+,A+,A,A,B+,A+,A,A,A,A+,A,A,A,A+,A,A,A,A+,A,A,A,A+,A,A,A,A+,A,51900,KOSPI,화학,5973960000000.0
LG유플러스,B이하,A,B이하,,B이하,B+,B+,B이하,B+,A,B이하,B이하,A,A,B+,A,B+,B+,B+,A,B+,B+,B+,A,B+,B+,B+,A,B+,B+,B+,A,B,B+,B+,B,A,A,A+,A,A,A,B+,A,A,A,A,A,A,A,A,A,32640,KOSPI,통신업,4243860000000.0
