,RandomForest,GradientBoosting,AdaBoost,XGBoost,DecisionTree
총자산(천원),0.03250287694650673,0.03507376605539656,0.02,0.051578898,0.0
유동자산(천원),0.02839279227186769,0.02008219127080585,0.01,0.040622845,0.0
매출채권(천원),0.024737386128202025,0.011310627175595406,0.0,0.01900441,0.025307576344354453
재고자산(천원),0.02805221408925371,0.03232464345623275,0.02,0.02063219,0.01292250833590341
유형자산(천원),0.026154531337972717,0.02631110194386858,0.03,0.025348978,0.013669508506076565
부채및자본총계(천원),0.026941152267726535,0.03259466618308015,0.03,0.0,0.016592210983450408
총부채(천원),0.021959800833526846,0.030076207943859203,0.03,0.027940601,0.049376426328127554
유동부채(천원),0.022209537121857456,0.0061202941632449125,0.0,0.02058812,0.017974949633904936
매입채무(천원),0.029837454822400158,0.0376467162183017,0.09,0.02968162,0.03550819593492359
단기차입금(천원),0.019174367245403716,0.019906390984399124,0.0,0.019122109,0.0
장기차입금(천원),0.015946464203159618,0.012521014839483324,0.0,0.017586278,0.016128182464480303
총자본(천원),0.0281273871328808,0.01478836893124736,0.03,0.027080165,0.004976843085794243
매출액(천원),0.03672391364820798,0.10297455364647029,0.12,0.10689906,0.22626129151338983
매출원가(천원),0.022783503811131634,0.011802596863945917,0.0,0.023004493,0.011360342756856111
영업이익(천원),0.019661788546396282,0.01099414803855201,0.0,0.030960137,0.02238583249324553
연구개발비(천원),0.021127418062583878,0.029899248784368844,0.01,0.021432092,0.05473952931841809
광고선전비(천원),0.0286732209567614,0.06002694326947414,0.05,0.023292882,0.02046017546122403
당기순이익(천원),0.018844770149677274,0.02566998629547465,0.03,0.020736244,0.025095503422376698
영업활동으로인한현금흐름(천원),0.02178233783266538,0.035063884896554,0.02,0.019936886,0.024365745623367935
투자활동으로인한현금흐름(천원),0.021182006634261903,0.014494322986113629,0.0,0.016521698,0.0005359677169316847
재무활동으로인한현금흐름(천원),0.024324599900278562,0.04279906774196774,0.04,0.01955576,0.040003959192149746
자기자본비율(%),0.018350298954951542,0.009158012118129886,0.01,0.021492347,0.01213306945811057
차입금의존도(%),0.016787243667744162,0.021447492971897228,0.02,0.020132802,0.017989215103914637
부채비율(%),0.016474503352967563,0.00856414453064794,0.0,0.017018646,0.002903158466713304
차입금비율(%),0.01760826180094833,0.011490780040136253,0.0,0.023269387,0.012604265294149106
*매출원가율(%),0.01956223731983969,0.017220250372678093,0.08,0.02272872,0.010610710741654988
ROE(당기순이익)(%),0.018799975060154874,0.00857214502973304,0.05,0.019272815,0.02336483810162765
영업이익률(%),0.018256430814012934,0.02082421579758131,0.0,0.01608508,0.031166240404707064
EBIT(천원),0.019886229684159852,0.015541790695482942,0.0,0.0,0.0
매출총이익률(%),0.02044802286680722,0.013489720354684752,0.02,0.018704332,0.004319188820885716
총자산(천원)_증가율(%),0.019764152400862028,0.004213680308738521,0.0,0.017850764,0.009077761788488691
유동자산(천원)_증가율(%),0.018109384778210596,0.010365468398559891,0.0,0.017351814,0.021355085687588628
유형자산(천원)_증가율(%),0.022267237855979775,0.030096340507776854,0.03,0.01806618,0.025391360299862047
부채및자본총계(천원)_증가율(%),0.018318166097228323,0.0044934251513397295,0.0,0.0,0.0
총부채(천원)_증가율(%),0.02085920363749857,0.01857893562742871,0.01,0.018602246,0.027359282422973873
유동부채(천원)_증가율(%),0.021742100238546034,0.012002757298700808,0.0,0.01899389,0.003751774018521811
총자본(천원)_증가율(%),0.019367366934201553,0.026891486446392623,0.03,0.019590542,0.011986148656756
매출액(천원)_증가율(%),0.020321184550764995,0.01834592916114319,0.01,0.018249452,0.0429954718273634
영업이익(천원)_증가율(%),0.023684550435402175,0.0233294331662575,0.06,0.02047927,0.01281899764975613
당기순이익(천원)_증가율(%),0.02211083032167598,0.011789091016062063,0.0,0.018606586,0.009747565470395783
영업활동으로인한현금흐름(천원)_증가율(%),0.02258823358661157,0.022543853375229163,0.04,0.019132813,0.014377626200930723
투자활동으로인한현금흐름(천원)_증가율(%),0.026193830947470093,0.022059060838116186,0.08,0.01777444,0.009726141318792
총자산(천원)_회전율,0.02122954443327953,0.0332515938137638,0.01,0.018701142,0.03190532337512259
총자본(천원)_회전율,0.01983666354445449,0.01485657346370695,0.0,0.018480299,0.046054115491754116
총부채(천원)_회전율,0.018294822773505953,0.008393077827376392,0.02,0.017890882,0.0006979102849562458
