,RandomForest,GradientBoosting,AdaBoost,XGBoost,DecisionTree
총자산(천원),0.01940892070967761,0.009564134538404856,0.0,0.020964714,0.007917781505982095
유동자산(천원),0.019224143128303933,0.018238033625706522,0.0,0.019319363,0.005616019771748808
매출채권(천원),0.021711281598947318,0.012344932999670323,0.0,0.023536576,0.010883530841495485
재고자산(천원),0.02318239019812266,0.016893994614579484,0.0,0.025084388,0.05054814947040801
유형자산(천원),0.022161871993588576,0.03417965653127131,0.05,0.026673665,0.048399103643173236
부채및자본총계(천원),0.01841428081625342,0.006253235914435885,0.01,0.0,0.010324072550813515
총부채(천원),0.018638394798300307,0.010223003617099276,0.04,0.026328387,0.010169000552971052
유동부채(천원),0.018931902612209346,0.011998277923534369,0.0,0.02752635,0.0
매입채무(천원),0.02089438025501674,0.02878214957918969,0.0,0.02338074,0.028153169155891597
단기차입금(천원),0.020082495527364203,0.02053753270220273,0.01,0.023829594,0.016240877445613856
장기차입금(천원),0.01841857400756892,0.020238609766913097,0.02,0.023727862,0.04025418190937
총자본(천원),0.020321377614931725,0.007688706880874323,0.0,0.023245169,0.0005942853784515811
매출액(천원),0.016962784373958435,0.007634123466765695,0.0,0.022692952,0.0047733801926127225
매출원가(천원),0.018546986202049996,0.007182418996995996,0.0,0.023830807,0.012775093161693063
영업이익(천원),0.021667514436299204,0.012965933867408234,0.0,0.023143124,0.0076662813820253485
연구개발비(천원),0.01727507003146325,0.036556610343913415,0.01,0.025722435,0.036329848116008076
광고선전비(천원),0.022456685217772287,0.032731531962674615,0.03,0.026418956,0.04825506818752444
당기순이익(천원),0.0196508968669135,0.012070957606948306,0.0,0.02318827,0.02649232738885902
영업활동으로인한현금흐름(천원),0.02398132316826224,0.026305302836661902,0.02,0.02492373,0.023688513163448367
투자활동으로인한현금흐름(천원),0.02651435082191074,0.02771754713953797,0.02,0.025948552,0.050052984282817375
재무활동으로인한현금흐름(천원),0.027996732327099993,0.04374983346730562,0.06,0.024426483,0.011577254611464869
자기자본비율(%),0.020213627823091343,0.015279292418873092,0.01,0.019805294,0.006863326533167381
차입금의존도(%),0.020373308941493667,0.022985041813197674,0.0,0.022935295,0.026919883966019943
부채비율(%),0.020375184879931296,0.010472690940240711,0.02,0.027751442,0.004789054105591523
차입금비율(%),0.020017351206854727,0.01941459570088586,0.0,0.026556334,0.02162604845742024
*매출원가율(%),0.02387065948113219,0.010148458888818976,0.0,0.023307307,0.03364314437518069
ROE(당기순이익)(%),0.021849833242202334,0.020602610586947852,0.03,0.023150869,0.07465264032940966
영업이익률(%),0.024958253870090204,0.0338168098189873,0.03,0.025741817,0.020933671293528116
EBIT(천원),0.019702696401180858,0.010046551994826066,0.02,0.0,0.007939122321733145
매출총이익률(%),0.021329686324951004,0.006896936693771485,0.0,0.021762501,0.008947039161507261
총자산(천원)_증가율(%),0.023066685565033728,0.009652863640598459,0.0,0.023444252,0.0
유동자산(천원)_증가율(%),0.02666951249412894,0.03392382175696403,0.01,0.024076456,0.03495356731913793
유형자산(천원)_증가율(%),0.026068368585491823,0.02318809565998296,0.03,0.02223615,0.021586678505926958
부채및자본총계(천원)_증가율(%),0.021129259051965082,0.010258496690566074,0.0,0.0,0.004230267879721198
총부채(천원)_증가율(%),0.02408371329513678,0.03832731925681699,0.11,0.023971204,0.006371963197223792
유동부채(천원)_증가율(%),0.024543262881629942,0.02967018969217583,0.1,0.022846093,0.02869698953513661
총자본(천원)_증가율(%),0.023586258478140828,0.023031256880486992,0.06,0.023815677,0.033117989718005156
매출액(천원)_증가율(%),0.027483733757921444,0.033541880748444386,0.02,0.024815666,0.012086479656346278
영업이익(천원)_증가율(%),0.025801713198083425,0.05184765714663355,0.12,0.023427414,0.036120814999434994
당기순이익(천원)_증가율(%),0.026403136321188684,0.03061241107503527,0.01,0.022350572,0.057092022289167335
영업활동으로인한현금흐름(천원)_증가율(%),0.02566472261915217,0.03896843345607586,0.08,0.021421708,0.017029627115548
투자활동으로인한현금흐름(천원)_증가율(%),0.02699413608605895,0.04221404244713964,0.04,0.021848189,0.016065191179196213
총자산(천원)_회전율,0.023098431346689784,0.0285060591340485,0.02,0.023832146,0.036797979900955
총자본(천원)_회전율,0.022686286129574556,0.033647062488079325,0.02,0.025519097,0.013372338333858117
총부채(천원)_회전율,0.023587821312861856,0.01909089268830936,0.0,0.021472553,0.02545323711441203
