,RandomForest,GradientBoosting,AdaBoost,XGBoost,DecisionTree
총자산(천원),0.01920030645613583,0.005430303357568906,0.0,0.018946813,0.02802010924358849
유동자산(천원),0.020899986300789552,0.015260719584654598,0.0,0.024448683,0.005305159948909073
매출채권(천원),0.022670584564916874,0.017150914588439654,0.01,0.02118662,0.03815773952190199
재고자산(천원),0.022268027740381516,0.017754512697142562,0.0,0.017697593,0.008392630077771931
유형자산(천원),0.022784470460588947,0.022149484341698073,0.03,0.024740756,0.026076965837699036
부채및자본총계(천원),0.019322799390772073,0.006869910461253571,0.02,0.0,0.0
총부채(천원),0.019376520105255462,0.006256189280795371,0.0,0.02834764,0.010821635839809576
유동부채(천원),0.018380459197644545,0.0074614932537529766,0.0,0.021986917,0.02524296279548457
매입채무(천원),0.02319520301897882,0.03569223486503725,0.01,0.024563266,0.02858140484230189
단기차입금(천원),0.01864671729544483,0.0108383262722804,0.0,0.019196209,0.0
장기차입금(천원),0.02047705113978315,0.03341673279257319,0.05,0.028766828,0.045811688436147864
총자본(천원),0.020342580494726065,0.012042493604178675,0.01,0.023195965,0.0
매출액(천원),0.023815794690468895,0.04436295440027374,0.09,0.061854508,0.07425857772363778
매출원가(천원),0.020419971582549278,0.01233429576287216,0.02,0.020282846,0.0
영업이익(천원),0.01915521011690579,0.011430453036642859,0.02,0.018799884,0.008732467832696895
연구개발비(천원),0.015790806808500053,0.011015614778229278,0.0,0.021239929,0.009841416196132102
광고선전비(천원),0.022825776384453288,0.02265714513776161,0.02,0.02420119,0.04356515641488698
당기순이익(천원),0.021603572592151715,0.024648130514059015,0.01,0.022446088,0.011802962940375273
영업활동으로인한현금흐름(천원),0.025116265446548703,0.01821928486510549,0.04,0.024938814,0.02040993890323801
투자활동으로인한현금흐름(천원),0.02125023769733793,0.025007448260463458,0.02,0.018015852,0.013292049102761199
재무활동으로인한현금흐름(천원),0.02594681031746191,0.024789184141592403,0.04,0.021421516,0.05644158913488362
자기자본비율(%),0.018003308107360706,0.014647336034733994,0.0,0.021888163,0.0
차입금의존도(%),0.020067908175277552,0.006140603513908247,0.0,0.021041663,0.047618761908459324
부채비율(%),0.01985535356438468,0.012109591712827517,0.0,0.017743545,0.009125107539722703
차입금비율(%),0.01885203389498244,0.012115242887748519,0.0,0.01823684,0.00844002719144627
*매출원가율(%),0.019766920987052267,0.021478969254994807,0.04,0.024344789,0.00549807485614213
ROE(당기순이익)(%),0.02229108637568822,0.03291670527813273,0.0,0.021788597,0.0
영업이익률(%),0.01953338909490213,0.02543486480770951,0.05,0.02433252,0.010360920061564529
EBIT(천원),0.019692350409068814,0.009791758000036564,0.02,0.0,0.0
매출총이익률(%),0.022792497678323535,0.021545958980368665,0.03,0.032821003,0.02245413107832751
총자산(천원)_증가율(%),0.024274506734802706,0.015710397672774278,0.01,0.026570842,0.03012050429708836
유동자산(천원)_증가율(%),0.030128357204764797,0.04515535452226963,0.07,0.029447174,0.06233474910673931
유형자산(천원)_증가율(%),0.02602593509892591,0.024611490971056443,0.01,0.02253481,0.07929853098242673
부채및자본총계(천원)_증가율(%),0.024366011008386836,0.02164705825284278,0.04,0.0,0.0
총부채(천원)_증가율(%),0.02410342068903514,0.018271106796051793,0.01,0.021742133,0.03184729581195462
유동부채(천원)_증가율(%),0.024126680649230115,0.023041400908279094,0.02,0.02104183,0.026229142711898263
총자본(천원)_증가율(%),0.028604391400617706,0.043063795195454044,0.08,0.028193492,0.019437862029523464
매출액(천원)_증가율(%),0.027058317766810322,0.04084661866591573,0.05,0.026019828,0.024250298306810286
영업이익(천원)_증가율(%),0.025547286028947118,0.04363358426700797,0.05,0.023104388,0.040202396088221036
당기순이익(천원)_증가율(%),0.028602808643015745,0.026931414121237313,0.07,0.023452673,0.035661642033812765
영업활동으로인한현금흐름(천원)_증가율(%),0.027324817595238315,0.050903207373011246,0.03,0.02260555,0.02069904430209495
투자활동으로인한현금흐름(천원)_증가율(%),0.02460524407698582,0.03140675023483855,0.01,0.020022167,0.01178116027765357
총자산(천원)_회전율,0.021400694731901607,0.03224673309280074,0.01,0.024197793,0.007639430326429069
총자본(천원)_회전율,0.020519711991085276,0.02028621515816541,0.0,0.021975175,0.016664894522423625
총부채(천원)_회전율,0.018967816291417024,0.021276016301459234,0.01,0.020617245,0.035581571775035126
