,feature,순위평균_x,순위평균_y,최종순위평균
0,매출액(천원),1.0,4.2,2.6
1,영업이익(천원)_증가율(%),15.6,8.6,12.1
2,광고선전비(천원),7.8,16.8,12.3
3,투자활동으로인한현금흐름(천원)_증가율(%),20.0,5.0,12.5
4,매입채무(천원),4.2,22.2,13.2
5,재무활동으로인한현금흐름(천원),10.2,16.4,13.299999999999999
6,총부채(천원),9.8,19.2,14.5
7,유형자산(천원)_증가율(%),16.2,13.6,14.899999999999999
8,재고자산(천원),14.8,18.0,16.4
9,유형자산(천원),13.2,20.0,16.6
10,총자본(천원),17.2,16.2,16.7
11,총자산(천원),13.4,20.8,17.1
12,유동자산(천원),18.6,16.6,17.6
13,영업활동으로인한현금흐름(천원)_증가율(%),17.4,19.0,18.2
14,총자산(천원)_회전율,17.8,19.0,18.4
15,매출원가(천원),23.4,14.8,19.1
16,영업활동으로인한현금흐름(천원),15.4,23.4,19.4
17,당기순이익(천원)_증가율(%),28.6,10.2,19.4
18,매출액(천원)_증가율(%),22.4,16.6,19.5
19,유동자산(천원)_증가율(%),32.8,9.4,21.099999999999998
20,매출채권(천원),22.8,20.4,21.6
21,총부채(천원)_증가율(%),22.4,21.0,21.7
22,연구개발비(천원),15.0,28.6,21.8
23,장기차입금(천원),33.0,11.4,22.2
24,당기순이익(천원),17.6,28.2,22.9
25,부채및자본총계(천원),18.0,29.2,23.6
26,총부채(천원)_회전율,34.4,14.4,24.4
27,총자본(천원)_증가율(%),21.2,28.2,24.7
28,총자본(천원)_회전율,24.2,26.6,25.4
29,유동부채(천원)_증가율(%),29.2,22.8,26.0
30,ROE(당기순이익)(%),24.0,28.2,26.1
31,차입금비율(%),28.6,24.4,26.5
32,차입금의존도(%),23.4,31.8,27.6
33,단기차입금(천원),30.2,25.0,27.6
34,영업이익률(%),28.0,27.4,27.7
35,투자활동으로인한현금흐름(천원),32.4,23.6,28.0
36,영업이익(천원),23.4,32.8,28.099999999999998
37,자기자본비율(%),28.0,28.2,28.1
38,*매출원가율(%),20.6,36.0,28.3
39,유동부채(천원),25.2,33.8,29.5
40,매출총이익률(%),27.4,33.0,30.2
41,총자산(천원)_증가율(%),34.8,28.0,31.4
42,부채비율(%),38.4,26.4,32.4
43,EBIT(천원),33.4,35.6,34.5
44,부채및자본총계(천원)_증가율(%),39.0,33.6,36.3
