,feature,순위평균_x,순위평균_y,최종순위평균
0,매출액(천원)_증가율(%),11.8,1.8,6.800000000000001
1,유동자산(천원)_증가율(%),15.0,4.2,9.6
2,영업활동으로인한현금흐름(천원)_증가율(%),9.8,9.4,9.600000000000001
3,영업이익(천원)_증가율(%),13.0,10.8,11.9
4,투자활동으로인한현금흐름(천원)_증가율(%),16.4,11.0,13.7
5,당기순이익(천원)_증가율(%),16.8,11.6,14.2
6,영업활동으로인한현금흐름(천원),20.2,9.6,14.899999999999999
7,투자활동으로인한현금흐름(천원),9.0,20.8,14.9
8,재고자산(천원),3.0,30.4,16.7
9,유형자산(천원),8.4,25.0,16.7
10,총자본(천원)_증가율(%),24.0,10.2,17.1
11,ROE(당기순이익)(%),13.0,25.8,19.4
12,총부채(천원)_회전율,29.4,10.4,19.9
13,유동부채(천원)_증가율(%),19.0,21.0,20.0
14,단기차입금(천원),23.0,17.0,20.0
15,매출총이익률(%),25.2,15.2,20.2
16,연구개발비(천원),10.2,31.6,20.9
17,유형자산(천원)_증가율(%),27.2,16.2,21.7
18,총자산(천원)_증가율(%),21.0,22.4,21.7
19,총부채(천원)_증가율(%),24.8,19.0,21.9
20,총자본(천원),21.0,23.0,22.0
21,유동자산(천원),14.6,30.0,22.3
22,영업이익(천원),24.8,20.0,22.4
23,총자산(천원),15.8,30.2,23.0
24,매출원가(천원),25.4,21.0,23.2
25,매출액(천원),17.8,28.8,23.3
26,매출채권(천원),22.8,24.4,23.6
27,유동부채(천원),22.8,24.8,23.8
28,차입금의존도(%),24.0,24.2,24.1
29,재무활동으로인한현금흐름(천원),24.4,24.2,24.299999999999997
30,총자본(천원)_회전율,29.2,22.0,25.6
31,*매출원가율(%),33.2,18.2,25.700000000000003
32,부채및자본총계(천원)_증가율(%),29.6,21.8,25.700000000000003
33,부채및자본총계(천원),19.4,32.8,26.099999999999998
34,부채비율(%),25.6,26.6,26.1
35,영업이익률(%),29.0,25.0,27.0
36,장기차입금(천원),27.0,27.0,27.0
37,자기자본비율(%),25.8,29.4,27.6
38,총자산(천원)_회전율,29.8,25.4,27.6
39,당기순이익(천원),29.6,27.0,28.3
40,광고선전비(천원),30.8,25.8,28.3
41,총부채(천원),20.8,37.6,29.200000000000003
42,차입금비율(%),31.4,32.2,31.8
43,EBIT(천원),34.6,29.4,32.0
44,매입채무(천원),31.2,33.2,32.2
