,feature,순위평균_x,순위평균_y,최종순위평균
0,유동자산(천원)_증가율(%),19.8,2.4,11.1
1,매출액(천원),19.2,4.4,11.8
2,매입채무(천원),10.0,14.2,12.1
3,유형자산(천원),10.0,15.8,12.9
4,유동자산(천원),1.0,27.8,14.4
5,매출액(천원)_증가율(%),20.6,8.6,14.600000000000001
6,총자본(천원)_증가율(%),22.0,7.6,14.8
7,영업이익(천원)_증가율(%),21.4,8.8,15.1
8,당기순이익(천원)_증가율(%),21.4,9.0,15.2
9,투자활동으로인한현금흐름(천원)_증가율(%),10.4,21.2,15.8
10,유동부채(천원)_증가율(%),15.0,18.8,16.9
11,광고선전비(천원),20.4,14.8,17.6
12,영업활동으로인한현금흐름(천원)_증가율(%),23.4,11.8,17.6
13,재무활동으로인한현금흐름(천원),23.0,12.6,17.8
14,영업활동으로인한현금흐름(천원),20.6,15.2,17.9
15,총자본(천원),10.2,29.0,19.6
16,장기차입금(천원),29.8,10.2,20.0
17,재고자산(천원),9.2,31.8,20.5
18,유형자산(천원)_증가율(%),27.8,13.6,20.7
19,매출총이익률(%),27.6,15.0,21.3
20,당기순이익(천원),20.8,22.0,21.4
21,투자활동으로인한현금흐름(천원),19.2,24.0,21.6
22,매출원가(천원),14.8,30.0,22.4
23,총부채(천원),17.0,29.0,23.0
24,매출채권(천원),23.8,22.2,23.0
25,총자산(천원)_회전율,24.8,21.6,23.200000000000003
26,ROE(당기순이익)(%),21.6,25.4,23.5
27,자기자본비율(%),14.4,34.4,24.4
28,영업이익률(%),31.0,19.2,25.1
29,부채비율(%),16.0,34.4,25.2
30,총자본(천원)_회전율,27.0,26.6,26.8
31,총자산(천원)_증가율(%),36.6,17.0,26.8
32,*매출원가율(%),30.8,22.8,26.8
33,총부채(천원)_회전율,27.6,26.2,26.9
34,차입금의존도(%),25.0,29.0,27.0
35,총자산(천원),21.4,33.6,27.5
36,차입금비율(%),19.6,36.0,27.8
37,유동부채(천원),24.4,31.6,28.0
38,총부채(천원)_증가율(%),37.4,20.4,28.9
39,연구개발비(천원),23.4,35.0,29.2
40,단기차입금(천원),22.0,37.6,29.8
41,영업이익(천원),27.6,32.4,30.0
42,부채및자본총계(천원)_증가율(%),38.2,24.4,31.3
43,부채및자본총계(천원),28.2,35.2,31.700000000000003
44,EBIT(천원),36.2,34.2,35.2
