,feature,RandomForest,RandomForest_순위,GradientBoosting,GradientBoosting_순위,AdaBoost,AdaBoost_순위,XGBoost,XGBoost_순위,DecisionTree,DecisionTree_순위,순위평균
0,매출액(천원),0.0253889235465824,6.0,0.0333598728766482,8.0,0.07,4.0,0.048569553,1.0,0.0515812728019867,2.0,4.2
1,투자활동으로인한현금흐름(천원)_증가율(%),0.0268681971644752,2.0,0.0468679028384322,1.0,0.08,2.0,0.023795804,16.0,0.0412215190269865,4.0,5.0
2,영업이익(천원)_증가율(%),0.0260642811762435,4.0,0.0359549811809625,6.0,0.08,2.0,0.02392581,13.0,0.0253857880826292,18.0,8.6
3,유동자산(천원)_증가율(%),0.0246598608517211,7.0,0.0344723059363688,7.0,0.05,8.0,0.024468327,8.0,0.0255607503532014,17.0,9.4
4,당기순이익(천원)_증가율(%),0.0256902429169985,5.0,0.0430611628219235,2.0,0.07,4.0,0.021974914,27.0,0.0316338698189909,13.0,10.2
5,장기차입금(천원),0.0215631311109219,28.0,0.0359646533633072,5.0,0.03,12.0,0.028184658,5.0,0.037686423401867,7.0,11.4
6,유형자산(천원)_증가율(%),0.0233555274711578,13.0,0.0245512021281047,18.0,0.03,12.0,0.023266843,19.0,0.0380694411814307,6.0,13.6
7,총부채(천원)_회전율,0.0238195667316052,9.0,0.0268337188250379,16.0,0.0,26.0,0.025317138,7.0,0.0288325974588152,14.0,14.4
8,매출원가(천원),0.0211121246840631,32.0,0.0296181297479043,13.0,0.06,6.0,0.03662742,2.0,0.0223872018927361,21.0,14.8
9,총자본(천원),0.0218405755242164,26.0,0.0211083426849411,22.0,0.05,8.0,0.024254601,9.0,0.0262724054471116,16.0,16.2
10,재무활동으로인한현금흐름(천원),0.0233422182091451,14.0,0.031425220843744,10.0,0.09,1.0,0.022984134,21.0,0.0095007274288398,36.0,16.4
11,매출액(천원)_증가율(%),0.0222584422216523,21.0,0.0256569074143353,17.0,0.02,19.0,0.022782072,23.0,0.04656870544082,3.0,16.6
12,유동자산(천원),0.0226426042008269,17.0,0.0284248965284027,14.0,0.03,12.0,0.023866404,14.0,0.0189108925872823,26.0,16.6
13,광고선전비(천원),0.0226914021241235,16.0,0.0203441530664629,23.0,0.03,12.0,0.024228375,10.0,0.0207197576540568,23.0,16.8
14,재고자산(천원),0.0279214531655933,1.0,0.024152133532971,19.0,0.0,26.0,0.022195144,25.0,0.0245930180170034,19.0,18.0
15,총자산(천원)_회전율,0.0225559863340595,20.0,0.0308581245820626,11.0,0.0,26.0,0.021788675,28.0,0.0346691548141922,10.0,19.0
16,영업활동으로인한현금흐름(천원)_증가율(%),0.0265671418640467,3.0,0.0368797498703512,4.0,0.0,26.0,0.020967199,34.0,0.0176241615759697,28.0,19.0
17,총부채(천원),0.0216663313524751,27.0,0.0280229188306632,15.0,0.03,12.0,0.033105362,3.0,0.0082977735711725,39.0,19.2
18,유형자산(천원),0.0214394341372586,29.0,0.0107367513834992,39.0,0.05,8.0,0.024092458,12.0,0.0328372073414772,12.0,20.0
19,매출채권(천원),0.0234543184454142,12.0,0.0121591228658491,38.0,0.0,26.0,0.023665247,18.0,0.0359408981930239,8.0,20.4
20,총자산(천원),0.0201882321572854,36.0,0.0241467508382795,20.0,0.03,12.0,0.028557595,4.0,0.0129495406412687,32.0,20.8
21,총부채(천원)_증가율(%),0.0225647275656341,19.0,0.036967339814508,3.0,0.06,6.0,0.020989401,33.0,0.0,44.0,21.0
22,매입채무(천원),0.0227865998846204,15.0,0.0191351940457943,25.0,0.0,26.0,0.023001434,20.0,0.0195949192454976,25.0,22.2
23,유동부채(천원)_증가율(%),0.024290623182271,8.0,0.0147249363484363,32.0,0.0,26.0,0.023728719,17.0,0.0130609490968774,31.0,22.8
24,영업활동으로인한현금흐름(천원),0.0235406775875888,11.0,0.0324265944043502,9.0,0.0,26.0,0.021705296,30.0,0.0075497304838299,41.0,23.4
25,투자활동으로인한현금흐름(천원),0.0237013910915721,10.0,0.0231009971811485,21.0,0.0,26.0,0.019785922,37.0,0.0204149016745288,24.0,23.6
26,차입금비율(%),0.0222077451677989,22.0,0.014596631912623,33.0,0.01,21.0,0.021673176,31.0,0.0263370439244723,15.0,24.4
27,단기차입금(천원),0.0192213689069128,41.0,0.0297199314341401,12.0,0.0,26.0,0.0206119,35.0,0.0335456666322109,11.0,25.0
28,부채비율(%),0.0189616945222272,44.0,0.0125236945362551,37.0,0.03,12.0,0.026115585,6.0,0.0116898825230481,33.0,26.4
29,총자본(천원)_회전율,0.0191396160223979,43.0,0.0185621350810768,27.0,0.0,26.0,0.020566788,36.0,0.0571510985349843,1.0,26.6
30,영업이익률(%),0.022051120557612,23.0,0.0138936726597318,36.0,0.0,26.0,0.023823377,15.0,0.0087891529992849,37.0,27.4
31,총자산(천원)_증가율(%),0.0200799651286916,38.0,0.0141988064270227,34.0,0.02,19.0,0.022842467,22.0,0.0185168457644065,27.0,28.0
32,총자본(천원)_증가율(%),0.0208825743492636,34.0,0.0159946071665782,30.0,0.0,26.0,0.018293163,42.0,0.0353753359595246,9.0,28.2
