,feature,RandomForest,RandomForest_순위,GradientBoosting,GradientBoosting_순위,AdaBoost,AdaBoost_순위,XGBoost,XGBoost_순위,DecisionTree,DecisionTree_순위,순위평균
0,유동자산(천원),0.0398536529814662,1.0,0.1578450931240934,1.0,0.14,1.0,0.11106282,1.0,0.2562514877217434,1.0,1.0
1,재고자산(천원),0.0266197564922059,6.0,0.0304841844158346,8.0,0.02,13.0,0.021429243,17.0,0.0479897011494226,2.0,9.2
2,유형자산(천원),0.0252317684390237,9.0,0.0273402848733064,11.0,0.03,11.0,0.028725613,5.0,0.0241170686652049,14.0,10.0
3,매입채무(천원),0.0244787236090816,10.0,0.0421019105859531,2.0,0.06,4.0,0.029521337,4.0,0.0117447322348319,30.0,10.0
4,총자본(천원),0.0297749935318329,2.0,0.0277007252464507,10.0,0.02,13.0,0.04795601,2.0,0.0150961620061398,24.0,10.2
5,투자활동으로인한현금흐름(천원)_증가율(%),0.0233656579316019,13.0,0.039103840678222,3.0,0.06,4.0,0.022133622,12.0,0.0175077391287737,20.0,10.4
6,자기자본비율(%),0.0263467741401307,7.0,0.0198450776875755,19.0,0.0,30.0,0.022117352,13.0,0.0434593482967432,3.0,14.4
7,매출원가(천원),0.022346401447542,18.0,0.0191673454972899,22.0,0.02,13.0,0.022953792,11.0,0.0293966199640616,10.0,14.8
8,유동부채(천원)_증가율(%),0.024035125373015,11.0,0.0156292799566537,27.0,0.04,7.0,0.021786217,15.0,0.0232664058968721,15.0,15.0
9,부채비율(%),0.0233057344511135,14.0,0.0308441392567253,7.0,0.02,13.0,0.027107904,7.0,0.0,39.0,16.0
10,총부채(천원),0.0226054896981378,16.0,0.0187637493286854,23.0,0.01,21.0,0.027668893,6.0,0.0175346240506195,19.0,17.0
11,매출액(천원),0.0257102497183045,8.0,0.0030293779146434,44.0,0.0,30.0,0.02335506,9.0,0.0373374984475879,5.0,19.2
12,투자활동으로인한현금흐름(천원),0.0237895591480951,12.0,0.0389281952776529,4.0,0.02,13.0,0.015420986,41.0,0.0145957179773468,26.0,19.2
13,차입금비율(%),0.0195012857981667,36.0,0.0230993348625986,15.0,0.14,1.0,0.020736642,19.0,0.0142179687171321,27.0,19.6
14,유동자산(천원)_증가율(%),0.0215235570612753,22.0,0.0208411532663113,18.0,0.03,11.0,0.02059045,20.0,0.0125783996919621,28.0,19.8
15,광고선전비(천원),0.0177842797562265,41.0,0.0259684298512775,12.0,0.02,13.0,0.02013659,23.0,0.024274021975657,13.0,20.4
16,영업활동으로인한현금흐름(천원),0.0223231029482607,19.0,0.0326612066921388,6.0,0.0,30.0,0.01884242,30.0,0.0210024951069866,18.0,20.6
17,매출액(천원)_증가율(%),0.0225076527410167,17.0,0.0136471718581929,33.0,0.01,21.0,0.019444505,28.0,0.0380861419580738,4.0,20.6
18,당기순이익(천원),0.0198890180865664,34.0,0.0229348466656798,16.0,0.02,13.0,0.018328343,32.0,0.0314111035690366,9.0,20.8
