,feature,RandomForest,RandomForest_순위,GradientBoosting,GradientBoosting_순위,AdaBoost,AdaBoost_순위,XGBoost,XGBoost_순위,DecisionTree,DecisionTree_순위,순위평균
0,유형자산(천원),0.0221618719935885,22.0,0.0341796565312713,7.0,0.05,7.0,0.026673665,3.0,0.0483991036431732,5.0,8.8
1,영업이익(천원)_증가율(%),0.0258017131980834,8.0,0.0518476571466335,1.0,0.12,1.0,0.023427414,24.0,0.0361208149994349,10.0,8.8
2,투자활동으로인한현금흐름(천원),0.0265143508219107,5.0,0.0277175471395379,17.0,0.02,14.0,0.025948552,7.0,0.0500529842828173,4.0,9.4
3,재무활동으로인한현금흐름(천원),0.0279967323270999,1.0,0.0437498334673056,2.0,0.06,5.0,0.024426483,14.0,0.0115772546114648,29.0,10.2
4,광고선전비(천원),0.0224566852177722,21.0,0.0327315319626746,12.0,0.03,10.0,0.026418956,5.0,0.0482550681875244,6.0,10.8
5,영업이익률(%),0.0249582538700902,10.0,0.0338168098189873,9.0,0.03,10.0,0.025741817,8.0,0.0209336712935281,22.0,11.8
6,유동자산(천원)_증가율(%),0.0266695124941289,4.0,0.033923821756964,8.0,0.01,22.0,0.024076456,15.0,0.0349535673191379,11.0,12.0
7,매출액(천원)_증가율(%),0.0274837337579214,2.0,0.0335418807484443,11.0,0.02,14.0,0.024815666,13.0,0.0120864796563462,28.0,13.6
8,총부채(천원)_증가율(%),0.0240837132951367,12.0,0.0383273192568169,5.0,0.11,2.0,0.023971204,16.0,0.0063719631972237,38.0,14.6
9,총자산(천원)_회전율,0.0230984313466897,18.0,0.0285060591340485,16.0,0.02,14.0,0.023832146,17.0,0.036797979900955,8.0,14.6
10,유동부채(천원)_증가율(%),0.0245432628816299,11.0,0.0296701896921758,14.0,0.1,3.0,0.022846093,32.0,0.0286969895351366,14.0,14.8
11,총자본(천원)_증가율(%),0.0235862584781408,16.0,0.0230312568804869,20.0,0.06,5.0,0.023815677,20.0,0.0331179897180051,13.0,14.8
12,투자활동으로인한현금흐름(천원)_증가율(%),0.0269941360860589,3.0,0.0422140424471396,3.0,0.04,8.0,0.021848189,36.0,0.0160651911791962,25.0,15.0
13,영업활동으로인한현금흐름(천원),0.0239813231682622,13.0,0.0263053028366619,18.0,0.02,14.0,0.02492373,12.0,0.0236885131634483,19.0,15.2
14,당기순이익(천원)_증가율(%),0.0264031363211886,6.0,0.0306124110750352,13.0,0.01,22.0,0.022350572,34.0,0.0570920222891673,2.0,15.4
15,영업활동으로인한현금흐름(천원)_증가율(%),0.0256647226191521,9.0,0.0389684334560758,4.0,0.08,4.0,0.021421708,39.0,0.017029627115548,23.0,15.8
16,총자본(천원)_회전율,0.0226862861295745,20.0,0.0336470624880793,10.0,0.02,14.0,0.025519097,10.0,0.0133723383338581,26.0,16.0
17,ROE(당기순이익)(%),0.0218498332422023,23.0,0.0206026105869478,22.0,0.03,10.0,0.023150869,29.0,0.0746526403294096,1.0,17.0
18,재고자산(천원),0.0231823901981226,17.0,0.0168939946145794,28.0,0.0,28.0,0.025084388,11.0,0.050548149470408,3.0,17.4
19,연구개발비(천원),0.0172750700314632,44.0,0.0365566103439134,6.0,0.01,22.0,0.025722435,9.0,0.036329848116008,9.0,18.0
20,유형자산(천원)_증가율(%),0.0260683685854918,7.0,0.0231880956599829,19.0,0.03,10.0,0.02223615,35.0,0.0215866785059269,21.0,18.4
21,장기차입금(천원),0.0184185740075689,42.0,0.020238609766913,24.0,0.02,14.0,0.023727862,21.0,0.04025418190937,7.0,21.6
22,매입채무(천원),0.0208943802550167,28.0,0.0287821495791896,15.0,0.0,28.0,0.02338074,25.0,0.0281531691558915,15.0,22.2
23,차입금비율(%),0.0200173512068547,34.0,0.0194145957008858,25.0,0.0,28.0,0.026556334,4.0,0.0216260484574202,20.0,22.2
24,*매출원가율(%),0.0238706594811321,14.0,0.0101484588888189,37.0,0.0,28.0,0.023307307,26.0,0.0336431443751806,12.0,23.4
25,부채비율(%),0.0203751848799312,29.0,0.0104726909402407,34.0,0.02,14.0,0.027751442,1.0,0.0047890541055915,40.0,23.6
26,단기차입금(천원),0.0200824955273642,33.0,0.0205375327022027,23.0,0.01,22.0,0.023829594,19.0,0.0162408774456138,24.0,24.2
27,총부채(천원),0.0186383947983003,40.0,0.0102230036170992,36.0,0.04,8.0,0.026328387,6.0,0.010169000552971,32.0,24.4
28,총부채(천원)_회전율,0.0235878213128618,15.0,0.0190908926883093,26.0,0.0,28.0,0.021472553,38.0,0.025453237114412,18.0,25.0
29,차입금의존도(%),0.0203733089414936,30.0,0.0229850418131976,21.0,0.0,28.0,0.022935295,31.0,0.0269198839660199,16.0,25.2
30,매출채권(천원),0.0217112815989473,24.0,0.0123449329996703,31.0,0.0,28.0,0.023536576,22.0,0.0108835308414954,30.0,27.0
31,당기순이익(천원),0.0196508968669135,36.0,0.0120709576069483,32.0,0.0,28.0,0.02318827,28.0,0.026492327388859,17.0,28.2
32,유동부채(천원),0.0189319026122093,39.0,0.0119982779235343,33.0,0.0,28.0,0.02752635,2.0,0.0,44.0,29.2
33,영업이익(천원),0.0216675144362992,25.0,0.0129659338674082,30.0,0.0,28.0,0.023143124,30.0,0.0076662813820253,36.0,29.8
34,총자산(천원)_증가율(%),0.0230666855650337,19.0,0.0096528636405984,39.0,0.0,28.0,0.023444252,23.0,0.0,44.0,30.6
35,매출원가(천원),0.0185469862020499,41.0,0.0071824189969959,43.0,0.0,28.0,0.023830807,18.0,0.012775093161693,27.0,31.4
36,자기자본비율(%),0.0202136278230913,32.0,0.015279292418873,29.0,0.01,22.0,0.019805294,41.0,0.0068633265331673,37.0,32.2
37,EBIT(천원),0.0197026964011808,35.0,0.010046551994826,38.0,0.02,14.0,0.0,43.0,0.0079391223217331,34.0,32.8
38,매출총이익률(%),0.021329686324951,26.0,0.0068969366937714,44.0,0.0,28.0,0.021762501,37.0,0.0089470391615072,33.0,33.6
39,총자본(천원),0.0203213776149317,31.0,0.0076887068808743,41.0,0.0,28.0,0.023245169,27.0,0.0005942853784515,43.0,34.0
40,유동자산(천원),0.0192241431283039,38.0,0.0182380336257065,27.0,0.0,28.0,0.019319363,42.0,0.0056160197717488,39.0,34.8
41,부채및자본총계(천원)_증가율(%),0.021129259051965,27.0,0.010258496690566,35.0,0.0,28.0,0.0,43.0,0.0042302678797211,42.0,35.0
42,총자산(천원),0.0194089207096776,37.0,0.0095641345384048,40.0,0.0,28.0,0.020964714,40.0,0.007917781505982,35.0,36.0
43,부채및자본총계(천원),0.0184142808162534,43.0,0.0062532359144358,45.0,0.01,22.0,0.0,43.0,0.0103240725508135,31.0,36.8
44,매출액(천원),0.0169627843739584,45.0,0.0076341234667656,42.0,0.0,28.0,0.022692952,33.0,0.0047733801926127,41.0,37.8
