Symbol,Name,PBR(IFRS-연결)
A001570,금양,27.64
A326030,SK바이오팜,23.19
A042700,한미반도체,21.25
A457190,이수스페셜티케미컬,18.85
A022100,포스코DX,13.39
A454910,두산로보틱스,10.61
A032350,롯데관광개발,10.33
A005070,코스모신소재,10.01
A450080,에코프로머티,9.72
A109070,주성코퍼레이션,9.70
A009420,한올바이오파마,9.23
A003670,포스코퓨처엠,9.04
A278470,에이피알,8.57
A007660,이수페타시스,8.37
A267260,HD현대일렉트릭,8.14
A002710,TCC스틸,6.27
A003580,HLB글로벌,6.07
A207940,삼성바이오로직스,5.73
A008500,일정실업,5.41
A036420,콘텐트리중앙,5.08
A066970,엘앤에프,4.96
A019490,하이트론,4.88
A039130,하나투어,4.62
A272450,진에어,4.57
A006110,삼아알미늄,4.41
A005690,파미셀,4.31
A373220,LG에너지솔루션,4.29
A012170,아센디오,4.25
A003520,영진약품,4.23
A123690,한국화장품,4.16
A005420,코스모화학,4.13
A003280,흥아해운,4.06
A128940,한미약품,4.05
A192820,코스맥스,4.04
A052690,한전기술,4.00
A009470,삼화전기,3.98
A229640,LS에코에너지,3.94
A003230,삼양식품,3.74
A082740,한화엔진,3.70
A000650,천일고속,3.49
A091810,티웨이항공,3.48
A006490,인스코비,3.47
A005110,한창,3.44
A079550,LIG넥스원,3.42
A012450,한화에어로스페이스,3.39
A003160,디아이,3.37
A298000,효성화학,3.37
A011300,성안머티리얼스,3.24
A030790,비케이탑스,3.24
A008770,호텔신라,3.21
A403550,쏘카,3.17
A012510,더존비즈온,3.15
A145720,덴티움,3.14
A047810,한국항공우주,3.13
A352820,하이브,3.00
A248070,솔루엠,2.97
A336260,두산퓨얼셀,2.92
A011230,삼화전자,2.83
A008930,한미사이언스,2.80
A002960,한국쉘석유,2.78
A089590,제주항공,2.76
A002210,동성제약,2.73
A011810,STX,2.71
A336370,솔루스첨단소재,2.70
A008730,율촌화학,2.67
A019170,신풍제약,2.67
A001060,JW중외제약,2.67
A064350,현대로템,2.66
A010120,LS ELECTRIC,2.65
A074610,이엔플러스,2.64
A000100,유한양행,2.63
A302440,SK바이오사이언스,2.63
A381970,케이카,2.62
A001470,삼부토건,2.62
A010820,퍼스텍,2.60
A017860,DS단석,2.58
A012600,청호ICT,2.58
A010580,에스엠벡셀,2.57
A271940,일진하이솔루스,2.53
A000230,일동홀딩스,2.53
A042660,한화오션,2.47
A011790,SKC,2.45
A298040,효성중공업,2.45
A009320,대우부품,2.44
A004410,서울식품,2.44
A307950,현대오토에버,2.43
A377300,카카오페이,2.42
A093370,후성,2.41
A249420,일동제약,2.41
A002840,미원상사,2.37
A014680,한솔케미칼,2.34
A007610,선도전기,2.33
A112610,씨에스윈드,2.32
A298050,효성첨단소재,2.24
A000660,SK하이닉스,2.23
A130660,한전산업,2.20
A003350,한국화장품제조,2.20
A075580,세진중공업,2.19
A329180,HD현대중공업,2.17
A035720,카카오,2.16
A003410,쌍용C&E,2.16
A145210,다이나믹디자인,2.16
A020760,일진디스플,2.15
A282330,BGF리테일,2.10
A114090,GKL,2.08
A259960,크래프톤,2.07
A023450,동남합성,2.07
A068270,셀트리온,2.06
A103590,일진전기,2.02
A094280,효성ITX,2.02
A090430,아모레퍼시픽,2.00
A009240,한샘,2.00
A214420,토니모리,1.99
A001820,삼화콘덴서,1.96
A010640,진양폴리,1.95
A010140,삼성중공업,1.92
A383220,F&F,1.92
A005030,부산주공,1.92
A323410,카카오뱅크,1.91
A078520,에이블씨엔씨,1.91
A047400,유니온머티리얼,1.91
A071970,STX중공업,1.90
A465770,STX그린로지스,1.90
A003720,삼영,1.86
A361610,SK아이이테크놀로지,1.84
A178920,PI첨단소재,1.84
A006340,대원전선,1.84
A001440,대한전선,1.81
A268280,미원에스씨,1.80
A011930,신성이엔지,1.76
A024900,덕양산업,1.76
A161890,한국콜마,1.71
A001340,백광산업,1.71
A079160,CJ CGV,1.70
A011500,한농화성,1.70
A051630,진양화학,1.70
A069620,대웅제약,1.69
A093230,이아이디,1.68
A025820,이구산업,1.68
A096760,JW홀딩스,1.67
A092200,디아이씨,1.66
A298690,에어부산,1.65
A011000,진원생명과학,1.65
A030190,NICE평가정보,1.64
A002420,세기상사,1.63
A015260,에이엔피,1.62
A018470,조일알미늄,1.59
A002700,신일전자,1.59
A138040,메리츠금융지주,1.58
A007460,에이프로젠,1.58
A037270,YG PLUS,1.58
A003560,IHQ,1.58
A000150,두산,1.57
A185750,종근당,1.57
A003000,부광약품,1.57
A272210,한화시스템,1.56
A005950,이수화학,1.56
A001360,삼성제약,1.56
A195870,해성디에스,1.55
A017370,우신시스템,1.55
A011700,한신기계,1.55
A281820,케이씨텍,1.54
A014820,동원시스템즈,1.53
A077970,STX엔진,1.53
A119650,KC코트렐,1.53
A000040,KR모터스,1.53
A006400,삼성SDI,1.52
A021240,코웨이,1.51
A020150,롯데에너지머티리얼즈,1.50
A192650,드림텍,1.49
A027740,마니커,1.49
A002880,대유에이텍,1.49
A028050,삼성E&A,1.48
A010620,HD현대미포,1.48
A271980,제일약품,1.48
A003780,진양산업,1.47
A073240,금호타이어,1.46
A009450,경동나비엔,1.46
A005930,삼성전자,1.45
A004830,덕성,1.45
A035150,백산,1.44
A012690,모나리자,1.43
A007110,일신석재,1.43
