Symbol,Name,결산월,회계년,주기,ROE(영업이익)(%)
A005930,삼성전자,12,2011,Annual,16.41
A005930,삼성전자,12,2012,Annual,26.08
A005930,삼성전자,12,2013,Annual,27.10
A005930,삼성전자,12,2014,Annual,15.73
A005930,삼성전자,12,2015,Annual,15.22
A005930,삼성전자,12,2016,Annual,15.72
A005930,삼성전자,12,2017,Annual,26.33
A005930,삼성전자,12,2018,Annual,25.48
A005930,삼성전자,12,2019,Annual,10.88
A005930,삼성전자,12,2020,Annual,13.36
A005930,삼성전자,12,2021,Annual,17.78
A005930,삼성전자,12,2022,Annual,13.15
A005930,삼성전자,12,2023,Annual,1.83
A005930,삼성전자,12,2024,Annual,
A000660,SK하이닉스,12,2011,Annual,4.68
A000660,SK하이닉스,12,2012,Annual,-2.58
A000660,SK하이닉스,12,2013,Annual,29.64
A000660,SK하이닉스,12,2014,Annual,32.85
A000660,SK하이닉스,12,2015,Annual,27.07
A000660,SK하이닉스,12,2016,Annual,14.43
A000660,SK하이닉스,12,2017,Annual,47.44
A000660,SK하이닉스,12,2018,Annual,51.67
A000660,SK하이닉스,12,2019,Annual,5.74
A000660,SK하이닉스,12,2020,Annual,10.04
A000660,SK하이닉스,12,2021,Annual,21.75
A000660,SK하이닉스,12,2022,Annual,10.85
A000660,SK하이닉스,12,2023,Annual,-13.24
A000660,SK하이닉스,12,2024,Annual,
A373220,LG에너지솔루션,12,2011,Annual,
A373220,LG에너지솔루션,12,2012,Annual,
A373220,LG에너지솔루션,12,2013,Annual,
A373220,LG에너지솔루션,12,2014,Annual,
A373220,LG에너지솔루션,12,2015,Annual,
A373220,LG에너지솔루션,12,2016,Annual,
A373220,LG에너지솔루션,12,2017,Annual,
A373220,LG에너지솔루션,12,2018,Annual,
A373220,LG에너지솔루션,12,2019,Annual,
A373220,LG에너지솔루션,12,2020,Annual,
A373220,LG에너지솔루션,12,2021,Annual,9.42
A373220,LG에너지솔루션,12,2022,Annual,8.27
A373220,LG에너지솔루션,12,2023,Annual,6.61
A373220,LG에너지솔루션,12,2024,Annual,
A207940,삼성바이오로직스,12,2011,Annual,
A207940,삼성바이오로직스,12,2012,Annual,-27.89
A207940,삼성바이오로직스,12,2013,Annual,-34.18
A207940,삼성바이오로직스,12,2014,Annual,-19.81
A207940,삼성바이오로직스,12,2015,Annual,-11.85
A207940,삼성바이오로직스,12,2016,Annual,-0.89
A207940,삼성바이오로직스,12,2017,Annual,1.64
A207940,삼성바이오로직스,12,2018,Annual,1.37
A207940,삼성바이오로직스,12,2019,Annual,2.16
A207940,삼성바이오로직스,12,2020,Annual,6.54
A207940,삼성바이오로직스,12,2021,Annual,11.21
A207940,삼성바이오로직스,12,2022,Annual,14.08
A207940,삼성바이오로직스,12,2023,Annual,11.84
A207940,삼성바이오로직스,12,2024,Annual,
A005380,현대차,12,2011,Annual,21.93
A005380,현대차,12,2012,Annual,19.13
A005380,현대차,12,2013,Annual,15.91
A005380,현대차,12,2014,Annual,12.67
A005380,현대차,12,2015,Annual,9.82
A005380,현대차,12,2016,Annual,7.46
A005380,현대차,12,2017,Annual,6.22
A005380,현대차,12,2018,Annual,3.26
A005380,현대차,12,2019,Annual,4.80
A005380,현대차,12,2020,Annual,3.14
A005380,현대차,12,2021,Annual,8.40
A005380,현대차,12,2022,Annual,11.32
A005380,현대차,12,2023,Annual,15.70
A005380,현대차,12,2024,Annual,
A000270,기아,12,2011,Annual,29.46
A000270,기아,12,2012,Annual,23.20
A000270,기아,12,2013,Annual,17.13
A000270,기아,12,2014,Annual,12.04
A000270,기아,12,2015,Annual,10.09
A000270,기아,12,2016,Annual,9.69
A000270,기아,12,2017,Annual,2.48
A000270,기아,12,2018,Annual,4.28
A000270,기아,12,2019,Annual,7.15
A000270,기아,12,2020,Annual,7.02
A000270,기아,12,2021,Annual,15.63
A000270,기아,12,2022,Annual,19.48
A000270,기아,12,2023,Annual,27.03
A000270,기아,12,2024,Annual,
A068270,셀트리온,12,2011,Annual,21.26
A068270,셀트리온,12,2012,Annual,20.05
A068270,셀트리온,12,2013,Annual,9.34
A068270,셀트리온,12,2014,Annual,16.55
A068270,셀트리온,12,2015,Annual,15.88
A068270,셀트리온,12,2016,Annual,11.76
A068270,셀트리온,12,2017,Annual,22.35
A068270,셀트리온,12,2018,Annual,12.91
A068270,셀트리온,12,2019,Annual,13.95
A068270,셀트리온,12,2020,Annual,22.81
A068270,셀트리온,12,2021,Annual,19.90
A068270,셀트리온,12,2022,Annual,15.55
A068270,셀트리온,12,2023,Annual,6.09
A068270,셀트리온,12,2024,Annual,
A005490,POSCO홀딩스,12,2011,Annual,13.80
A005490,POSCO홀딩스,12,2012,Annual,8.79
A005490,POSCO홀딩스,12,2013,Annual,6.79
A005490,POSCO홀딩스,12,2014,Annual,7.05
A005490,POSCO홀딩스,12,2015,Annual,5.33
A005490,POSCO홀딩스,12,2016,Annual,6.26
A005490,POSCO홀딩스,12,2017,Annual,9.91
A005490,POSCO홀딩스,12,2018,Annual,11.76
A005490,POSCO홀딩스,12,2019,Annual,8.18
A005490,POSCO홀딩스,12,2020,Annual,5.03
A005490,POSCO홀딩스,12,2021,Annual,18.03
A005490,POSCO홀딩스,12,2022,Annual,8.58
A005490,POSCO홀딩스,12,2023,Annual,5.99
A005490,POSCO홀딩스,12,2024,Annual,
A035420,NAVER,12,2011,Annual,45.54
A035420,NAVER,12,2012,Annual,29.94
A035420,NAVER,12,2013,Annual,29.98
A035420,NAVER,12,2014,Annual,46.33
A035420,NAVER,12,2015,Annual,40.83
A035420,NAVER,12,2016,Annual,34.44
A035420,NAVER,12,2017,Annual,25.00
A035420,NAVER,12,2018,Annual,16.75
A035420,NAVER,12,2019,Annual,18.55
A035420,NAVER,12,2020,Annual,16.47
A035420,NAVER,12,2021,Annual,8.21
A035420,NAVER,12,2022,Annual,5.50
A035420,NAVER,12,2023,Annual,6.24
A035420,NAVER,12,2024,Annual,
A105560,KB금융,12,2011,Annual,15.89
A105560,KB금융,12,2012,Annual,10.16
A105560,KB금융,12,2013,Annual,7.99
A105560,KB금융,12,2014,Annual,7.32
A105560,KB금융,12,2015,Annual,6.46
A105560,KB금융,12,2016,Annual,5.57
A105560,KB금융,12,2017,Annual,12.30
A105560,KB금융,12,2018,Annual,12.24
A105560,KB금융,12,2019,Annual,12.00
A105560,KB금융,12,2020,Annual,11.23
A105560,KB금융,12,2021,Annual,13.30
A105560,KB금융,12,2022,Annual,10.33
A105560,KB금융,12,2023,Annual,11.39
A105560,KB금융,12,2024,Annual,
A006400,삼성SDI,12,2011,Annual,1.75
A006400,삼성SDI,12,2012,Annual,2.69
A006400,삼성SDI,12,2013,Annual,-0.15
A006400,삼성SDI,12,2014,Annual,0.73
A006400,삼성SDI,12,2015,Annual,-2.32
A006400,삼성SDI,12,2016,Annual,-8.34
A006400,삼성SDI,12,2017,Annual,1.04
A006400,삼성SDI,12,2018,Annual,6.04
A006400,삼성SDI,12,2019,Annual,3.71
A006400,삼성SDI,12,2020,Annual,5.16
A006400,삼성SDI,12,2021,Annual,7.48
A006400,삼성SDI,12,2022,Annual,11.16
A006400,삼성SDI,12,2023,Annual,8.80
A006400,삼성SDI,12,2024,Annual,
A028260,삼성물산,12,2011,Annual,5.46
