,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액
0,AK홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6840.0,KOSPI,기타금융,195931000000.0
1,BYC,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1460.0,KOSPI,섬유의복,246411000000.0
2,CJ,B이하,B이하,A,A,A,A,A,A+,1040.0,KOSPI,기타금융,3574180000000.0
3,CJCGV,B이하,B이하,B이하,B+,B이하,B+,B+,B+,79160.0,KOSPI,서비스업,710106000000.0
4,CJ대한통운,B+,B+,A,A,B+,A,B+,B+,120.0,KOSPI,운수창고업,2817320000000.0
6,CJ제일제당,B+,B이하,A,A,B+,B+,A,A+,97950.0,KOSPI,음식료품,5223800000000.0
8,DB,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,12030.0,KOSPI,서비스업,291300000000.0
9,DB금융투자,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,16610.0,KOSPI,증권,174030000000.0
10,DB손해보험,A,A,B+,B+,A,A,A,A,5830.0,KOSPI,보험,6605640000000.0
11,DB하이텍,B이하,B이하,B이하,B+,B+,B+,B+,B+,990.0,KOSPI,전기전자,1818120000000.0
12,DRB동일,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4840.0,KOSPI,화학,115793000000.0
13,DSR제강,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,69730.0,KOSPI,철강금속,59616000000.0
14,E1,B이하,B+,B이하,B이하,B+,B+,B+,B+,17940.0,KOSPI,유통업,454818000000.0
16,GKL,B+,B+,B+,B이하,B+,B+,B이하,B+,114090.0,KOSPI,서비스업,856082000000.0
18,GS건설,A,A,A,A,A,B+,A,B+,6360.0,KOSPI,건설업,1258050000000.0
19,GS글로벌,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1250.0,KOSPI,유통업,198081000000.0
