,종목명,2011지배구조,2012지배구조,2013지배구조,2014지배구조,2015지배구조,2016지배구조,2017지배구조,2018지배구조,종목코드,시장구분,업종명,시가총액
0,AK홀딩스,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,6840.0,KOSPI,기타금융,195931000000.0
1,BYC,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1460.0,KOSPI,섬유의복,246411000000.0
4,CJ대한통운,B이하,B이하,B+,B+,B+,A,A,A,120.0,KOSPI,운수창고업,2817320000000.0
6,CJ제일제당,A,B+,A,A,A,A,A,A,97950.0,KOSPI,음식료품,5223800000000.0
10,DB손해보험,B+,B+,B+,B+,B+,B+,B+,A,5830.0,KOSPI,보험,6605640000000.0
11,DB하이텍,B+,B+,B+,B이하,B+,B+,B+,B+,990.0,KOSPI,전기전자,1818120000000.0
12,DRB동일,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4840.0,KOSPI,화학,115793000000.0
14,E1,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,17940.0,KOSPI,유통업,454818000000.0
18,GS건설,A,A,A,A,A,A,A,A,6360.0,KOSPI,건설업,1258050000000.0
19,GS글로벌,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1250.0,KOSPI,유통업,198081000000.0
20,JW중외제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1060.0,KOSPI,의약품,690428000000.0
22,KB금융,A,A,A+,A,B+,A,A,A+,105560.0,KOSPI,기타금융,28044000000000.0
25,KC그린홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9440.0,KOSPI,기타금융,54404826500.0
26,KEC,B이하,B이하,B이하,B+,B+,B+,B+,B+,92220.0,KOSPI,전기전자,260189000000.0
28,KG케미칼,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1390.0,KOSPI,화학,378634000000.0
30,그린케미칼,B이하,B+,B+,B+,B+,B+,B+,B+,83420.0,KOSPI,화학,171120000000.0
31,KPX케미칼,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,25000.0,KOSPI,화학,217074000000.0
33,KR모터스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,40.0,KOSPI,운수장비,31696560384.0
38,LG디스플레이,B+,B+,B+,A,A,B+,A,A,34220.0,KOSPI,전기전자,5065000000000.0
41,LG생활건강,A,A,A,A,A,A,A,A,51900.0,KOSPI,화학,5973960000000.0
43,LG이노텍,A,A,A,A,A,A,A,A,11070.0,KOSPI,전기전자,4366580000000.0
44,LG전자,A,A,A,A+,A,A,A,A,66570.0,KOSPI,전기전자,15055600000000.0
45,LX하우시스,B+,B+,A,A,A,A,A,A,108670.0,KOSPI,화학,352878000000.0
46,LG화학,A,A,B+,B+,B+,B+,A,A,51910.0,KOSPI,화학,26683900000000.0
49,LSELECTRIC,B이하,B+,B+,B+,B+,A,A,A,10120.0,KOSPI,전기전자,4758000000000.0
50,MH에탄올,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,23150.0,KOSPI,음식료품,45082793860.0
51,NAVER,B이하,B+,B이하,B이하,B이하,B+,B+,B이하,35420.0,KOSPI,서비스업,29379700000000.0
53,NH투자증권,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,5940.0,KOSPI,증권,3853960000000.0
56,OCI,A,A,A,B+,B이하,B+,A,A,456040.0,KOSPI,화학,748013000000.0
58,SNT모티브,B이하,B이하,B이하,B이하,B+,B+,B+,B+,64960.0,KOSPI,운수장비,666084000000.0
59,SNT다이내믹스,B이하,B이하,B이하,B+,B+,B이하,B+,B+,3570.0,KOSPI,운수장비,540356000000.0
61,S-Oil,A+,A+,A+,A+,A,A,A,A,10950.0,KOSPI,화학,8567550000000.0
69,SKC,A+,A,A,A,A,A,A,B+,11790.0,KOSPI,화학,4161730000000.0
70,SK가스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,18670.0,KOSPI,유통업,1426070000000.0
71,SK네트웍스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,1740.0,KOSPI,유통업,1199330000000.0
75,SK텔레콤,A+,A+,A,A,A,A,A,A,17670.0,KOSPI,통신업,10954300000000.0
76,SK하이닉스,A+,A+,A,B+,B+,B+,A,B+,660.0,KOSPI,전기전자,124925000000000.0
82,TCC스틸,B이하,B이하,B이하,B이하,B+,B+,B+,B이하,2710.0,KOSPI,철강금속,1420780000000.0
85,가온전선,B이하,B이하,B이하,B이하,B이하,B+,B+,B+,500.0,KOSPI,전기전자,274819000000.0
86,강남제비스코,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,860.0,KOSPI,화학,178100000000.0
91,경농,B이하,B+,B+,B이하,B이하,B이하,B이하,B이하,2100.0,KOSPI,화학,191712000000.0
92,경동나비엔,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,9450.0,KOSPI,전기전자,789618000000.0
95,경인양행,B이하,B+,B이하,B이하,B이하,B이하,B이하,B이하,12610.0,KOSPI,화학,137542000000.0
97,계룡건설,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,13580.0,KOSPI,건설업,117888000000.0
101,고려아연,B이하,B+,B+,B+,B+,B이하,B이하,B+,10130.0,KOSPI,철강금속,9847940000000.0
104,광동제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9290.0,KOSPI,의약품,354365000000.0
105,광명전기,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,17040.0,KOSPI,전기전자,110728000000.0
106,광전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,17900.0,KOSPI,전기전자,121392000000.0
107,광주신세계,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,37710.0,KOSPI,유통업,245479000000.0
109,국도화학,B이하,B+,B+,B+,B+,B+,B+,B+,7690.0,KOSPI,화학,312668000000.0
111,국보,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1140.0,KOSPI,운수창고업,32447620090.0
112,국제약품,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2720.0,KOSPI,의약품,106434000000.0
114,극동유화,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14530.0,KOSPI,화학,139652000000.0
118,금호건설,B이하,B이하,B이하,B+,B이하,B+,B이하,B이하,2990.0,KOSPI,건설업,155205000000.0
119,금호석유,A,B+,A,B+,B+,B+,B+,A,11780.0,KOSPI,화학,3406510000000.0
120,금호전기,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1210.0,KOSPI,전기전자,27295981353.0
122,기아,A,B+,B+,B+,B+,A,B+,A,270.0,KOSPI,운수장비,46275300000000.0
124,까뮤이앤씨,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,13700.0,KOSPI,건설업,70753622760.0
125,깨끗한나라,B+,B+,B+,B+,B+,B+,B+,B+,4540.0,KOSPI,종이목재,82115728065.0
128,남선알미늄,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8350.0,KOSPI,철강금속,242669000000.0
132,남해화학,B이하,B+,B+,B+,B+,B+,B+,B+,25860.0,KOSPI,화학,356694000000.0
134,넥센타이어,B이하,B+,B+,B+,B+,B+,B+,B+,2350.0,KOSPI,화학,899521000000.0
135,노루페인트,B이하,B+,B+,B+,B이하,B이하,B이하,B이하,90350.0,KOSPI,화학,181400000000.0
137,녹십자,B이하,B+,B이하,B이하,B이하,B이하,B+,B+,6280.0,KOSPI,의약품,1308890000000.0
139,농심,B이하,B+,B+,B+,B+,B+,B+,B+,4370.0,KOSPI,음식료품,2405680000000.0
144,KIB플러그에너지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,15590.0,KOSPI,기계,103087000000.0
146,대구백화점,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6370.0,KOSPI,유통업,78132031420.0
149,대덕전자,B이하,B이하,B+,B+,B이하,B+,B+,B+,353200.0,KOSPI,전기전자,1129180000000.0
150,대동,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,490.0,KOSPI,기계,302818000000.0
152,대림B&Co,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5750.0,KOSPI,비금속광물,66355515200.0
153,DL,A,B+,B+,A,A,A,B+,B+,210.0,KOSPI,화학,1058270000000.0
154,대림통상,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,6570.0,KOSPI,기계,44761500000.0
155,대상,B이하,B이하,B+,B이하,B이하,B이하,B이하,B이하,1680.0,KOSPI,음식료품,758792000000.0
