,종목명,2020지배구조,2021지배구조,2022지배구조,2023지배구조,2024지배구조,종목코드,시장구분,업종명,시가총액
0,AK홀딩스,B+,B+,B,B+,B+,6840.0,KOSPI,기타금융,195931000000.0
1,BYC,B+,B+,D,D,D,1460.0,KOSPI,섬유의복,246411000000.0
2,CJ,A,A,B+,B+,B+,1040.0,KOSPI,기타금융,3574180000000.0
3,CJCGV,A,A,B+,B+,B+,79160.0,KOSPI,서비스업,710106000000.0
4,CJ대한통운,A,A,B,B+,B+,120.0,KOSPI,운수창고업,2817320000000.0
5,CJ씨푸드,B+,B+,B,B,B,11150.0,KOSPI,음식료품,98809625750.0
6,CJ제일제당,A,A,B+,A,A,97950.0,KOSPI,음식료품,5223800000000.0
7,CS홀딩스,B,B+,B,B,B,590.0,KOSPI,기타금융,73540503400.0
8,DB,B,B+,B+,C,C,12030.0,KOSPI,서비스업,291300000000.0
9,DB금융투자,B,B,B,B+,B+,16610.0,KOSPI,증권,174030000000.0
10,DB손해보험,B+,B+,B+,B+,B+,5830.0,KOSPI,보험,6605640000000.0
11,DB하이텍,B+,A,B,B,B,990.0,KOSPI,전기전자,1818120000000.0
12,DRB동일,B,B+,B,B+,B+,4840.0,KOSPI,화학,115793000000.0
13,DSR제강,C,B+,B,B,B,69730.0,KOSPI,철강금속,59616000000.0
14,E1,B+,B+,B+,B+,B+,17940.0,KOSPI,유통업,454818000000.0
16,GKL,A,B+,A,B+,B+,114090.0,KOSPI,서비스업,856082000000.0
17,GS,A,A,A,C,C,78930.0,KOSPI,기타금융,4157960000000.0
18,GS건설,A,A,A,A,A,6360.0,KOSPI,건설업,1258050000000.0
19,GS글로벌,B+,A,B+,B+,B+,1250.0,KOSPI,유통업,198081000000.0
20,JW중외제약,B,B+,D,B+,B+,1060.0,KOSPI,의약품,690428000000.0
21,JW홀딩스,B+,B+,B+,B+,B+,96760.0,KOSPI,기타금융,219927000000.0
22,KB금융,A+,A+,A+,A+,A+,105560.0,KOSPI,기타금융,28044000000000.0
25,KC그린홀딩스,B,B+,C,C,C,9440.0,KOSPI,기타금융,54404826500.0
26,KEC,C,B,C,D,D,92220.0,KOSPI,전기전자,260189000000.0
27,주성코퍼레이션,D,B,C,D,D,109070.0,KOSPI,전기전자,216522000000.0
28,KG케미칼,D,B,D,C,C,1390.0,KOSPI,화학,378634000000.0
29,KISCO홀딩스,C,B,C,D,D,1940.0,KOSPI,철강금속,373674000000.0
30,그린케미칼,B,B,D,B,B,83420.0,KOSPI,화학,171120000000.0
31,KPX케미칼,B,C,D,C,C,25000.0,KOSPI,화학,217074000000.0
