,종목명,2011환경,2012환경,2013환경,2014환경,2015환경,2016환경,2017환경,2018환경,종목코드,시장구분,업종명,시가총액
0,AK홀딩스,B,C,C,C,C,B,B,C,6840.0,KOSPI,기타금융,195931000000.0
1,BYC,B,C,B,C,C,C,B,B+,1460.0,KOSPI,섬유의복,246411000000.0
2,CJ,B+,B,B,B,B,B+,A,A,1040.0,KOSPI,기타금융,3574180000000.0
3,CJCGV,B,B,B,C,B,C,B+,A,79160.0,KOSPI,서비스업,710106000000.0
4,CJ대한통운,B,B,B+,B+,B+,B+,B+,B+,120.0,KOSPI,운수창고업,2817320000000.0
5,CJ씨푸드,C,C,C,B,B,B,B,B,11150.0,KOSPI,음식료품,98809625750.0
6,CJ제일제당,B+,B+,B,B,B,B,B+,B+,97950.0,KOSPI,음식료품,5223800000000.0
7,CS홀딩스,B,C,C,C,B,C,B,B,590.0,KOSPI,기타금융,73540503400.0
8,DB,B,B,B,B,C,C,B,B,12030.0,KOSPI,서비스업,291300000000.0
9,DB금융투자,B,B,C,B,A,B+,A,B+ 이하,16610.0,KOSPI,증권,174030000000.0
10,DB손해보험,A,B+,B+,A+,A,A+,A,B+ 이하,5830.0,KOSPI,보험,6605640000000.0
11,DB하이텍,B,B,B+,B,C,B,C,B,990.0,KOSPI,전기전자,1818120000000.0
12,DRB동일,C,B,C,C,C,B,B,C,4840.0,KOSPI,화학,115793000000.0
13,DSR제강,C,C,C,C,C,C,B,C,69730.0,KOSPI,철강금속,59616000000.0
14,E1,B+,B,B,B+,B,B+,B+,B,17940.0,KOSPI,유통업,454818000000.0
15,F&F,B,B,B,B,B,B,B,C,383220.0,KOSPI,섬유의복,2528270000000.0
16,GKL,B,B+,B+,B,B+,B,B+,B,114090.0,KOSPI,서비스업,856082000000.0
17,GS,B+,B+,B+,B+,B,B,B+,B+,78930.0,KOSPI,기타금융,4157960000000.0
18,GS건설,A,A,A,B+,B,B+,B+,B+,6360.0,KOSPI,건설업,1258050000000.0
19,GS글로벌,B,B,B,B,B,B,B+,B+,1250.0,KOSPI,유통업,198081000000.0
20,JW중외제약,B,B,C,C,C,B,B,B+,1060.0,KOSPI,의약품,690428000000.0
21,JW홀딩스,B,B,B,B,B,C,B+,B,96760.0,KOSPI,기타금융,219927000000.0
22,KB금융,A+,A+,A+,A,A,A+,A,A+,105560.0,KOSPI,기타금융,28044000000000.0
25,KC그린홀딩스,B,B,B,B,B,B,B,B,9440.0,KOSPI,기타금융,54404826500.0
26,KEC,C,C,B,B,C,C,B,B,92220.0,KOSPI,전기전자,260189000000.0
28,KG케미칼,C,C,D,C,B,C,D,D,1390.0,KOSPI,화학,378634000000.0
29,KISCO홀딩스,B+,B,B,B,B+,B,B,B+,1940.0,KOSPI,철강금속,373674000000.0
30,그린케미칼,B,B,B,C,B,B,D,B,83420.0,KOSPI,화학,171120000000.0
31,KPX케미칼,B,B,B+,B,B,B,C,B,25000.0,KOSPI,화학,217074000000.0
32,KPX홀딩스,B,B,B,B,B,B,B,B,92230.0,KOSPI,화학,238270000000.0
33,KR모터스,B,B,C,B,C,B,B,C,40.0,KOSPI,운수장비,31696560384.0
34,KSS해운,B,B,B,B+,B,B,B+,B,44450.0,KOSPI,운수창고업,187457000000.0
35,다올투자증권,B+,B+,B+,B,C,B+,B+,B+ 이하,30210.0,KOSPI,증권,187911000000.0
36,LF,B+,B,B,B,B,B,B+,B,93050.0,KOSPI,섬유의복,437138000000.0
37,LG,B+,B,A,A,A,A,B+,B+,3550.0,KOSPI,기타금융,12426800000000.0
38,LG디스플레이,B+,B+,B+,B+,B+,B+,B+,B+,34220.0,KOSPI,전기전자,5065000000000.0
41,LG생활건강,B+,B+,B+,B+,B+,B+,B+,B+,51900.0,KOSPI,화학,5973960000000.0
42,LG유플러스,A,B+,A,A,B+,B+,B+,B+,32640.0,KOSPI,통신업,4243860000000.0
43,LG이노텍,B+,B+,B+,A,A,A,B+,B+,11070.0,KOSPI,전기전자,4366580000000.0
44,LG전자,B+,B+,B+,B+,C,B,B,B,66570.0,KOSPI,전기전자,15055600000000.0
45,LX하우시스,B+,B+,B+,B+,B,B+,B+,B+,108670.0,KOSPI,화학,352878000000.0
46,LG화학,B+,B+,A,A,B+,B,B+,B+,51910.0,KOSPI,화학,26683900000000.0
47,LS,B+,B+,B+,B+,B,B,B,C,6260.0,KOSPI,기타금융,4079740000000.0
48,LS네트웍스,B,B,B,B,D,C,B,B,680.0,KOSPI,유통업,344369000000.0
49,LSELECTRIC,A,B+,B+,B+,B+,B+,B,B,10120.0,KOSPI,전기전자,4758000000000.0
50,MH에탄올,B,B,C,B,B,B,C,C,23150.0,KOSPI,음식료품,45082793860.0
51,NAVER,A,A,B+,A,B+,B,B+,B+,35420.0,KOSPI,서비스업,29379700000000.0
53,NH투자증권,A,A,B+,A,A,A+,A,B+ 이하,5940.0,KOSPI,증권,3853960000000.0
54,NICE,B,B,B,B,B+,B,B+,B,34310.0,KOSPI,서비스업,461293000000.0
55,NI스틸,B,C,C,C,C,B,B,D,8260.0,KOSPI,철강금속,126699000000.0
56,OCI,A,B+,B+,B+,B,B+,B+,B+,456040.0,KOSPI,화학,748013000000.0
57,SNT에너지,B,B,B,B,B,B,B,B,100840.0,KOSPI,기계,76193116650.0
58,SNT모티브,B+,B+,B,B,B,B,B+,B,64960.0,KOSPI,운수장비,666084000000.0
59,SNT다이내믹스,B,B,B,B,B,B,B,B,3570.0,KOSPI,운수장비,540356000000.0
60,SNT홀딩스,B,B,B,B,B,B,B,B,36530.0,KOSPI,기타금융,366837000000.0
