종목명,2011 Market Cap,2012 Market Cap,2013 Market Cap,2014 Market Cap,2015 Market Cap,2016 Market Cap,2017 Market Cap,2018 Market Cap,2019 Market Cap,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap
AK홀딩스,3.2485E+11,1.65588E+11,4.76968E+11,1.06245E+12,8.37246E+11,7.41863E+11,9.07458E+11,7.15368E+11,4.58366E+11,3.33176E+11,2.55678E+11,2.27858E+11,2.26533E+11
BYC,1.11009E+11,1.29661E+11,1.32418E+11,2.00922E+11,3.28688E+11,2.85234E+11,2.23978E+11,1.78209E+11,1.74429E+11,2.08783E+11,3.21128E+11,2.59301E+11,2.97112E+11
CJ,2.27646E+12,3.49627E+12,3.47499E+12,4.70917E+12,7.60866E+12,5.62471E+12,5.46989E+12,3.66254E+12,3.22903E+12,3.12136E+12,2.85293E+12,2.8731E+12,3.16829E+12
CJCGV,,,,,,,,,,,,,
CJ대한통운,1.71093E+12,2.29264E+12,2.28123E+12,4.47122E+12,4.35716E+12,4.08341E+12,3.19373E+12,3.80966E+12,3.53591E+12,3.77544E+12,2.87436E+12,2.13752E+12,2.90173E+12
CJ제일제당,3.87541E+12,4.74319E+12,3.75348E+12,4.2426E+12,5.25726E+12,4.93502E+12,5.02247E+12,5.14134E+12,3.94587E+12,5.95799E+12,6.06912E+12,5.95179E+12,5.05557E+12
DB,99258844400,1.131E+11,80864086080,45713706320,90243591560,1.33681E+11,1.22346E+11,1.67176E+11,1.77033E+11,1.60134E+11,1.91115E+11,1.61543E+11,3.48634E+11
DB손해보험,3.78072E+12,3.25326E+12,3.97896E+12,3.894E+12,4.97724E+12,4.425E+12,5.04096E+12,4.98432E+12,3.70284E+12,3.0975E+12,3.8232E+12,4.62324E+12,5.92596E+12
DB하이텍,3.11875E+11,2.82085E+11,3.36065E+11,2.08033E+11,6.38391E+11,7.08784E+11,5.3625E+11,4.85813E+11,1.23298E+12,2.27758E+12,3.23923E+12,1.65715E+12,2.60176E+12
DRB동일,2.0856E+11,83013349500,1.31683E+11,2.2225E+11,2.32329E+11,2.28599E+11,1.4934E+11,1.27789E+11,1.04832E+11,1.37318E+11,1.04832E+11,81314400000,1.16591E+11
