,종목명,회계년,총자산(천원),EBIT(천원),총차입금(천원)
0,AK홀딩스,2010,"633,518,525","77,135,708","206,392,8555,735,702"
1,AK홀딩스,2011,"797,395,267","20,652,501","250,570,52953,531,575"
2,AK홀딩스,2012,"1,062,012,676","27,066,943","278,568,03176,035,400"
3,AK홀딩스,2013,"2,374,994,472","108,947,072","349,773,376196,176,418"
4,AK홀딩스,2014,"2,773,153,876","147,517,194","461,811,659442,035,089"
5,AK홀딩스,2015,"2,495,514,993","106,316,161","599,867,254173,049,776"
6,AK홀딩스,2016,"2,741,946,503","213,669,705","361,981,331208,072,515"
7,AK홀딩스,2017,"2,944,784,347","265,641,267","340,615,780239,496,379"
8,AK홀딩스,2018,"3,397,931,239","269,717,896","453,840,494286,561,671"
9,BYC,2010,"410,071,382","34,315,549","54,357,9640"
10,BYC,2011,"477,929,172","36,153,615","36,956,49949,900,000"
11,BYC,2012,"505,456,934","33,401,881","23,285,69944,851,433"
12,BYC,2013,"525,157,538","25,118,122","18,059,69527,130,027"
13,BYC,2014,"608,388,101","27,901,295","55,168,74660,053,467"
14,BYC,2015,"691,464,609","21,130,659","63,286,502114,077,000"
15,BYC,2016,"733,018,518","16,154,497","69,649,46898,400,000"
16,BYC,2017,"745,823,200","17,207,998","31,636,476122,500,000"
17,BYC,2018,"738,431,267","21,346,821","11,537,425155,000,000"
18,CJ,2010,"13,800,611,531","891,085,415","1,736,360,797539,552,120"
19,CJ,2011,"19,656,075,093","900,591,897","2,763,622,2871,958,718,876"
20,CJ,2012,"21,385,040,866","1,062,972,105","2,487,787,2852,211,482,209"
21,CJ,2013,"22,123,704,854","786,067,040","2,122,552,7192,685,707,899"
22,CJ,2014,"23,039,318,812","1,003,117,885","2,164,251,3592,443,390,507"
23,CJ,2015,"23,562,143,506","1,225,330,266","2,050,571,1221,420,790,955"
24,CJ,2016,"27,009,587,950","1,252,913,231","2,882,199,6701,834,967,495"
25,CJ,2017,"29,325,383,064","1,325,955,339","2,920,089,0201,592,710,545"
26,CJ,2018,"31,729,548,648","1,332,475,208","4,106,708,4231,767,900,780"
27,CJ대한통운,2010,"3,909,385,282","146,270,478","86,230,000488,778,127"
28,CJ대한통운,2011,"3,595,163,312","125,019,927","105,334,204522,809,369"
29,CJ대한통운,2012,"3,669,501,369","143,027,522","77,152,635520,618,490"
30,CJ대한통운,2013,"4,608,720,687","64,177,360","249,048,598804,918,021"
31,CJ대한통운,2014,"4,542,856,099","167,079,481","217,211,392701,553,281"
32,CJ대한통운,2015,"4,500,489,064","186,633,718","209,336,849312,024,763"
33,CJ대한통운,2016,"5,521,193,039","228,444,490","365,933,811394,120,586"
34,CJ대한통운,2017,"6,285,983,376","235,651,420","476,903,075468,350,842"
35,CJ대한통운,2018,"7,868,566,775","242,686,926","913,901,426415,957,840"
36,CJ씨푸드,2010,"60,766,722","6,271,453","13,625,9510"
37,CJ씨푸드,2011,"81,363,764","5,932,854","25,691,4670"
38,CJ씨푸드,2012,"84,020,228","6,405,562","21,110,8180"
39,CJ씨푸드,2013,"81,266,483","7,199,121","14,378,8760"
40,CJ씨푸드,2014,"101,198,140","6,455,900","28,108,4920"
41,CJ씨푸드,2015,"93,610,372","5,645,835","18,897,1030"
42,CJ씨푸드,2016,"119,740,511","5,858,131","33,184,0580"
43,CJ씨푸드,2017,"120,215,051","6,558,692","28,983,3130"
44,CJ씨푸드,2018,"126,515,257","4,134,079","38,369,9840"
45,CJ제일제당,2010,"6,002,563,148","452,371,057","1,065,015,226170,866,548"
46,CJ제일제당,2011,"11,339,519,300","459,920,951","1,892,711,9091,153,752,239"
47,CJ제일제당,2012,"12,363,882,660","615,528,667","1,642,298,5681,168,824,144"
48,CJ제일제당,2013,"13,004,490,092","345,479,026","1,519,777,4631,791,039,503"
49,CJ제일제당,2014,"13,382,531,013","579,930,251","1,568,249,3891,594,127,294"
50,CJ제일제당,2015,"13,751,265,058","751,413,820","1,440,731,948847,546,302"
51,CJ제일제당,2016,"15,766,238,539","843,638,184","1,801,456,4661,155,176,755"
52,CJ제일제당,2017,"16,868,123,895","776,575,241","1,913,735,363949,940,590"
53,CJ제일제당,2018,"19,497,022,884","832,709,680","2,624,754,311890,805,111"
54,CS홀딩스,2010,"161,071,811","3,950,399","1,546,1500"
55,CS홀딩스,2011,"188,753,459","11,799,916","1,883,2580"
56,CS홀딩스,2012,"218,181,889","14,621,993","1,302,2860"
57,CS홀딩스,2013,"233,929,444","17,819,127","1,266,1270"
58,CS홀딩스,2014,"260,355,830","20,997,600","5,690,6280"
59,CS홀딩스,2015,"284,933,124","22,697,997","8,788,7220"
60,CS홀딩스,2016,"293,927,435","19,832,913","7,245,3930"
61,CS홀딩스,2017,"302,433,875","17,036,018","8,183,3950"
62,CS홀딩스,2018,"304,418,193","13,319,440","5,190,0820"
63,DB,2010,"679,304,595","-3,978,995","56,684,725387,250"
64,DB,2011,"686,746,431","14,451,262","58,523,01577,450"
65,DB,2012,"693,327,543","21,835,953","65,205,4720"
66,DB,2013,"638,356,756","10,813,086","39,504,7960"
67,DB,2014,"365,853,366","-13,421,851","28,337,9770"
68,DB,2015,"276,200,611","9,761,079","6,316,6710"
69,DB,2016,"214,971,054","10,903,255","2,713,8490"
70,DB,2017,"197,512,862","3,848,653","5,455,9200"
71,DB,2018,"288,416,201","1,620,858","63,6870"
72,DB하이텍,2010,"1,381,251,114","-281,206,104","5,000,152760,366,029"
73,DB하이텍,2011,"1,199,043,869","-35,388,322","5,398,0460"
74,DB하이텍,2012,"1,157,755,031","-15,599,381","5,141,640214,817,416"
75,DB하이텍,2013,"1,058,391,832","-9,610,612","6,452,198276,846,544"
76,DB하이텍,2014,"984,876,636","45,560,248","7,547,467391,619,824"
77,DB하이텍,2015,"984,643,712","124,968,815","5,218,482399,748,737"
78,DB하이텍,2016,"986,788,572","172,427,930","15,253,525282,487,037"
79,DB하이텍,2017,"993,950,720","143,195,168","11,286,143315,595,985"
80,DB하이텍,2018,"1,066,533,840","112,993,143","15,890,934277,380,073"
81,DI동일,2010,"947,732,235","36,443,782",00
82,DI동일,2011,"976,868,870","28,779,965",00
83,DI동일,2012,"919,993,876","-1,187,067","172,796,16227,204,276"
84,DI동일,2013,"994,215,519","28,033,883","199,691,41043,299,092"
85,DI동일,2014,"984,816,252","14,067,439","210,834,72057,125,710"
86,DI동일,2015,"978,717,602","10,420,711","230,910,74564,843,361"
87,DI동일,2016,"986,880,679","17,269,240","228,895,20069,463,739"
88,DI동일,2017,"931,120,054","21,954,609","213,395,77648,113,346"
89,DI동일,2018,"947,634,081","44,454,004","240,766,29532,813,761"
90,DL,2010,"9,743,169,232","387,609,050","680,206,000173,946,443"
91,DL,2011,"10,764,643,410","437,456,651","469,366,000577,693,653"
92,DL,2012,"11,006,469,363","486,051,971","336,368,000378,504,000"
93,DL,2013,"10,783,047,096","39,658,239","327,261,000415,848,000"
94,DL,2014,"10,596,719,329","-270,236,201","325,936,000799,386,533"
95,DL,2015,"12,064,893,870","271,768,395","538,644,265832,807,278"
96,DL,2016,"12,391,509,195","419,387,736","305,319,6601,079,020,317"
97,DL,2017,"13,402,454,876","545,898,850","164,688,5301,357,231,023"
98,DL,2018,"12,833,716,732","845,358,146","186,862,7561,033,833,000"
99,DN오토모티브,2010,"747,482,027","42,441,824","172,512,86523,541,685"
100,DN오토모티브,2011,"740,062,652","51,802,639","145,186,16011,917,524"
101,DN오토모티브,2012,"730,588,820","41,278,240","68,665,716224,778"
102,DN오토모티브,2013,"798,296,716","52,035,926","85,857,50412,212,506"
103,DN오토모티브,2014,"971,558,345","45,278,986","151,658,54410,198,422"
104,DN오토모티브,2015,"1,064,506,282","84,936,222","151,573,4647,093,886"
105,DN오토모티브,2016,"1,115,539,571","65,223,341","137,543,3323,580,373"
106,DN오토모티브,2017,"778,625,093","59,471,061","84,861,9274,131,495"
107,DN오토모티브,2018,"870,759,626","71,691,357","127,360,5233,090,278"
108,DRB동일,2010,"470,098,590","28,009,298","117,587,00423,632,149"
109,DRB동일,2011,"522,115,419","16,887,532","137,089,6495,114,832"
110,DRB동일,2012,"368,994,998","27,917,620","115,606,4683,953,182"
111,DRB동일,2013,"567,066,429","33,906,752","147,374,4583,012,704"
112,DRB동일,2014,"617,244,613","69,244,220","150,940,598719,488"
113,DRB동일,2015,"639,083,096","73,744,873","130,402,18312,170,724"
114,DRB동일,2016,"701,206,828","67,469,281","114,993,16336,755,482"
115,DRB동일,2017,"677,426,447","37,151,762","103,199,45012,020,015"
116,DRB동일,2018,"716,166,879","27,046,588","116,458,41726,200,943"
117,DSR제강,2010,"156,770,638","10,598,771","32,468,1227,058,000"
118,DSR제강,2011,"204,273,623","7,670,526","48,361,92125,716,333"
119,DSR제강,2012,"200,277,496","-1,422,752","47,111,45015,979,800"
120,DSR제강,2013,"203,893,139","4,633,641","51,193,33811,159,907"
121,DSR제강,2014,"202,111,793","9,332,869","55,966,1143,583,320"
122,DSR제강,2015,"184,284,619","10,094,944","34,864,4275,000,000"
123,DSR제강,2016,"190,208,395","7,664,469","31,329,4882,500,000"
124,DSR제강,2017,"196,090,792","2,478,368","39,001,3760"
125,DSR제강,2018,"205,433,843","6,237,629","40,589,3361,750,000"
126,E1,2010,"3,160,705,293","78,706,216","678,840,508177,248,798"
127,E1,2011,"3,270,355,545","137,603,694","460,711,777290,823,265"
128,E1,2012,"3,512,419,789","109,883,094","457,316,562116,274,544"
129,E1,2013,"3,629,693,275","108,867,826","373,067,553362,723,578"
130,E1,2014,"3,658,165,076","86,965,138","422,595,054110,674,868"
131,E1,2015,"3,509,763,920","31,711,514","373,708,160216,841,723"
132,E1,2016,"3,544,179,098","11,087,869","414,679,477220,798,321"
133,E1,2017,"3,460,084,198","93,694,351","387,745,81011,719,712"
134,E1,2018,"3,565,388,941","14,012,873","307,305,541350,399,106"
135,GKL,2010,"338,224,675","99,218,162","019,107,592"
136,GKL,2011,"376,356,788","137,455,693","03,952,152"
137,GKL,2012,"502,672,156","146,412,038",00
138,GKL,2013,"562,914,254","191,127,939","0500,000"
139,GKL,2014,"651,013,158","147,762,333","0166,667"
140,GKL,2015,"650,518,244","118,377,541",00
