,종목명,회계년,총자산증가율(전년동기)(%),유형자산증가율(전년동기)(%),매출액증가율(전년동기)(%),당기순이익(천원)
0,AK홀딩스,2019,27.37,2.43,1.30,"57,377,833"
1,AK홀딩스,2020,-4.06,3.26,-30.31,"-264,310,731"
2,AK홀딩스,2021,9.55,10.67,20.91,"-199,326,057"
3,AK홀딩스,2022,9.60,11.33,19.58,"-124,858,460"
4,AK홀딩스,2023,6.61,10.09,18.26,"130,395,493"
5,BYC,2019,-6.03,3.47,-13.78,"27,788,950"
6,BYC,2020,-2.13,-10.93,-5.12,"18,285,122"
7,BYC,2021,0.78,12.38,1.60,"29,855,489"
8,BYC,2022,-2.27,12.59,3.18,"35,286,502"
9,BYC,2023,2.51,35.37,-0.75,"23,666,593"
10,CJ,2019,27.27,4.22,14.42,"323,842,817"
11,CJ,2020,-0.88,-3.81,-5.27,"204,007,798"
12,CJ,2021,4.82,3.47,7.77,"806,961,658"
13,CJ,2022,14.98,6.12,18.68,"686,845,690"
14,CJ,2023,-2.15,0.20,1.05,"524,667,990"
15,CJ대한통운,2019,15.78,6.43,12.97,"50,889,855"
16,CJ대한통운,2020,5.86,-0.65,3.51,"142,623,241"
17,CJ대한통운,2021,-6.74,-5.27,5.22,"158,279,696"
18,CJ대한통운,2022,7.78,1.57,6.94,"196,821,784"
19,CJ대한통운,2023,-3.46,-1.08,-2.99,"242,876,055"
20,CJ씨푸드,2019,0.66,3.65,-1.02,"1,827,958"
21,CJ씨푸드,2020,6.27,-2.95,-0.08,"2,105,552"
22,CJ씨푸드,2021,-1.44,-21.08,8.78,"2,204,339"
23,CJ씨푸드,2022,7.51,-5.58,-5.82,"7,419,861"
24,CJ씨푸드,2023,17.29,5.20,-2.85,"4,435,394"
25,CJ제일제당,2019,34.79,11.05,19.72,"191,028,303"
26,CJ제일제당,2020,-2.54,-3.29,8.47,"786,425,538"
27,CJ제일제당,2021,4.86,6.68,8.43,"892,393,213"
28,CJ제일제당,2022,11.76,6.73,14.42,"802,674,084"
29,CJ제일제당,2023,-1.36,-0.31,-3.51,"559,462,096"
30,CS홀딩스,2019,3.24,10.60,10.14,"16,603,892"
31,CS홀딩스,2020,3.00,-14.96,-2.47,"11,835,399"
32,CS홀딩스,2021,9.26,2.90,20.80,"21,065,821"
33,CS홀딩스,2022,2.94,-2.68,10.22,"18,788,498"
34,CS홀딩스,2023,5.43,-4.59,-1.88,"22,145,558"
35,DB,2019,25.91,-56.05,0.59,"4,404,486"
36,DB,2020,30.11,-10.03,14.23,"6,271,086"
37,DB,2021,27.41,-11.42,19.99,"21,705,064"
38,DB,2022,-31.18,13.66,22.77,"5,713,048"
39,DB,2023,112.25,70.67,14.26,"20,304,877"
40,DB하이텍,2019,2.10,3.18,20.64,"104,637,012"
41,DB하이텍,2020,8.24,9.42,15.92,"166,025,591"
42,DB하이텍,2021,31.51,-2.50,29.78,"316,891,852"
43,DB하이텍,2022,38.21,14.47,37.44,"556,227,096"
44,DB하이텍,2023,-4.61,26.29,-30.86,"264,149,251"
45,DRB동일,2019,4.06,11.93,0.29,"13,479,792"
46,DRB동일,2020,4.18,-1.92,-9.21,"6,267,807"
47,DRB동일,2021,7.15,5.92,11.01,"-2,796,740"
48,DRB동일,2022,13.62,1.19,20.04,"3,536,815"
49,DRB동일,2023,1.95,1.55,11.48,"21,854,908"
50,DSR제강,2019,-1.85,-3.60,3.36,"6,757,020"
51,DSR제강,2020,2.29,-6.24,-7.98,"5,279,451"
52,DSR제강,2021,17.19,-4.38,17.56,"7,620,490"
53,DSR제강,2022,7.32,-5.13,26.33,"28,926,448"
54,DSR제강,2023,1.38,-3.77,-18.62,"12,943,788"
55,E1,2019,0.83,-0.21,-0.47,"-52,402,497"
56,E1,2020,3.80,1.93,-14.77,"56,330,569"
57,E1,2021,7.18,-1.77,31.18,"138,568,375"
58,E1,2022,8.51,-1.68,55.09,"141,465,520"
59,E1,2023,5.94,-1.87,-2.04,"214,389,245"
60,GKL,2019,18.76,-5.79,2.17,"72,396,402"
61,GKL,2020,-22.10,-16.62,-62.41,"-64,326,966"
62,GKL,2021,-25.00,-18.17,-53.87,"-113,272,119"
63,GKL,2022,14.72,34.52,208.05,"-22,744,367"
64,GKL,2023,4.90,-6.56,51.35,"43,848,395"
65,GS,2019,9.29,-0.78,0.23,"668,945,000"
66,GS,2020,-1.04,-0.34,-13.17,"-187,776,000"
67,GS,2021,27.43,33.05,30.57,"1,614,682,000"
68,GS,2022,8.76,-3.22,41.74,"2,482,704,000"
69,GS,2023,1.55,4.38,-9.11,"1,578,711,000"
70,GS건설,2019,9.46,39.83,-20.72,"447,479,243"
71,GS건설,2020,4.55,21.32,-2.82,"329,675,683"
72,GS건설,2021,10.26,8.17,-10.73,"428,803,250"
73,GS건설,2022,11.61,17.91,36.10,"441,211,561"
74,GS건설,2023,4.49,23.98,9.25,"-419,500,545"
75,GS글로벌,2019,-9.79,-8.49,-4.17,"-16,661,330"
76,GS글로벌,2020,-20.61,-6.08,-27.62,"-82,139,431"
77,GS글로벌,2021,50.78,-5.83,36.73,"22,028,008"
78,GS글로벌,2022,-1.61,-3.89,31.75,"68,061,370"
79,GS글로벌,2023,-1.29,1.78,-22.77,"26,078,651"
80,JW중외제약,2019,-3.47,25.96,-4.81,"-25,275,016"
81,JW중외제약,2020,-4.21,23.85,7.04,"-15,275,471"
82,JW중외제약,2021,15.29,-36.80,10.83,"-1,441,453"
83,JW중외제약,2022,-0.80,3.60,12.82,"29,852,560"
84,JW중외제약,2023,2.72,7.28,9.38,"38,430,260"
85,JW홀딩스,2019,-3.84,7.46,0.37,"-27,869,132"
86,JW홀딩스,2020,-9.21,16.74,7.34,"3,385,180"
87,JW홀딩스,2021,-4.29,-15.53,0.95,"4,434,634"
88,JW홀딩스,2022,8.61,13.55,9.58,"46,482,142"
89,JW홀딩스,2023,1.61,8.44,7.35,"31,025,900"
90,KC그린홀딩스,2019,21.66,28.73,30.71,"14,327,973"
91,KC그린홀딩스,2020,-4.90,13.91,-2.65,"-78,918,169"
92,KC그린홀딩스,2021,16.81,-7.35,-9.96,"9,793,621"
93,KC그린홀딩스,2022,-12.55,-3.13,5.01,"-17,036,532"
94,KC그린홀딩스,2023,15.60,-35.03,8.57,"-55,928,224"
95,KEC,2019,-4.83,-43.47,-7.20,"-19,726,091"
96,KEC,2020,10.21,-2.38,-0.34,"-44,855,951"
97,KEC,2021,8.75,11.24,33.04,"10,173,157"
98,KEC,2022,0.14,28.04,-4.23,"22,270,600"
99,KEC,2023,11.62,-6.08,-19.22,"-37,798,918"
100,주성코퍼레이션,2019,-58.23,-69.08,-40.07,"-16,210,212"
101,주성코퍼레이션,2020,18.56,184.58,-55.34,"-6,306,405"
102,주성코퍼레이션,2021,2.79,9.90,95.36,"-1,586,432"
103,주성코퍼레이션,2022,-0.28,-16.72,-42.51,"-9,902,822"
104,주성코퍼레이션,2023,3.59,1.65,4.27,"-1,376,873"
105,KG케미칼,2019,175.19,389.57,61.24,"219,341,423"
106,KG케미칼,2020,4.14,-3.99,78.22,"154,664,333"
107,KG케미칼,2021,12.98,-0.16,30.93,"281,961,178"
108,KG케미칼,2022,44.87,61.00,36.89,"997,422,975"
109,KG케미칼,2023,10.48,3.27,35.20,"350,715,471"
110,KISCO홀딩스,2019,0.79,3.27,-8.20,"62,889,043"
111,KISCO홀딩스,2020,0.47,-5.43,-10.01,"36,484,194"
112,KISCO홀딩스,2021,7.89,-1.44,48.50,"178,382,903"
113,KISCO홀딩스,2022,3.42,-2.57,14.53,"131,534,562"
114,KISCO홀딩스,2023,3.25,-0.88,-14.84,"130,202,531"
115,그린케미칼,2019,-1.19,-7.42,-8.75,"5,580,406"
116,그린케미칼,2020,-5.34,-11.90,4.54,"10,340,154"
117,그린케미칼,2021,19.71,-6.56,18.08,"15,928,806"
118,그린케미칼,2022,-7.11,6.06,13.52,"2,870,341"
119,그린케미칼,2023,2.41,21.17,-13.10,"3,349,835"
120,KPX케미칼,2019,0.49,3.23,-0.13,"43,054,876"
121,KPX케미칼,2020,18.43,3.30,-2.49,"64,416,145"
122,KPX케미칼,2021,22.00,21.78,36.71,"49,247,708"
123,KPX케미칼,2022,-0.05,19.21,-3.64,"29,568,123"
124,KPX케미칼,2023,5.88,2.14,-7.37,"65,778,115"
125,KPX홀딩스,2019,2.29,5.85,-4.86,"75,765,291"
