,종목명,회계년,총자산(천원),*매출원가율(%),당기순이익(천원),영업이익률(%),매출총이익률(%),ROE(당기순이익)(%),당기순이익률(%),매출액(천원),총자산순이익률(%)
0,AK홀딩스,2010,633518525.0,88.35,56728651.0,5.93,11.65,N/A(IFRS),4.36,1301039826.0,205.36728993047203
1,AK홀딩스,2011,797395267.0,86.95,43867460.0,5.29,13.05,14.18,11.24,390281897.0,48.94459663252553
2,AK홀딩스,2012,1062012676.0,86.04,193423708.0,6.32,13.96,44.89,45.19,428068164.0,40.30725561697533
3,AK홀딩스,2013,2374994472.0,82.54,108312126.0,4.86,17.46,18.91,4.83,2240972021.0,94.35693629690267
4,AK홀딩스,2014,2773153876.0,74.76,94294011.0,5.13,25.24,12.90,3.28,2873874157.0,103.63197591996875
5,AK홀딩스,2015,2495514993.0,70.18,-37443062.0,3.79,29.82,-4.33,-1.33,2807147867.0,112.48771796098762
6,AK홀딩스,2016,2741946503.0,68.51,133322341.0,7.31,31.49,13.94,4.56,2921831064.0,106.56046938928918
7,AK홀딩스,2017,2944784347.0,68.63,185414017.0,7.83,31.37,17.14,5.47,3392454611.0,115.20214084457709
8,AK홀딩스,2018,3397931239.0,71.83,206620399.0,7.27,28.17,15.74,5.57,3711183103.0,109.21889944106664
9,BYC,2010,410071382.0,63.82,21616817.0,16.63,36.18,N/A(IFRS),10.47,206402089.0,50.33320979224051
10,BYC,2011,477929172.0,59.93,27006654.0,17.89,40.07,9.13,13.36,202084292.0,42.28331389656206
11,BYC,2012,505456934.0,62.79,24650594.0,15.39,37.21,7.68,11.36,216985677.0,42.928618128325056
12,BYC,2013,525157538.0,59.72,15514678.0,13.77,40.28,4.55,8.50,182448693.0,34.74170697327018
13,BYC,2014,608388101.0,58.13,19050210.0,15.77,41.87,5.34,10.77,176909795.0,29.078444287325073
14,BYC,2015,691464609.0,60.98,13158137.0,11.60,39.02,3.54,7.22,182195988.0,26.34928608471992
15,BYC,2016,733018518.0,68.13,17543266.0,7.63,31.87,4.55,8.28,211857618.0,28.902082661982625
16,BYC,2017,745823200.0,64.58,6190457.0,8.79,35.42,1.56,3.16,195815808.0,26.254990190704714
17,BYC,2018,738431267.0,62.69,9092446.0,10.79,37.31,2.25,4.60,197864080.0,26.795192571389315
18,CJ,2010,13800611531.0,64.41,796524863.0,7.67,35.59,N/A(IFRS),6.86,11615503495.0,84.16658543651025
19,CJ,2011,19656075093.0,65.47,736148645.0,6.79,34.53,10.85,5.55,13271073391.0,67.51639545641616
20,CJ,2012,21385040866.0,69.73,570256610.0,6.03,30.27,7.15,3.23,17628388035.0,82.43326793463048
21,CJ,2013,22123704854.0,70.8,322608337.0,4.17,29.2,3.80,1.71,18851698863.0,85.21040660869052
22,CJ,2014,23039318812.0,68.88,508633144.0,5.13,31.12,5.76,2.60,19572301244.0,84.95173578572033
23,CJ,2015,23562143506.0,68.38,551115547.0,5.79,31.62,5.82,2.60,21166707211.0,89.83353830100384
24,CJ,2016,27009587950.0,68.89,569823382.0,5.23,31.11,5.40,2.38,23954197397.0,88.6877557752598
25,CJ,2017,29325383064.0,69.18,1137728417.0,4.93,30.82,9.79,4.23,26898599989.0,91.72463299216325
26,CJ,2018,31729548648.0,71.71,880027278.0,4.51,28.29,7.18,2.98,29523435477.0,93.0471334607558
27,CJ대한통운,2010,3909385282.0,89.48,98803722.0,5.94,10.52,N/A(IFRS),4.01,2463605754.0,63.01772724584581
28,CJ대한통운,2011,3595163312.0,90.91,80994345.0,4.83,9.09,3.62,3.13,2587848423.0,71.98138716987441
29,CJ대한통운,2012,3669501369.0,90.19,69571921.0,5.44,9.81,3.03,2.65,2627465778.0,71.60280141048231
30,CJ대한통운,2013,4608720687.0,92.16,-60061094.0,1.69,7.84,-2.62,-1.58,3795045156.0,82.34487211830461
31,CJ대한통운,2014,4542856099.0,89.5,59451740.0,3.66,10.5,2.63,1.30,4560087295.0,100.37930314376
32,CJ대한통운,2015,4500489064.0,89.14,48984004.0,3.69,10.86,2.11,0.97,5055766404.0,112.33815552273498
33,CJ대한통운,2016,5521193039.0,88.97,68210131.0,3.76,11.03,2.67,1.12,6081945642.0,110.15636655047227
34,CJ대한통운,2017,6285983376.0,89.37,54178650.0,3.31,10.63,1.97,0.76,7110391208.0,113.11501769393162
35,CJ대한통운,2018,7868566775.0,91.02,66600069.0,2.63,8.98,2.26,0.72,9219680477.0,117.17102670200063
36,CJ씨푸드,2010,60766722.0,78.98,5347162.0,5.65,21.02,N/A(IFRS),4.81,111082629.0,182.80174632424635
37,CJ씨푸드,2011,81363764.0,81.04,4066803.0,4.37,18.96,12.78,3.00,135743012.0,166.8347250994927
38,CJ씨푸드,2012,84020228.0,81.77,5695522.0,3.84,18.23,15.72,3.41,166841031.0,198.57245686122155
39,CJ씨푸드,2013,81266483.0,78.98,6411522.0,4.67,21.02,15.35,4.15,154321665.0,189.8958331936181
40,CJ씨푸드,2014,101198140.0,78.76,3272646.0,4.13,21.24,7.13,2.09,156340142.0,154.48914574912146
41,CJ씨푸드,2015,93610372.0,79.68,2552395.0,3.49,20.32,5.24,1.58,161716628.0,172.75503188898767
42,CJ씨푸드,2016,119740511.0,79.62,5372999.0,3.37,20.38,10.20,3.09,173737758.0,145.0952201130994
43,CJ씨푸드,2017,120215051.0,79.87,4590049.0,3.98,20.13,7.96,2.79,164629715.0,136.9460093645013
