,종목명,회계년,총자산(천원),*매출원가율(%),당기순이익(천원),영업이익률(%),매출총이익률(%),ROE(당기순이익)(%),당기순이익률(%),매출액(천원),총자산순이익률(%)
0,AK홀딩스,2019,4327964555.0,75.34,57377833.0,3.49,24.66,3.95,1.53,3759542063.0,86.86628587696464
1,AK홀딩스,2020,4152091609.0,82.33,-264310731.0,-8.46,17.67,-19.63,-10.09,2619977218.0,63.10017852980372
2,AK홀딩스,2021,4548736657.0,84.01,-199326057.0,-5.23,15.99,-16.17,-6.29,3167699652.0,69.6391084132176
3,AK홀딩스,2022,4985365771.0,81.24,-124858460.0,-0.58,18.76,-10.13,-3.30,3787959855.0,75.98158347848134
4,AK홀딩스,2023,5314995084.0,75.47,130395493.0,6.23,24.53,10.20,2.91,4479660142.0,84.28342964013925
5,BYC,2019,693882853.0,59.31,27788950.0,13.71,40.69,6.60,16.29,170589027.0,24.584701331422007
6,BYC,2020,679134864.0,57.52,18285122.0,14.17,42.48,4.12,11.30,161863377.0,23.833760506219573
7,BYC,2021,684434512.0,57.5,29855489.0,16.24,42.5,6.39,18.16,164445894.0,24.026534477267855
8,BYC,2022,668872026.0,57.72,35286502.0,14.93,42.28,7.07,20.80,169680337.0,25.368131780712268
9,BYC,2023,685663060.0,56.88,23666593.0,16.33,43.12,4.51,14.05,168401524.0,24.5603903468272
10,CJ,2019,40381364593.0,72.93,323842817.0,4.47,27.07,2.39,0.96,33779706665.0,83.65172154399066
11,CJ,2020,40024965069.0,73.1,204007798.0,4.34,26.9,1.36,0.64,31999102947.0,79.94785977160998
12,CJ,2021,41955995804.0,71.88,806961658.0,5.46,28.12,5.07,2.34,34484026554.0,82.19093813216647
13,CJ,2022,48240408307.0,72.56,686845690.0,5.26,27.44,4.02,1.68,40924879773.0,84.83526821032635
14,CJ,2023,47203762893.0,72.44,524667990.0,4.93,27.56,2.95,1.27,41352688159.0,87.60464341102842
15,CJ대한통운,2019,9110016110.0,90.66,50889855.0,2.95,9.34,1.50,0.49,10415108626.0,114.32590788250539
