,종목명,회계년,유동자산(천원),총자산(천원),부채비율(%),차입금의존도(%),자기자본비율(%),재고자산(천원),매출채권(천원),매입채무(천원),단기차입금(천원)
0,AK홀딩스,2010,342091972.0,633518525.0,136.62,33.51,42.26,101257562.0,166423031.0,101219626.0,206392855.0
1,AK홀딩스,2011,368464610.0,797395267.0,127.18,38.26,44.02,100459041.0,164957170.0,88261980.0,250570529.0
2,AK홀딩스,2012,455173056.0,1062012676.0,107.91,33.41,48.10,120241742.0,243262270.0,132002396.0,278568031.0
3,AK홀딩스,2013,702558263.0,2374994472.0,274.00,41.32,26.74,141634818.0,300681262.0,272943954.0,349773376.0
4,AK홀딩스,2014,860690585.0,2773153876.0,235.32,37.87,29.82,229358723.0,330216202.0,384587781.0,461811659.0
5,AK홀딩스,2015,969178974.0,2495514993.0,176.79,30.97,36.13,203315762.0,224543905.0,321221478.0,599867254.0
6,AK홀딩스,2016,1179857738.0,2741946503.0,171.10,27.5,36.89,197859303.0,266392319.0,381560718.0,361981331.0
7,AK홀딩스,2017,1218481945.0,2944784347.0,155.61,25.81,39.12,217784154.0,279391346.0,363444962.0,340615780.0
8,AK홀딩스,2018,1306700266.0,3397931239.0,130.54,22.98,43.38,227029929.0,268844631.0,327964818.0,453840494.0
9,BYC,2010,153052900.0,410071382.0,45.02,13.26,68.95,122417732.0,21453982.0,13227892.0,54357964.0
10,BYC,2011,147605717.0,477929172.0,54.77,18.17,64.61,127246984.0,15509433.0,8920556.0,36956499.0
11,BYC,2012,143410428.0,505456934.0,51.63,16.84,65.95,121715226.0,16007741.0,11194876.0,23285699.0
12,BYC,2013,76641710.0,525157538.0,50.94,15.82,66.25,60457067.0,11406882.0,7949967.0,18059695.0
13,BYC,2014,82095340.0,608388101.0,66.49,23.31,60.07,66578997.0,10814621.0,7598875.0,55168746.0
14,BYC,2015,91849038.0,691464609.0,82.87,29.12,54.68,68567867.0,15057363.0,9433371.0,63286502.0
15,BYC,2016,118647018.0,733018518.0,86.12,30.07,53.73,68256885.0,15522850.0,13467742.0,69649468.0
16,BYC,2017,112685946.0,745823200.0,86.76,30.64,53.54,62400941.0,19107107.0,9084735.0,31636476.0
17,BYC,2018,89810780.0,738431267.0,81.25,28.31,55.17,54609508.0,6020221.0,5113114.0,11537425.0
18,CJ,2010,4452779399.0,13800611531.0,129.58,32.67,43.56,993188483.0,1171933385.0,584595313.0,1736360797.0
19,CJ,2011,5923000095.0,19656075093.0,159.86,39.63,38.48,1338204012.0,1917411377.0,857107193.0,2763622287.0
20,CJ,2012,6336179553.0,21385040866.0,155.07,38.9,39.21,1481140301.0,2138531527.0,1190114737.0,2487787285.0
21,CJ,2013,6536537209.0,22123704854.0,157.22,40.33,38.88,1293816082.0,2379216183.0,1198161316.0,2122552719.0
22,CJ,2014,6993888486.0,23039318812.0,154.02,39.05,39.37,1421771573.0,2516322061.0,1302361117.0,2164251359.0
23,CJ,2015,6950205084.0,23562143506.0,138.88,36.57,41.86,1495391511.0,2655668392.0,1398350609.0,2050571122.0
24,CJ,2016,7862451114.0,27009587950.0,139.99,36.27,41.67,1699383558.0,3284666049.0,1762992046.0,2882199670.0
25,CJ,2017,8333253000.0,29325383064.0,144.54,36.14,40.89,1733006295.0,3551768653.0,2034998735.0,2920089020.0
26,CJ,2018,8869354295.0,31729548648.0,153.39,37.96,39.46,2023661340.0,3534816257.0,2088316945.0,4106708423.0
27,CJ대한통운,2010,737299734.0,3909385282.0,77.22,27.39,56.43,14565984.0,411326730.0,196972231.0,86230000.0
28,CJ대한통운,2011,812463279.0,3595163312.0,58.75,23.27,62.99,14577497.0,422506026.0,188482127.0,105334204.0
29,CJ대한통운,2012,677650871.0,3669501369.0,57.62,23.41,63.44,13555180.0,403102572.0,186445040.0,77152635.0
30,CJ대한통운,2013,1329685385.0,4608720687.0,105.00,36.38,48.78,14854492.0,693587719.0,341668380.0,249048598.0
31,CJ대한통운,2014,1264507113.0,4542856099.0,99.19,33.64,50.20,9665212.0,750681544.0,322851896.0,217211392.0
32,CJ대한통운,2015,1239297511.0,4500489064.0,89.76,31.21,52.70,9904924.0,795501657.0,390689710.0,209336849.0
33,CJ대한통운,2016,1511133286.0,5521193039.0,101.56,32.53,49.61,15248404.0,1061758766.0,587109362.0,365933811.0
34,CJ대한통운,2017,1803525145.0,6285983376.0,127.77,35.65,43.90,15658455.0,1307444028.0,700583305.0,476903075.0
35,CJ대한통운,2018,2180844615.0,7868566775.0,151.33,37.12,39.79,21224162.0,1336459742.0,823066860.0,913901426.0
36,CJ씨푸드,2010,22624781.0,60766722.0,101.18,22.42,49.71,7241193.0,14724179.0,6464237.0,13625951.0
37,CJ씨푸드,2011,32314234.0,81363764.0,143.45,31.58,41.08,15078392.0,16015792.0,9399458.0,25691467.0
38,CJ씨푸드,2012,34904104.0,84020228.0,115.33,25.13,46.44,18515820.0,14311779.0,12893140.0,21110818.0
39,CJ씨푸드,2013,31918955.0,81266483.0,82.52,17.69,54.79,15285642.0,13169521.0,10048148.0,14378876.0
40,CJ씨푸드,2014,48939938.0,101198140.0,113.80,27.78,46.77,22104328.0,25283415.0,11355777.0,28108492.0
41,CJ씨푸드,2015,19831749.0,93610372.0,87.15,20.19,53.43,14372855.0,3220109.0,6255763.0,18897103.0
42,CJ씨푸드,2016,41525711.0,119740511.0,116.59,27.71,46.17,22368332.0,17387561.0,13165384.0,33184058.0
43,CJ씨푸드,2017,35171386.0,120215051.0,100.18,24.11,49.96,17564369.0,14875796.0,13673102.0,28983313.0
44,CJ씨푸드,2018,41144155.0,126515257.0,104.83,30.33,48.82,22252934.0,4022436.0,10142780.0,38369984.0
45,CJ제일제당,2010,2192773428.0,6002563148.0,124.68,32.05,44.51,786778634.0,625517765.0,260739680.0,1065015226.0
46,CJ제일제당,2011,3325033575.0,11339519300.0,141.45,40.85,41.42,1075179547.0,1230261455.0,466575116.0,1892711909.0
47,CJ제일제당,2012,3363495811.0,12363882660.0,136.81,39.95,42.23,1139255403.0,1164446237.0,638530062.0,1642298568.0
48,CJ제일제당,2013,3705058462.0,13004490092.0,170.22,45.02,37.01,1006681614.0,1367698827.0,720032707.0,1519777463.0
49,CJ제일제당,2014,3973270952.0,13382531013.0,170.36,44.44,36.99,1065579494.0,1550189237.0,829508678.0,1568249389.0
50,CJ제일제당,2015,4018510915.0,13751265058.0,155.35,41.79,39.16,1097567509.0,1623243021.0,849032607.0,1440731948.0
51,CJ제일제당,2016,4880693006.0,15766238539.0,160.15,42.26,38.44,1280152136.0,2028582036.0,1113728302.0,1801456466.0
52,CJ제일제당,2017,4963468349.0,16868123895.0,174.55,42.3,36.42,1303515516.0,2254297260.0,1291759319.0,1913735363.0
53,CJ제일제당,2018,5522437502.0,19497022884.0,166.78,40.7,37.48,1497619027.0,2558227901.0,1351497082.0,2624754311.0
54,CS홀딩스,2010,50527754.0,161071811.0,15.66,0.96,86.46,10181543.0,10962201.0,9236524.0,1546150.0
