종목코드,종목명,결산월,회계년,주기,총자산(천원),유동자산(천원),재고자산(천원),부채및자본총계(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),매출액(천원),연구개발비(천원),광고선전비(천원),영업이익(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),매출채권(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),유보율(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자산증가율(전년동기)(%),*매출원가율(%),ROE(당기순이익)(%),총자본회전율(회),총부채회전율(회),총자산회전율(회),영업이익률(%),EBIT(천원),당기순이익률(%),매출총이익률(%),유형자산증가율(전년동기)(%)
A095570,AJ네트웍스,12,2010,Annual,"223,331,110","43,546,163","2,885,908","223,331,111","9,855,337","43,000,000","37,534,828","111,712,848",0,"75,060","18,088,335","2,258,114","49,174,414","-75,170,429","29,847,590","21,649,284",14.58,75.97,585.92,521.10,162.42,19.39,51.56,134.20,10.63,71.92,6.66,3.29,0.63,0.53,16.19,"18,088,335",2.02,28.08,20.09
A095570,AJ네트웍스,12,2011,Annual,"219,085,099","31,232,670","2,561,888","219,085,099","12,904,573","20,300,000","43,195,662","132,955,605",0,"95,869","17,091,619","3,060,758","41,598,961","-38,034,582","-7,643,564","21,282,601",16.28,73.96,514.41,454.42,187.40,19.02,-5.51,35.54,-1.90,74.26,8.97,3.90,0.71,0.60,12.86,"17,091,619",2.30,25.74,3.70
A095570,AJ네트웍스,12,2012,Annual,"446,549,322","55,185,893","6,853,246","446,549,323","10,789,926","80,652,000","79,247,525","183,355,401",0,"918,744","24,886,942","5,320,104","38,779,953","-78,996,314","42,834,791","22,841,718",19.78,72.78,405.65,368.01,569.43,37.91,45.61,73.82,103.82,66.19,8.58,2.96,0.68,0.55,13.57,"24,886,942",2.90,33.81,60.59
A095570,AJ네트웍스,12,2013,Annual,"1,250,258,683","115,631,563","25,758,904","1,250,258,683","43,830,061","173,647,000","242,246,042","757,134,207",0,"2,688,626","70,537,596","18,131,664","-75,850,134","-69,685,689","135,049,139","59,611,853",17.14,72.55,483.38,423.23,275.27,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),0.00,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),9.32,"70,537,596",2.39,100.00,N/A(IFRS)
A095570,AJ네트웍스,12,2014,Annual,"1,437,917,071","144,585,820","20,832,221","1,437,917,071","33,927,425","162,167,580","274,563,056","1,011,150,089",0,"10,041,115","76,977,721","28,058,455","-80,195,568","-32,149,072","135,167,745","64,424,629",19.70,70.66,407.60,358.66,374.29,33.55,9.13,54.75,15.01,0.00,11.28,4.06,0.92,0.75,7.61,"76,977,721",2.77,100.00,13.18
A095570,AJ네트웍스,12,2015,Annual,"1,725,200,198","252,774,438","27,088,621","1,725,200,198","51,452,044","252,391,148","263,075,092","1,055,580,857",0,"3,247,591","74,258,957","28,991,066","-106,325,306","-74,383,692","231,171,748","69,090,049",23.07,67.31,333.45,291.75,461.33,4.39,-3.53,3.32,19.98,0.00,8.51,3.10,0.85,0.67,7.03,"74,258,957",2.75,100.00,15.51
A095570,AJ네트웍스,12,2016,Annual,"2,081,316,853","345,416,729","48,758,274","2,081,316,853","72,684,824","397,709,233","266,377,409","1,253,876,535",0,"7,323,533","61,859,365","17,079,187","-186,736,241","-85,077,868","320,159,329","92,607,268",20.54,69.88,386.87,340.22,498.02,18.79,-16.70,-41.09,20.64,0.00,4.14,3.04,0.84,0.66,4.93,"61,859,365",1.36,100.00,14.81
A095570,AJ네트웍스,12,2017,Annual,"2,354,233,735","318,877,074","54,488,684","2,354,233,735","79,703,773","491,426,377","240,338,037","843,940,517",0,"6,399,086","22,438,377","20,647,180","-148,475,142","-89,418,684","187,177,892","122,363,215",18.99,69.52,426.47,366.01,516.76,-32.69,-63.73,20.89,13.11,0.00,4.72,1.93,0.47,0.38,2.66,"22,438,377",2.45,100.00,-78.69
A095570,AJ네트웍스,12,2018,Annual,"2,575,139,461","1,512,070,831","51,456,823","2,575,139,461","39,290,731","257,683,029","254,210,491","1,045,526,122",0,"5,669,732","-21,236,052","37,268,842","-83,538,855","-44,560,295","127,467,710","80,862,784",19.10,39.34,423.61,205.98,513.14,23.89,적전,80.50,9.38,0.00,7.94,2.23,0.52,0.42,-2.03,"-21,236,052",3.56,100.00,-26.20
A095570,AJ네트웍스,12,2019,Annual,"1,803,255,226","501,055,395","58,629,572","1,803,255,226","32,556,846","291,467,302","358,407,162","1,000,259,402",0,"2,343,647","15,649,323","42,128,594","-37,909,434","44,413,195","64,330,327","104,945,550",19.26,69.41,419.16,360.37,580.20,-4.33,흑전,13.04,-29.97,0.00,10.04,2.38,0.57,0.46,1.56,"15,649,323",4.21,100.00,11.33
