,종목명,업종명,종목코드,결산월,회계년,주기,총자산(천원),유동자산(천원),재고자산(천원),부채및자본총계(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),매출액(천원),연구개발비(천원),광고선전비(천원),영업이익(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),매출채권(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),유보율(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자산증가율(전년동기)(%),*매출원가율(%),ROE(당기순이익)(%),총자본회전율(회),총부채회전율(회),총자산회전율(회),영업이익률(%),EBIT(천원),당기순이익률(%),매출총이익률(%),유형자산증가율(전년동기)(%)
0,AK홀딩스,기타금융,A006840,12,2010,Annual,"633,518,525","342,091,972","101,257,562","633,518,525","101,219,626","206,392,855","5,735,702","1,301,039,826","7,084,977","1,294,106","77,135,708","56,728,651","20,490,372","-24,555,432","-1,619,389","166,423,031",42.26,33.51,136.62,79.28,786.64,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),88.35,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),5.93,"77,135,708",4.36,11.65,N/A(IFRS)
1,AK홀딩스,기타금융,A006840,12,2011,Annual,"797,395,267","368,464,610","100,459,041","797,395,267","88,261,980","250,570,529","53,531,575","390,281,897","7,174,681","1,258,430","20,652,501","43,867,460","43,858,553","-159,935,234","137,555,421","164,957,170",44.02,38.26,127.18,86.91,608.55,-70.00,-73.23,-22.67,25.87,86.95,14.18,1.26,0.96,0.55,5.29,"20,652,501",11.24,13.05,-2.67
2,AK홀딩스,기타금융,A006840,12,2012,Annual,"1,062,012,676","455,173,056","120,241,742","1,062,012,676","132,002,396","278,568,031","76,035,400","428,068,164","2,626,757","725,964","27,066,943","193,423,708","15,874,495","-5,900,676","43,109,465","243,262,270",48.10,33.41,107.91,69.47,577.26,9.68,31.06,340.93,33.19,86.04,44.89,0.99,0.86,0.46,6.32,"27,066,943",45.19,13.96,40.75
3,AK홀딩스,기타금융,A006840,12,2013,Annual,"2,374,994,472","702,558,263","141,634,818","2,374,994,472","272,943,954","349,773,376","196,176,418","2,240,972,021","6,606,882","4,400,201","108,947,072","108,312,126","182,498,203","19,058,960","-160,310,908","300,681,262",26.74,41.32,274.00,154.54,649.58,423.51,302.51,-44.00,123.63,82.54,18.91,3.91,1.96,1.30,4.86,"108,947,072",4.83,17.46,413.35
4,AK홀딩스,기타금융,A006840,12,2014,Annual,"2,773,153,876","860,690,585","229,358,723","2,773,153,876","384,587,781","461,811,659","442,035,089","2,873,874,157","9,681,363","37,157,968","147,517,194","94,294,011","219,740,235","-193,620,872","2,781,660","330,216,202",29.82,37.87,235.32,127.00,759.68,28.24,35.40,-12.94,16.76,74.76,12.90,3.93,1.56,1.12,5.13,"147,517,194",3.28,25.24,15.43
5,AK홀딩스,기타금융,A006840,12,2015,Annual,"2,495,514,993","969,178,974","203,315,762","2,495,514,993","321,221,478","599,867,254","173,049,776","2,807,147,867","9,634,828","50,463,121","106,316,161","-37,443,062","141,247,058","143,427,170","-146,375,693","224,543,905",36.13,30.97,176.79,85.73,762.09,-2.32,-27.93,적전,-10.01,70.18,-4.33,3.25,1.59,1.07,3.79,"106,316,161",-1.33,29.82,-30.28
6,AK홀딩스,기타금융,A006840,12,2016,Annual,"2,741,946,503","1,179,857,738","197,859,303","2,741,946,503","381,560,718","361,981,331","208,072,515","2,921,831,064","13,670,138","53,427,031","213,669,705","133,322,341","318,306,281","-128,595,637","-74,273,803","266,392,319",36.89,27.5,171.10,74.56,851.93,4.09,100.98,흑전,9.87,68.51,13.94,3.05,1.76,1.12,7.31,"213,669,705",4.56,31.49,1.87
7,AK홀딩스,기타금융,A006840,12,2017,Annual,"2,944,784,347","1,218,481,945","217,784,154","2,944,784,346","363,444,962","340,615,780","239,496,379","3,392,454,611","14,057,626","63,903,795","265,641,267","185,414,017","280,933,528","-292,512,574","-39,324,783","279,391,346",39.12,25.81,155.61,65.98,974.35,16.11,24.32,39.07,7.40,68.63,17.14,3.14,1.93,1.19,7.83,"265,641,267",5.47,31.37,15.07
8,AK홀딩스,기타금융,A006840,12,2018,Annual,"3,397,931,239","1,306,700,266","227,029,929","3,397,931,239","327,964,818","453,840,494","286,561,671","3,711,183,103","18,434,400","52,378,017","269,717,896","206,620,399","317,257,801","-224,601,813","89,961,083","268,844,631",43.38,22.98,130.54,52.97,"1,184.69",9.40,1.53,11.44,15.39,71.83,15.74,2.83,2.00,1.17,7.27,"269,717,896",5.57,28.17,26.57
9,BYC,섬유의복,A001460,12,2010,Annual,"410,071,382","153,052,900","122,417,732","410,071,382","13,227,892","54,357,964",0,"206,402,089",0,"2,183,598","34,315,549","21,616,817","7,076,378","-26,825,017","19,525,537","21,453,982",68.95,13.26,45.02,19.22,"6,639.91",N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),63.82,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),16.63,"34,315,549",10.47,36.18,N/A(IFRS)
