,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),Unnamed: 35,Unnamed: 36
0,AK홀딩스,기타금융,A006840,12,2019,Annual,4327964555.0,1327786612.0,279222938.0,253714985.0,1430032925.0,4327964555.0,2898025667.0,1565481508.0,329542790.0,408763625.0,1017137312.0,1429938888 ,3759542063 ,2832480229.0,131336892 ,19303280.0,63748087 ,57377833 ,274189798 ,(219324322),(295491698),33.04 ,39.19,202.67 ,118.60 ,75.34,3.95 ,3.49 ,131336891.86 ,24.66 ,,
1,AK홀딩스,기타금융,A006840,12,2020,Annual,4152091609.0,1185254991.0,243210194.0,236961655.0,1476614198.0,4152091609.0,2889429546.0,1611669523.0,275930960.0,697378057.0,974138170.0,1262662063 ,2619977218 ,2157041981.0,(221554817),19090994.0,65432074 ,(264310731),(191716473),(18567245),333786285 ,30.41 ,47.88,228.84 ,157.44 ,82.33,(19.63),(8.46),(221554817.27),17.67 ,,
2,AK홀딩스,기타금융,A006840,12,2021,Annual,4548736657.0,1352749115.0,287334993.0,375434184.0,1634149314.0,4548736657.0,3346377386.0,1873942575.0,353029488.0,794593961.0,284988948.0,1202359271 ,3167699652 ,2661268850.0,(165714944),18574103.0,70572823 ,(199326057),(9766238),(38243934),155531011 ,26.43 ,49.15,278.32 ,185.93 ,84.01,(16.17),(5.23),(165714944.09),15.99 ,,
3,AK홀딩스,기타금융,A006840,12,2022,Annual,4985365771.0,1578818308.0,332397459.0,357702292.0,1819267723.0,4985365771.0,3721996782.0,2366670547.0,316428299.0,826452036.0,172101418.0,1263368990 ,3787959855 ,3077278770.0,(21822474),22903924.0,76460769 ,(124858460),366475089 ,(463779235),85365700 ,25.34 ,46.39,294.61 ,183.04 ,81.24,(10.13),(0.58),(21822473.63),18.76 ,,
4,AK홀딩스,기타금융,A006840,12,2023,Annual,5314995084.0,1534098922.0,382943462.0,334076109.0,2002898875.0,5314995084.0,4020733884.0,2775069812.0,322869324.0,957830610.0,96088981.0,1294261200 ,4479660142 ,3381008246.0,279123891 ,25084769.0,91555618 ,130395493 ,527338829 ,(268764106),(256938224),24.35 ,46.06,310.66 ,189.17 ,75.47,10.20 ,6.23 ,279123890.56 ,24.53 ,,
5,BYC,섬유의복,A001460,12,2019,Annual,693882853.0,118321886.0,5923595.0,45676332.0,68972515.0,693882853.0,259555399.0,109379625.0,3768051.0,56319316.0,56500000.0,434327454 ,170589027 ,101169466.0,23393687 ,0.0,1524335 ,27788950 ,18715999 ,41944072 ,(73191907),62.59 ,19.86,59.76 ,31.73 ,59.31,6.60 ,13.71 ,23393686.89 ,40.69 ,,
6,BYC,섬유의복,A001460,12,2020,Annual,679134864.0,116356314.0,4338337.0,34704886.0,61432622.0,679134864.0,226466839.0,121169201.0,3752236.0,38809978.0,45500000.0,452668025 ,161863377 ,93110794.0,22940934 ,0.0,1088113 ,18285122 ,35408711 ,26188307 ,(31102656),66.65 ,15.73,50.03 ,23.61 ,57.52,4.12 ,14.17 ,22940934.00 ,42.48 ,,
7,BYC,섬유의복,A001460,12,2021,Annual,684434512.0,133338984.0,4923098.0,30955006.0,69036987.0,684434512.0,202622248.0,130677557.0,3855973.0,28227391.0,0.0,481812265 ,164445894 ,94549165.0,26711346 ,0.0,1006645 ,29855489 ,35707429 ,3766575 ,(33059365),70.40 ,10.81,42.05 ,15.35 ,57.5,6.39 ,16.24 ,26711346.47 ,42.50 ,,
8,BYC,섬유의복,A001460,12,2022,Annual,668872026.0,120182142.0,4897177.0,38420150.0,77727018.0,668872026.0,153134740.0,79177004.0,3177671.0,28274737.0,0.0,515737286 ,169680337 ,97946674.0,25326353 ,0.0,1092184 ,35286502 ,10468407 ,43321939 ,(50413187),77.11 ,4.25,29.69 ,5.51 ,57.72,7.07 ,14.93 ,25326353.05 ,42.28 ,,
9,BYC,섬유의복,A001460,12,2023,Annual,685663060.0,113987958.0,5770897.0,39594952.0,105219092.0,685663060.0,150742490.0,51122092.0,4223069.0,8389553.0,20000000.0,534920570 ,168401524 ,95788699.0,27498394 ,0.0,1232948 ,23666593 ,30311997 ,(72664318),(2913565),78.02 ,4.26,28.18 ,5.46 ,56.88,4.51 ,16.33 ,27498394.28 ,43.12 ,,
