,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율
1,AJ네트웍스,서비스업,A095570,12,2020,Annual,1588170350,354686634,84967285,33664676,229558956,1588170350,1300162540,708897437,39072097,262670778,209018939,288007810,871956093,0,21089141,0,2206927,-3316812,17725957,96850693,-121189250,18.13,71.27,451.43,393.01,0,-1.04,2.42,21089141,100,-11.92758922,-29.21209161,-15.85614079,-11.92758922,-10.69785183,-11.03608843,-17.08215251,-12.82700355,34.76072415,-107.873066,-146.758696,118.0673852,0.549031842,3.027543222,0.670651604
2,AJ네트웍스,서비스업,A095570,12,2021,Annual,1355044450,273912905,93251537,19735720,177684993,1355044450,992534362,525176778,43057839,113290328,223293808,362510088,981947657,0,48071718,0,1996511,76737133,-11318072,155079614,-129810037,26.75,64.34,273.79,240.49,0,23.59,4.9,48071717.84,100,-14.67889764,-22.77326554,-22.59722901,-14.67889764,-23.66074768,-25.91639487,25.86814503,12.61434663,127.9453582,-2413.581023,-163.8502734,60.12235865,0.724660846,2.708745741,0.989333664
3,AJ네트웍스,서비스업,A095570,12,2022,Annual,1483368740,329499102,95025112,25024737,165990914,1483368740,1119677499,837946809,55310291,209481577,173582205,363691241,1193651666,0,76418663,0,1737900,8667178,18324412,-23706295,50845931,24.52,64.39,307.86,262.62,0,2.39,6.4,76418662.74,100,9.470116645,20.29338377,-6.581354341,9.470116645,12.80994814,59.55519058,0.325826243,21.55960223,58.96802981,-88.70536641,-261.9040063,-115.2865321,0.804689781,3.282046779,1.066067387
4,AJ네트웍스,서비스업,A095570,12,2023,Annual,1622157342,303255111,110780653,17826547,280183984,1622157342,1202505532,675267841,50943141,124371578,328063151,419651810,1001975994,0,78385857,0,2288799,16472355,-18141405,-106360588,115645054,25.87,65.86,286.55,254.58,0,4.21,7.82,78385856.89,100,9.356311634,-7.96481412,68.7947715,9.356311634,7.397490177,-19.41399696,15.38683441,-16.05792355,2.574232423,90.0544214,-199.001294,348.659683,0.617681139,2.387636536,0.833240237
6,AK홀딩스,기타금융,A006840,12,2020,Annual,4152091609,1185254991,243210194,236961655,1476614198,4152091609,2889429546,1611669523,275930960,697378057,974138170,1262662063,2619977218,2157041981,-221554817,19090994,65432074,-264310731,-191716473,-18567245,333786285,30.41,47.88,228.84,157.44,82.33,-19.63,-8.46,-221554817.3,17.67,-4.06364109,-10.73452765,3.257356679,-4.06364109,-0.296619906,2.950403104,-11.69818,-30.31126733,-268.6919902,-560.6495526,-169.9210818,-91.53434292,0.631001785,2.074963123,0.906745493
7,AK홀딩스,기타금융,A006840,12,2021,Annual,4548736657,1352749115,287334993,375434184,1634149314,4548736657,3346377386,1873942575,353029488,794593961,284988948,1202359271,3167699652,2661268850,-165714944,18574103,70572823,-199326057,-9766238,-38243934,155531011,26.43,49.15,278.32,185.93,84.01,-16.17,-5.23,-165714944.1,15.99,9.552897319,14.13148439,10.66867136,9.552897319,15.81446555,16.27337666,-4.775845713,20.9056182,-25.20363753,-24.58646827,-94.90589523,105.9752753,0.696391084,2.63456999,0.946605624
8,AK홀딩스,기타금융,A006840,12,2022,Annual,4985365771,1578818308,332397459,357702292,1819267723,4985365771,3721996782,2366670547,316428299,826452036,172101418,1263368990,3787959855,3077278770,-21822474,22903924,76460769,-124858460,366475089,-463779235,85365700,25.34,46.39,294.61,183.04,81.24,-10.13,-0.58,-21822473.63,18.76,9.598909476,16.71183448,11.32812084,9.598909476,11.22465737,26.29365374,5.074167137,19.58077694,-86.831318,-37.35969001,-3852.469364,1112.68705,0.759815835,2.998300485,1.017722496
9,AK홀딩스,기타금융,A006840,12,2023,Annual,5314995084,1534098922,382943462,334076109,2002898875,5314995084,4020733884,2775069812,322869324,957830610,96088981,1294261200,4479660142,3381008246,279123891,25084769,91555618,130395493,527338829,-268764106,-256938224,24.35,46.06,310.66,189.17,75.47,10.2,6.23,279123890.6,24.53,6.611938384,-2.8324593,10.09368493,6.611938384,8.026259008,17.25627868,2.445224653,18.26049677,-1379.066209,-204.4346478,43.89486348,-42.04912904,0.842834296,3.461171626,1.114139924
11,BGF,기타금융,A027410,12,2020,Annual,1658204362,462774742,11987416,2325416,54835792,1658204362,121105273,68967757,8105345,990000,12660000,1537099088,154381286,86830240,14640998,2000,4578000,17880953,21350276,-29231500,2413976,92.7,1.2,7.88,1.3,56.24,1.17,9.48,14640997.51,43.76,0.04965073,44.75309472,-72.04443276,0.04965073,-6.212085311,8.202509599,0.578723092,15.73875987,-44.44805027,2.087667165,54.32547016,7167.901542,0.093101483,0.100436782,1.274769316
12,BGF,기타금융,A027410,12,2021,Annual,1981622039,468763642,56356636,50263041,117609920,1981622039,248858644,114382730,28334629,18338264,13904588,1732763395,150187761,75712419,37907480,1000,5904000,35977029,1524675,166802124,29977050,87.44,3.89,14.36,4.45,50.41,2.2,25.24,37907480.28,49.59,19.50409035,1.294128537,114.4765594,19.50409035,105.4895198,65.84957229,12.72945307,-2.716342834,158.9132244,101.2030846,-92.85875742,-670.6245796,0.075790316,0.086675285,0.603506306
13,BGF,기타금융,A027410,12,2022,Annual,1938013971,422786609,63075663,59748646,131437458,1938013971,201490552,71497959,20542054,1607679,14360000,1736523419,434997440,303418248,61203793,2000,4259000,26176881,207458,5798605,-33324626,89.6,2.89,11.6,3.22,69.75,1.51,14.07,61203792.65,30.25,-2.200624899,-9.808148261,11.75711879,-2.200624899,-19.0341357,-37.49234784,0.216995812,189.6357447,61.45571534,-27.24001473,-86.39329693,-96.52366237,0.224455265,0.250499035,2.158897455
14,BGF,기타금융,A027410,12,2023,Annual,2171266453,430684912,75894188,60113049,274777843,2171266453,270623117,129891631,25128009,24621758,3200000,1900643336,443173612,300087140,70546076,0,2930000,69136637,70296369,-16339755,12224244,87.54,4.04,14.24,4.62,67.71,3.8,15.92,70546076.29,32.29,12.03564502,1.868153539,109.0559626,12.03564502,34.31057403,81.67180269,9.451062693,1.879590832,15.26422227,164.1133487,33784.62677,-381.7876886,0.204108349,0.233170318,1.637604418
16,BGF리테일,유통업,A282330,12,2020,Annual,2371169598,829086122,54348468,121544700,591452945,2371169598,1674341688,1003393100,569731857,8453239,13912034,696827910,6181269419,5129513383,162204244,3234000,3536000,122711267,507341460,-266360893,-245000808,29.39,26.13,240.28,88.92,82.98,18.6,2.62,162204243.6,17.02,9.149222092,11.41524385,7.572695177,9.149222092,8.03492926,5.539633267,11.92300888,3.955575185,-17.50507242,-18.93667914,-4.780910738,-9.373053384,2.606844076,8.870582435,3.691761045
