,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),매출채권(천원)_증가율(%),재고자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),매입채무(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),재무활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율
1,AJ네트웍스,서비스업,A095570,12,2020,Annual,1588170350.0,354686634.0,84967285,33664676,229558956.0,1588170350.0,1300162540.0,708897437,39072097,262670778,209018939,288007810.0,871956093.0,0.0,21089141,0,2206927,-3316812,17725957,96850693,-121189250,18.13,71.27,451.43,393.01,0.0,-1.04,2.42,21089141.0,100.0,-11.927589223024382,-29.212091609152314,-19.036790983514784,-42.580723597982264,-15.856140793330065,-11.927589223024382,-10.69785183132408,-11.036088428424817,20.011923145135135,-17.08215251059969,-12.827003549625216,34.76072415400972,-107.8730659750952,-146.75869600163378,118.06738515434434,-288.3858759182119,0.549031842207607,3.02754322183138,0.6706516040679037
2,AJ네트웍스,서비스업,A095570,12,2021,Annual,1355044450.0,273912905.0,93251537,19735720,177684993.0,1355044450.0,992534362.0,525176778,43057839,113290328,223293808,362510088.0,981947657.0,0.0,48071718,0,1996511,76737133,-11318072,155079614,-129810037,26.75,64.34,273.79,240.49,0.0,23.59,4.9,48071717.84,100.0,-14.678897638405097,-22.773265541210108,9.74993140006768,-41.37558311863747,-22.597229009875786,-14.678897638405097,-23.66074767851718,-25.91639487053189,10.20099330732107,25.868145033983623,12.614346626281336,127.94535822962159,-2413.5810229823096,-163.8502733590068,60.122358649514254,7.113491501927771,0.7246608456276102,2.7087457411667946,0.9893336639966124
3,AJ네트웍스,서비스업,A095570,12,2022,Annual,1483368740.0,329499102.0,95025112,25024737,165990914.0,1483368740.0,1119677499.0,837946809,55310291,209481577,173582205,363691241.0,1193651666.0,0.0,76418663,0,1737900,8667178,18324412,-23706295,50845931,24.52,64.39,307.86,262.62,0.0,2.39,6.4,76418662.74,100.0,9.470116644513027,20.29338376736942,1.901925755926137,26.79920975773875,-6.581354340937507,9.470116644513027,12.809948135579008,59.55519057622918,28.455798722272153,0.3258262429375547,21.559602234480412,58.9680298091281,-88.70536640976671,-261.9040062653781,-115.28653211633606,-139.16949118503064,0.8046897806407866,3.2820467787949834,1.0660673873200697
4,AJ네트웍스,서비스업,A095570,12,2023,Annual,1622157342.0,303255111.0,110780653,17826547,280183984.0,1622157342.0,1202505532.0,675267841,50943141,124371578,328063151,419651810.0,1001975994.0,0.0,78385857,0,2288799,16472355,-18141405,-106360588,115645054,25.87,65.86,286.55,254.58,0.0,4.21,7.82,78385856.89,100.0,9.356311634287229,-7.964814119584462,16.580397190165908,-28.76429830211602,68.79477150177027,9.356311634287229,7.397490176767407,-19.41399695693572,-7.8957277588722174,15.386834405506079,-16.05792355171061,2.5742324227787217,90.05442140452176,-199.0012940115077,348.6596830082473,127.44210151250846,0.617681138603138,2.387636536108351,0.8332402366029198
6,AK홀딩스,기타금융,A006840,12,2020,Annual,4152091609.0,1185254991.0,243210194,236961655,1476614198.0,4152091609.0,2889429546.0,1611669523,275930960,697378057,974138170,1262662063.0,2619977218.0,2157041981.0,-221554817,19090994,65432074,-264310731,-191716473,-18567245,333786285,30.41,47.88,228.84,157.44,82.33,-19.63,-8.46,-221554817.3,17.67,-4.063641089592984,-10.734527650140214,-12.897487669870443,-6.603208714692199,3.2573566793925313,-4.063641089592984,-0.2966199056787078,2.950403103707555,-16.268548918943125,-11.698179999423864,-30.31126732734736,-268.69199021399106,-560.649552589412,-169.92108181938994,-91.53434291706142,-212.9596151970402,0.6310017852980372,2.074963123367396,0.9067454929389027
7,AK홀딩스,기타금융,A006840,12,2021,Annual,4548736657.0,1352749115.0,287334993,375434184,1634149314.0,4548736657.0,3346377386.0,1873942575,353029488,794593961,284988948,1202359271.0,3167699652.0,2661268850.0,-165714944,18574103,70572823,-199326057,-9766238,-38243934,155531011,26.43,49.15,278.32,185.93,84.01,-16.17,-5.23,-165714944.1,15.99,9.55289731903408,14.13148438705878,18.142660171555146,58.43668208681274,10.668671357310089,9.55289731903408,15.81446554502699,16.27337666048303,27.941238634475816,-4.77584571256735,20.905618195341113,-25.203637526869926,-24.58646826564147,-94.9058952278973,105.97527527643437,-53.404013888707254,0.696391084132176,2.6345699895218755,0.9466056235176817
8,AK홀딩스,기타금융,A006840,12,2022,Annual,4985365771.0,1578818308.0,332397459,357702292,1819267723.0,4985365771.0,3721996782.0,2366670547,316428299,826452036,172101418,1263368990.0,3787959855.0,3077278770.0,-21822474,22903924,76460769,-124858460,366475089,-463779235,85365700,25.34,46.39,294.61,183.04,81.24,-10.13,-0.58,-21822473.63,18.76,9.598909475844831,16.71183447789577,15.682902221380335,-4.723036088796862,11.328120840247768,9.598909475844831,11.224657373416758,26.293653742297842,-10.367742708223847,5.074167137186736,19.580776940401677,-86.83131800110918,-37.359690007814685,-3852.4693643550363,1112.6870499253555,-45.113389637774546,0.7598158347848134,2.9983004846430497,1.0177224959782354
9,AK홀딩스,기타금융,A006840,12,2023,Annual,5314995084.0,1534098922.0,382943462,334076109,2002898875.0,5314995084.0,4020733884.0,2775069812,322869324,957830610,96088981,1294261200.0,4479660142.0,3381008246.0,279123891,25084769,91555618,130395493,527338829,-268764106,-256938224,24.35,46.06,310.66,189.17,75.47,10.2,6.23,279123890.6,24.53,6.611938384089333,-2.8324593003136167,15.206495005125786,-6.6049850751305765,10.093684930395487,6.611938384089333,8.026259008194913,17.256278678825332,2.03554012721221,2.445224652854594,18.260496770761048,-1379.066209449946,-204.43464784044272,43.89486347870155,-42.04912904304566,-400.98531845928756,0.8428342964013925,3.46117162594382,1.11413992351651
11,BGF,기타금융,A027410,12,2020,Annual,1658204362.0,462774742.0,11987416,2325416,54835792.0,1658204362.0,121105273.0,68967757,8105345,990000,12660000,1537099088.0,154381286.0,86830240.0,14640998,2000,4578000,17880953,21350276,-29231500,2413976,92.7,1.2,7.88,1.3,56.24,1.17,9.48,14640997.51,43.76,0.049650730375616625,44.75309471747892,0.8546221860521896,-20.25872016366499,-72.04443275812515,0.049650730375616625,-6.21208531128673,8.202509598558771,116.64341290396729,0.5787230921206588,15.738759868093988,-44.44805026896277,2.087667165354712,54.325470160742896,7167.901541521631,-120.92626970796987,0.09310148347082928,0.10043678199098639,1.2747693157836324
12,BGF,기타금융,A027410,12,2021,Annual,1981622039.0,468763642.0,56356636,50263041,117609920.0,1981622039.0,248858644.0,114382730,28334629,18338264,13904588,1732763395.0,150187761.0,75712419.0,37907480,1000,5904000,35977029,1524675,166802124,29977050,87.44,3.89,14.36,4.45,50.41,2.2,25.24,37907480.28,49.59,19.504090352887403,1.2941285373781364,370.13164471809444,2061.4644863542694,114.47655939755555,19.504090352887403,105.48951984939583,65.84957228636563,249.5795552194262,12.729453066984053,-2.716342834454688,158.9132243580663,101.20308464543251,-92.85875742308905,-670.6245796486667,1141.8122632536529,0.07579031623799981,0.08667528494275469,0.6035063061743597
