,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,환경_등급,사회_등급,지배구조_등급,통합_등급
0,AK홀딩스,기타금융,A006840,12,2020,Annual,4152091609.0,1185254991.0,243210194,236961655,1476614198.0,4152091609.0,2889429546.0,1611669523,275930960,697378057,974138170,1262662063.0,2619977218.0,2157041981.0,-221554817,19090994,65432074,-264310731,-191716473,-18567245,333786285,30.41,47.88,228.84,157.44,82.33,-19.63,-8.46,-221554817.3,17.67,-4.06364109,-10.73452765,3.257356679,-4.06364109,-0.296619906,2.950403104,-11.69818,-30.31126733,-268.6919902,-560.6495526,-169.9210818,-91.53434292,0.631001785,2.074963123,0.906745493,2.0,4.0,4.0,4.0
1,AK홀딩스,기타금융,A006840,12,2021,Annual,4548736657.0,1352749115.0,287334993,375434184,1634149314.0,4548736657.0,3346377386.0,1873942575,353029488,794593961,284988948,1202359271.0,3167699652.0,2661268850.0,-165714944,18574103,70572823,-199326057,-9766238,-38243934,155531011,26.43,49.15,278.32,185.93,84.01,-16.17,-5.23,-165714944.1,15.99,9.552897319,14.13148439,10.66867136,9.552897319,15.81446555,16.27337666,-4.775845713,20.9056182,-25.20363753,-24.58646827,-94.90589523,105.9752753,0.696391084,2.63456999,0.946605624,3.0,4.0,4.0,4.0
2,AK홀딩스,기타금융,A006840,12,2022,Annual,4985365771.0,1578818308.0,332397459,357702292,1819267723.0,4985365771.0,3721996782.0,2366670547,316428299,826452036,172101418,1263368990.0,3787959855.0,3077278770.0,-21822474,22903924,76460769,-124858460,366475089,-463779235,85365700,25.34,46.39,294.61,183.04,81.24,-10.13,-0.58,-21822473.63,18.76,9.598909476,16.71183448,11.32812084,9.598909476,11.22465737,26.29365374,5.074167137,19.58077694,-86.831318,-37.35969001,-3852.469364,1112.68705,0.759815835,2.998300485,1.017722496,3.0,5.0,3.0,4.0
3,AK홀딩스,기타금융,A006840,12,2023,Annual,5314995084.0,1534098922.0,382943462,334076109,2002898875.0,5314995084.0,4020733884.0,2775069812,322869324,957830610,96088981,1294261200.0,4479660142.0,3381008246.0,279123891,25084769,91555618,130395493,527338829,-268764106,-256938224,24.35,46.06,310.66,189.17,75.47,10.2,6.23,279123890.6,24.53,6.611938384,-2.8324593,10.09368493,6.611938384,8.026259008,17.25627868,2.445224653,18.26049677,-1379.066209,-204.4346478,43.89486348,-42.04912904,0.842834296,3.461171626,1.114139924,5.0,6.0,4.0,5.0
4,BYC,섬유의복,A001460,12,2020,Annual,679134864.0,116356314.0,4338337,34704886,61432622.0,679134864.0,226466839.0,121169201,3752236,38809978,45500000,452668025.0,161863377.0,93110794.0,22940934,0,1088113,18285122,35408711,26188307,-31102656,66.65,15.73,50.03,23.61,57.52,4.12,14.17,22940934.0,42.48,-2.125429233,-1.661207462,-10.93173563,-2.125429233,-12.74816865,10.77858513,4.222751942,-5.115012468,-1.935364015,-34.20002555,89.18953244,-37.56374679,0.238337605,0.357576343,0.714733237,1.0,3.0,4.0,3.0
5,BYC,섬유의복,A001460,12,2021,Annual,684434512.0,133338984.0,4923098,30955006,69036987.0,684434512.0,202622248.0,130677557,3855973,28227391,0,481812265.0,164445894.0,94549165.0,26711346,0,1006645,29855489,35707429,3766575,-33059365,70.4,10.81,42.05,15.35,57.5,6.39,16.24,26711346.47,42.5,0.780352811,14.59540047,12.37838261,0.780352811,-10.52895475,7.847172319,6.438325305,1.595491857,16.43530294,63.27749413,0.843628564,-85.61734059,0.240265345,0.34130699,0.811588538,1.0,3.0,4.0,3.0
6,BYC,섬유의복,A001460,12,2022,Annual,668872026.0,120182142.0,4897177,38420150,77727018.0,668872026.0,153134740.0,79177004,3177671,28274737,0,515737286.0,169680337.0,97946674.0,25326353,0,1092184,35286502,10468407,43321939,-50413187,77.11,4.25,29.69,5.51,57.72,7.07,14.93,25326353.05,42.28,-2.273772834,-9.867213327,12.58750038,-2.273772834,-24.42353122,-39.41040388,7.041128561,3.183079171,-5.185036351,18.19100334,-70.68283186,1050.167964,0.253681318,0.329005371,1.108046006,1.0,1.0,1.0,1.0
7,BYC,섬유의복,A001460,12,2023,Annual,685663060.0,113987958.0,5770897,39594952,105219092.0,685663060.0,150742490.0,51122092,4223069,8389553,20000000,534920570.0,168401524.0,95788699.0,27498394,0,1232948,23666593,30311997,-72664318,-2913565,78.02,4.26,28.18,5.46,56.88,4.51,16.33,27498394.28,43.12,2.510350762,-5.153997006,35.37003568,2.510350762,-1.562186346,-35.43315683,3.719584471,-0.753660101,8.576209137,-32.93018106,189.5569211,-267.7309919,0.245603903,0.314815944,1.117147023,1.0,1.0,1.0,1.0
8,CJ,기타금융,A001040,12,2020,Annual,40024965069.0,11118109484.0,3320554672,2238146145,13002525157.0,40024965069.0,24628738994.0,11422602369,2368251431,3092611322,3065207901,15396226075.0,31999102947.0,23391528118.0,1390340166,48479143,601305321,204007798,3032814780,-1443779122,-537230169,38.47,40.38,159.97,104.98,73.1,1.36,4.34,1390340166.0,26.9,-0.882584151,-0.310138391,-3.807998893,-0.882584151,-4.414842496,-7.017473334,5.344759497,-5.271223151,-7.872908712,-37.00406886,-21.52271496,-70.5093667,0.799478598,2.078373154,1.299258681,3.0,5.0,5.0,5.0
9,CJ,기타금융,A001040,12,2021,Annual,41955995804.0,12052390290.0,3640572265,2735868912,13453497278.0,41955995804.0,25492465688.0,12546083570,2760881123,3205342324,2467662370,16463530116.0,34484026554.0,24787913920.0,1881800099,57521423,739305175,806961658,3353190728,-1623491611,-1230196115,39.24,39.8,154.84,101.44,71.88,5.07,5.46,1881800099.0,28.12,4.824565697,8.403234447,3.468342615,4.824565697,3.506987078,9.83559757,6.932244537,7.765603964,35.34817917,295.5543199,10.56365031,12.44736721,0.821909381,2.094570624,1.352714444,4.0,6.0,5.0,5.0
