,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,환경_등급차이,사회_등급차이,지배구조_등급차이,통합_등급차이,t+1년도_환경_등급차이,t+1년도_사회_등급차이,t+1년도_지배구조_등급차이,t+1년도_통합_등급차이
0,AK홀딩스,기타금융,A006840,12,2021,Annual,4548736657.0,1352749115.0,287334993,375434184,1634149314.0,4548736657.0,3346377386.0,1873942575,353029488,794593961,284988948,1202359271.0,3167699652.0,2661268850.0,-165714944,18574103,70572823,-199326057,-9766238,-38243934,155531011,26.43,49.15,278.32,185.93,84.01,-16.17,-5.23,-165714944.1,15.99,9.552897319,14.13148439,10.66867136,9.552897319,15.81446555,16.27337666,-4.775845713,20.9056182,-25.20363753,-24.58646827,-94.90589523,105.9752753,0.696391084,2.63456999,0.946605624,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0
1,AK홀딩스,기타금융,A006840,12,2022,Annual,4985365771.0,1578818308.0,332397459,357702292,1819267723.0,4985365771.0,3721996782.0,2366670547,316428299,826452036,172101418,1263368990.0,3787959855.0,3077278770.0,-21822474,22903924,76460769,-124858460,366475089,-463779235,85365700,25.34,46.39,294.61,183.04,81.24,-10.13,-0.58,-21822473.63,18.76,9.598909476,16.71183448,11.32812084,9.598909476,11.22465737,26.29365374,5.074167137,19.58077694,-86.831318,-37.35969001,-3852.469364,1112.68705,0.759815835,2.998300485,1.017722496,2.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0
2,BYC,섬유의복,A001460,12,2021,Annual,684434512.0,133338984.0,4923098,30955006,69036987.0,684434512.0,202622248.0,130677557,3855973,28227391,0,481812265.0,164445894.0,94549165.0,26711346,0,1006645,29855489,35707429,3766575,-33059365,70.4,10.81,42.05,15.35,57.5,6.39,16.24,26711346.47,42.5,0.780352811,14.59540047,12.37838261,0.780352811,-10.52895475,7.847172319,6.438325305,1.595491857,16.43530294,63.27749413,0.843628564,-85.61734059,0.240265345,0.34130699,0.811588538,0.0,-2.0,-3.0,-2.0,0.0,0.0,0.0,0.0
3,BYC,섬유의복,A001460,12,2022,Annual,668872026.0,120182142.0,4897177,38420150,77727018.0,668872026.0,153134740.0,79177004,3177671,28274737,0,515737286.0,169680337.0,97946674.0,25326353,0,1092184,35286502,10468407,43321939,-50413187,77.11,4.25,29.69,5.51,57.72,7.07,14.93,25326353.05,42.28,-2.273772834,-9.867213327,12.58750038,-2.273772834,-24.42353122,-39.41040388,7.041128561,3.183079171,-5.185036351,18.19100334,-70.68283186,1050.167964,0.253681318,0.329005371,1.108046006,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-2.0
4,CJ,기타금융,A001040,12,2021,Annual,41955995804.0,12052390290.0,3640572265,2735868912,13453497278.0,41955995804.0,25492465688.0,12546083570,2760881123,3205342324,2467662370,16463530116.0,34484026554.0,24787913920.0,1881800099,57521423,739305175,806961658,3353190728,-1623491611,-1230196115,39.24,39.8,154.84,101.44,71.88,5.07,5.46,1881800099.0,28.12,4.824565697,8.403234447,3.468342615,4.824565697,3.506987078,9.83559757,6.932244537,7.765603964,35.34817917,295.5543199,10.56365031,12.44736721,0.821909381,2.094570624,1.352714444,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0
5,CJ,기타금융,A001040,12,2022,Annual,48240408307.0,15173652714.0,4406167598,3707465503,14277413784.0,48240408307.0,30506774819.0,16950325414,3356993821,5714650512,2382867707,17733633488.0,40924879773.0,29696090453.0,2154201790,78599980,856720208,686845690,4044985960,-4610826113,1379245056,36.76,41.18,172.03,112.03,72.56,4.02,5.26,2154201790.0,27.44,14.97858025,25.8974556,6.124180865,14.97858025,19.66976907,35.10451544,7.714647849,18.67778755,14.47559128,-14.88496595,20.63095386,184.0067717,0.848352682,2.307754911,1.341501356,1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0
6,CJ대한통운,운수창고업,A000120,12,2021,Annual,8993928516.0,2348222542.0,1371077751,25128745,3312064213.0,8993928516.0,4977570577.0,2448916061,826135988,261567095,170151224,4016357939.0,11343651787.0,10272323722.0,343880766,0,11493831,158279696,344143274,366409538,-877201845,44.66,31.29,123.93,70.06,90.56,3.93,3.03,343880765.7,9.44,-6.735837757,-7.497390396,-5.266759683,-6.735837757,-11.17122847,-12.77568139,-0.583778714,5.217679276,5.699681569,10.97749209,-39.87163613,-216.0112994,1.26125661,2.824362758,2.27895348,-1.0,0.0,-2.0,-1.0,0.0,3.0,0.0,0.0
7,CJ대한통운,운수창고업,A000120,12,2022,Annual,9693299818.0,2956459493.0,1422739127,34299355,3364173934.0,9693299818.0,5658991480.0,3108759802,831449965,789578095,367116669,4034308339.0,12130712862.0,10944706303.0,411786887,0,11924772,196821784,622939080,-566860798,290402311,41.62,37.18,140.27,89.33,90.22,4.89,3.39,411786887.3,9.78,7.776038032,25.90201483,1.573330638,7.776038032,13.68982905,26.94431841,0.446932277,6.93833952,19.74699597,24.35062044,81.0115516,-254.7068892,1.251453384,3.006887883,2.143617446,1.0,0.0,1.0,1.0,-1.0,0.0,-2.0,-1.0
8,CJ씨푸드,음식료품,A011150,12,2021,Annual,133389814.0,51224078.0,2571190,16745691,57953480.0,133389814.0,66278140.0,40773011,18843709,9404662,0,67111675.0,162142952.0,140111856.0,4499170,0,0,2204339,10911065,-2437292,-8790016,50.31,22.02,98.76,43.77,86.41,3.32,2.77,4499170.29,13.59,-1.435405164,10.6200173,-21.07510524,-1.435405164,-4.598519281,-6.759505266,1.901252877,8.784506298,13.53352229,4.691738793,216.347388,-51.31452998,1.215557224,2.416017064,2.446401664,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
9,CJ씨푸드,음식료품,A011150,12,2022,Annual,143409087.0,60241893.0,2981683,19897736,54722240.0,143409087.0,67719807.0,63686192,18327080,13489469,0,75689279.0,152701472.0,131165862.0,4135028,0,0,7419861,-905718,2360886,3602029,52.78,23.41,89.47,44.36,85.9,10.39,2.71,4135027.84,14.1,7.511272937,17.60464093,-5.575575444,7.511272937,2.175177215,56.19693135,12.78109062,-5.822935801,-8.093537252,236.6025371,-108.3009129,-196.8651274,1.064796347,2.017478222,2.254901169,2.0,2.0,0.0,1.0,0.0,-1.0,-1.0,0.0
