Unnamed: 0,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,통합_등급차이
0,AK홀딩스,기타금융,A006840,12,2020,Annual,4152091609,1185254991,243210194,236961655,1476614198,4152091609,2889429546,1611669523,275930960,697378057,974138170,1262662063,2619977218,2157041981,-221554817,19090994,65432074,-264310731,-191716473,-18567245,333786285,30.41,47.88,228.84,157.44,82.33,-19.63,-8.46,-221554817.3,17.67,-4.06364109,-10.73452765,3.257356679,-4.06364109,-0.296619906,2.950403104,-11.69818,-30.31126733,-268.6919902,-560.6495526,-169.9210818,-91.53434292,0.631001785,2.074963123,0.906745493,0
1,AK홀딩스,기타금융,A006840,12,2021,Annual,4548736657,1352749115,287334993,375434184,1634149314,4548736657,3346377386,1873942575,353029488,794593961,284988948,1202359271,3167699652,2661268850,-165714944,18574103,70572823,-199326057,-9766238,-38243934,155531011,26.43,49.15,278.32,185.93,84.01,-16.17,-5.23,-165714944.1,15.99,9.552897319,14.13148439,10.66867136,9.552897319,15.81446555,16.27337666,-4.775845713,20.9056182,-25.20363753,-24.58646827,-94.90589523,105.9752753,0.696391084,2.63456999,0.946605624,0
2,AK홀딩스,기타금융,A006840,12,2022,Annual,4985365771,1578818308,332397459,357702292,1819267723,4985365771,3721996782,2366670547,316428299,826452036,172101418,1263368990,3787959855,3077278770,-21822474,22903924,76460769,-124858460,366475089,-463779235,85365700,25.34,46.39,294.61,183.04,81.24,-10.13,-0.58,-21822473.63,18.76,9.598909476,16.71183448,11.32812084,9.598909476,11.22465737,26.29365374,5.074167137,19.58077694,-86.831318,-37.35969001,-3852.469364,1112.68705,0.759815835,2.998300485,1.017722496,1
3,BYC,섬유의복,A001460,12,2020,Annual,679134864,116356314,4338337,34704886,61432622,679134864,226466839,121169201,3752236,38809978,45500000,452668025,161863377,93110794,22940934,0,1088113,18285122,35408711,26188307,-31102656,66.65,15.73,50.03,23.61,57.52,4.12,14.17,22940934,42.48,-2.125429233,-1.661207462,-10.93173563,-2.125429233,-12.74816865,10.77858513,4.222751942,-5.115012468,-1.935364015,-34.20002555,89.18953244,-37.56374679,0.238337605,0.357576343,0.714733237,0
4,BYC,섬유의복,A001460,12,2021,Annual,684434512,133338984,4923098,30955006,69036987,684434512,202622248,130677557,3855973,28227391,0,481812265,164445894,94549165,26711346,0,1006645,29855489,35707429,3766575,-33059365,70.4,10.81,42.05,15.35,57.5,6.39,16.24,26711346.47,42.5,0.780352811,14.59540047,12.37838261,0.780352811,-10.52895475,7.847172319,6.438325305,1.595491857,16.43530294,63.27749413,0.843628564,-85.61734059,0.240265345,0.34130699,0.811588538,-2
5,BYC,섬유의복,A001460,12,2022,Annual,668872026,120182142,4897177,38420150,77727018,668872026,153134740,79177004,3177671,28274737,0,515737286,169680337,97946674,25326353,0,1092184,35286502,10468407,43321939,-50413187,77.11,4.25,29.69,5.51,57.72,7.07,14.93,25326353.05,42.28,-2.273772834,-9.867213327,12.58750038,-2.273772834,-24.42353122,-39.41040388,7.041128561,3.183079171,-5.185036351,18.19100334,-70.68283186,1050.167964,0.253681318,0.329005371,1.108046006,0
6,CJ,기타금융,A001040,12,2020,Annual,40024965069,11118109484,3320554672,2238146145,13002525157,40024965069,24628738994,11422602369,2368251431,3092611322,3065207901,15396226075,31999102947,23391528118,1390340166,48479143,601305321,204007798,3032814780,-1443779122,-537230169,38.47,40.38,159.97,104.98,73.1,1.36,4.34,1390340166,26.9,-0.882584151,-0.310138391,-3.807998893,-0.882584151,-4.414842496,-7.017473334,5.344759497,-5.271223151,-7.872908712,-37.00406886,-21.52271496,-70.5093667,0.799478598,2.078373154,1.299258681,0
7,CJ,기타금융,A001040,12,2021,Annual,41955995804,12052390290,3640572265,2735868912,13453497278,41955995804,25492465688,12546083570,2760881123,3205342324,2467662370,16463530116,34484026554,24787913920,1881800099,57521423,739305175,806961658,3353190728,-1623491611,-1230196115,39.24,39.8,154.84,101.44,71.88,5.07,5.46,1881800099,28.12,4.824565697,8.403234447,3.468342615,4.824565697,3.506987078,9.83559757,6.932244537,7.765603964,35.34817917,295.5543199,10.56365031,12.44736721,0.821909381,2.094570624,1.352714444,-1
8,CJ,기타금융,A001040,12,2022,Annual,48240408307,15173652714,4406167598,3707465503,14277413784,48240408307,30506774819,16950325414,3356993821,5714650512,2382867707,17733633488,40924879773,29696090453,2154201790,78599980,856720208,686845690,4044985960,-4610826113,1379245056,36.76,41.18,172.03,112.03,72.56,4.02,5.26,2154201790,27.44,14.97858025,25.8974556,6.124180865,14.97858025,19.66976907,35.10451544,7.714647849,18.67778755,14.47559128,-14.88496595,20.63095386,184.0067717,0.848352682,2.307754911,1.341501356,1
9,CJ대한통운,운수창고업,A000120,12,2020,Annual,9643498960,2538547347,1420450433,25323774,3496200702,9643498960,5603556698,2807606984,897465414,419177668,441581338,4039942262,10781127150,9779955605,325337561,0,11591048,142623241,572347644,-315839526,-94015594,41.89,33.63,138.7,80.27,90.71,3.71,3.02,325337561.3,9.29,5.856003366,9.31651452,-0.646702199,5.856003366,2.72762806,11.91507213,10.52451919,3.514303471,5.908861262,180.2586901,-32.68673546,-0.904986941,1.117968405,2.668633968,1.92397931,0
