,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%)
0,AK홀딩스,기타금융,A006840,12,2010,Annual,633518525,342091972,166423031,101257562,166260471,633518525,365777557,342038774,101219626,206392855,5735702,267740968,1301039826,1149487989,77135708,7084977,1294106,56728651,20490372,-24555432,-1619389,42.26,33.51,136.62,79.28,88.35,N/A(IFRS),5.93,77135707.71,11.65
2123,삼성전자,전기전자,A005930,12,2018,Annual,3.39E+11,1.75E+11,33867733000,28984704000,1.15E+11,3.39E+11,91604067000,69081510000,8479916000,13586660000,34963000,2.48E+11,2.44E+11,1.32E+11,58886669000,18354080000,3998491000,44344857000,67031863000,-52240453000,-15090222000,73.01,4.32,36.97,5.92,54.31,19.19,24.16,58886669000,45.69
2122,삼성전자,전기전자,A005930,12,2017,Annual,3.02E+11,1.47E+11,27695995000,24983355000,1.12E+11,3.02E+11,87260662000,67175114000,9083907000,15767619000,1756908000,2.14E+11,2.40E+11,1.29E+11,53645038000,16355612000,5350839000,42186747000,62162041000,-49385216000,-12560867000,71.08,6.23,40.68,8.77,53.97,20.71,22.39,53645038000,46.03
2118,삼성전자,전기전자,A005930,12,2013,Annual,2.14E+11,1.11E+11,24988532000,19134868000,75496388000,2.14E+11,64059008000,51315409000,8437139000,6438517000,902715000,1.50E+11,2.29E+11,1.38E+11,36785013000,14319402000,4165290000,30474764000,46707440000,-44747019000,-4137031000,70.08,5.21,42.7,7.44,60.21,22.45,16.08,36785013000,39.79
2121,삼성전자,전기전자,A005930,12,2016,Annual,2.62E+11,1.41E+11,24279211000,18353503000,91473041000,2.62E+11,69211291000,54704095000,6485039000,12746789000,1179111000,1.93E+11,2.02E+11,1.20E+11,29240672000,14111381000,4432109000,22726092000,47385644000,-29658675000,-8669514000,73.6,5.83,35.87,7.92,59.58,12.22,14.49,29240672000,40.42
2117,삼성전자,전기전자,A005930,12,2012,Annual,1.81E+11,87269017000,23861235000,17747413000,68484743000,1.81E+11,59591364000,46933052000,9489111000,8443752000,3521257000,1.21E+11,2.01E+11,1.27E+11,29049338000,11532795000,4887089000,23845285000,37972809000,-31321554000,-1864508000,67.09,8.23,49.05,12.26,62.98,21.41,14.44,29049338000,37.02
2120,삼성전자,전기전자,A005930,12,2015,Annual,2.42E+11,1.25E+11,25168026000,18811794000,86477110000,2.42E+11,63119716000,50502909000,6187291000,11155425000,193598000,1.79E+11,2.01E+11,1.23E+11,26413442000,13705695000,3852478000,19060144000,40061761000,-27167787000,-6573509000,73.94,5.32,35.25,7.19,61.54,10.98,13.16,26413442000,38.46
2119,삼성전자,전기전자,A005930,12,2014,Annual,2.30E+11,1.15E+11,24694610000,17317504000,80872950000,2.30E+11,62334770000,52013913000,7914704000,8029299000,23989000,1.68E+11,2.06E+11,1.28E+11,25025071000,14385506000,3773649000,23394358000,36975389000,-32806408000,-3057109000,72.95,4.89,37.08,6.7,62.21,14.71,12.14,25025071000,37.79
683,SK하이닉스,전기전자,A000660,12,2018,Annual,63658335000,19894146000,6319994000,4422733000,34952617000,63658335000,16806004000,13031852000,1096380000,585788000,2161566000,46852331000,40445066000,15180838000,20843750000,2284000000,92025000,15539984000,22227199000,-21428749000,-1395317000,73.6,8.3,35.87,11.27,37.53,38.53,51.54,20843750000,62.47
9,BYC,섬유의복,A001460,12,2010,Annual,410071382,153052900,21453982,122417732,46901140,410071382,127310535,100730602,13227892,54357964,0,282760847,206402089,131731753,34315549,0,2183598,21616817,7076378,-26825017,19525537,68.95,13.26,45.02,19.22,63.82,N/A(IFRS),16.63,34315549.39,36.18
2116,삼성전자,전기전자,A005930,12,2011,Annual,1.56E+11,71502063000,21882127000,15716715000,62043951000,1.56E+11,54486633000,44319014000,10276727000,9653722000,3559554000,1.01E+11,1.65E+11,1.12E+11,15644291000,9955164000,3505419000,13759043000,22917901000,-21112564000,3109729000,65.03,9.4,53.78,14.46,67.97,14.43,9.48,15644291000,32.03
682,SK하이닉스,전기전자,A000660,12,2017,Annual,45418464000,17310444000,5552795000,2640439000,24062601000,45418464000,11597545000,8116133000,758578000,192686000,2080333000,33820919000,30109434000,12701843000,13721326000,1975386000,83748000,10642219000,14690614000,-11919162000,-351906000,74.47,9.18,34.29,12.33,42.19,36.8,45.57,13721326000,57.81
