종목코드,종목명,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),,
A005930,삼성전자,12,2010,Annual,134288744000 ,61402589000 ,19153114000 ,13364524000 ,52964594000 ,134288744000 ,44939653000 ,39944721000 ,9148661000 ,8429721000 ,536871000 ,89349091000 ,154630328000 ,102666824000 ,16621030000 ,9099352000 ,3777397000 ,16146525000 ,23826779000 ,(23984877000),(152295000),66.54 ,8.02 ,50.30 ,12.06 ,66.40 ,19.89 ,10.75 ,16621030000.00 ,33.60 ,,
A005930,삼성전자,12,2011,Annual,155800263000 ,71502063000 ,21882127000 ,15716715000 ,62043951000 ,155800263000 ,54486633000 ,44319014000 ,10276727000 ,9653722000 ,3559554000 ,101313630000 ,165001771000 ,112145120000 ,15644291000 ,9955164000 ,3505419000 ,13759043000 ,22917901000 ,(21112564000),3109729000 ,65.03 ,9.40 ,53.78 ,14.46 ,67.97 ,14.43 ,9.48 ,15644291000.00 ,32.03 ,,
A005930,삼성전자,12,2012,Annual,181071570000 ,87269017000 ,23861235000 ,17747413000 ,68484743000 ,181071570000 ,59591364000 ,46933052000 ,9489111000 ,8443752000 ,3521257000 ,121480206000 ,201103613000 ,126651931000 ,29049338000 ,11532795000 ,4887089000 ,23845285000 ,37972809000 ,(31321554000),(1864508000),67.09 ,8.23 ,49.05 ,12.26 ,62.98 ,21.41 ,14.44 ,29049338000.00 ,37.02 ,,
A005930,삼성전자,12,2013,Annual,214075018000 ,110760271000 ,24988532000 ,19134868000 ,75496388000 ,214075018000 ,64059008000 ,51315409000 ,8437139000 ,6438517000 ,902715000 ,150016010000 ,228692667000 ,137696309000 ,36785013000 ,14319402000 ,4165290000 ,30474764000 ,46707440000 ,(44747019000),(4137031000),70.08 ,5.21 ,42.70 ,7.44 ,60.21 ,22.45 ,16.08 ,36785013000.00 ,39.79 ,,
A005930,삼성전자,12,2014,Annual,230422958000 ,115146026000 ,24694610000 ,17317504000 ,80872950000 ,230422958000 ,62334770000 ,52013913000 ,7914704000 ,8029299000 ,23989000 ,168088188000 ,206205987000 ,128278800000 ,25025071000 ,14385506000 ,3773649000 ,23394358000 ,36975389000 ,(32806408000),(3057109000),72.95 ,4.89 ,37.08 ,6.70 ,62.21 ,14.71 ,12.14 ,25025071000.00 ,37.79 ,,
A005930,삼성전자,12,2015,Annual,242179521000 ,124814725000 ,25168026000 ,18811794000 ,86477110000 ,242179521000 ,63119716000 ,50502909000 ,6187291000 ,11155425000 ,193598000 ,179059805000 ,200653482000 ,123482118000 ,26413442000 ,13705695000 ,3852478000 ,19060144000 ,40061761000 ,(27167787000),(6573509000),73.94 ,5.32 ,35.25 ,7.19 ,61.54 ,10.98 ,13.16 ,26413442000.00 ,38.46 ,,
A005930,삼성전자,12,2016,Annual,262174324000 ,141429704000 ,24279211000 ,18353503000 ,91473041000 ,262174324000 ,69211291000 ,54704095000 ,6485039000 ,12746789000 ,1179111000 ,192963033000 ,201866745000 ,120277715000 ,29240672000 ,14111381000 ,4432109000 ,22726092000 ,47385644000 ,(29658675000),(8669514000),73.60 ,5.83 ,35.87 ,7.92 ,59.58 ,12.22 ,14.49 ,29240672000.00 ,40.42 ,,
A005930,삼성전자,12,2017,Annual,301752090000 ,146982464000 ,27695995000 ,24983355000 ,111665648000 ,301752090000 ,87260662000 ,67175114000 ,9083907000 ,15767619000 ,1756908000 ,214491428000 ,239575376000 ,129290661000 ,53645038000 ,16355612000 ,5350839000 ,42186747000 ,62162041000 ,(49385216000),(12560867000),71.08 ,6.23 ,40.68 ,8.77 ,53.97 ,20.71 ,22.39 ,53645038000.00 ,46.03 ,,
A005930,삼성전자,12,2018,Annual,339357244000 ,174697424000 ,33867733000 ,28984704000 ,115416724000 ,339357244000 ,91604067000 ,69081510000 ,8479916000 ,13586660000 ,34963000 ,247753177000 ,243771415000 ,132394411000 ,58886669000 ,18354080000 ,3998491000 ,44344857000 ,67031863000 ,(52240453000),(15090222000),73.01 ,4.32 ,36.97 ,5.92 ,54.31 ,19.19 ,24.16 ,58886669000.00 ,45.69 ,,
A005930,삼성전자,12,2019,Annual,352564497000 ,181385260000 ,35131343000 ,26766464000 ,119825474000 ,352564497000 ,89684076000 ,63782764000 ,8718222000 ,14393468000 ,0 ,262880421000 ,230400881000 ,147239549000 ,27768509000 ,19907236000 ,4614525000 ,21738865000 ,45382915000 ,(39948171000),(9484510000),74.56 ,5.22 ,34.12 ,7.00 ,63.91 ,8.51 ,12.05 ,27768509000.00 ,36.09 ,,
