,종목명,회계년,총자본회전율(회),총부채회전율(회),총자산회전율(회)
0,AK홀딩스,2019,2.59,1.56,0.97
1,AK홀딩스,2020,1.95,0.91,0.62
2,AK홀딩스,2021,2.57,1.02,0.73
3,AK홀딩스,2022,3.07,1.07,0.79
4,AK홀딩스,2023,3.50,1.16,0.87
5,BYC,2019,0.41,0.58,0.24
6,BYC,2020,0.36,0.67,0.24
7,BYC,2021,0.35,0.77,0.24
8,BYC,2022,0.34,0.95,0.25
9,BYC,2023,0.32,1.11,0.25
10,CJ,2019,2.49,1.50,0.94
11,CJ,2020,2.13,1.27,0.80
12,CJ,2021,2.16,1.38,0.84
13,CJ,2022,2.39,1.46,0.91
14,CJ,2023,2.32,1.38,0.87
15,CJ대한통운,2019,3.07,2.04,1.23
16,CJ대한통운,2020,2.80,1.95,1.15
17,CJ대한통운,2021,2.82,2.14,1.22
18,CJ대한통운,2022,3.01,2.28,1.30
19,CJ대한통운,2023,2.91,2.14,1.24
20,CJ씨푸드,2019,2.37,2.34,1.18
21,CJ씨푸드,2020,2.29,2.25,1.13
22,CJ씨푸드,2021,2.44,2.39,1.21
23,CJ씨푸드,2022,2.14,2.28,1.10
24,CJ씨푸드,2023,1.93,1.88,0.95
25,CJ제일제당,2019,2.66,1.54,0.98
26,CJ제일제당,2020,2.47,1.50,0.93
27,CJ제일제당,2021,2.51,1.67,1.00
28,CJ제일제당,2022,2.69,1.74,1.06
29,CJ제일제당,2023,2.49,1.60,0.97
30,CS홀딩스,2019,0.48,4.67,0.44
31,CS홀딩스,2020,0.45,4.68,0.41
32,CS홀딩스,2021,0.52,4.56,0.47
33,CS홀딩스,2022,0.55,4.66,0.49
34,CS홀딩스,2023,0.51,4.89,0.46
35,DB,2019,1.37,1.57,0.73
36,DB,2020,1.04,1.75,0.65
37,DB,2021,0.87,2.02,0.61
38,DB,2022,1.11,2.73,0.79
39,DB,2023,1.35,1.49,0.71
40,DB하이텍,2019,1.34,1.70,0.75
41,DB하이텍,2020,1.30,2.26,0.83
42,DB하이텍,2021,1.28,2.93,0.89
43,DB하이텍,2022,1.22,3.51,0.90
44,DB하이텍,2023,0.68,2.85,0.55
45,DRB동일,2019,1.20,1.98,0.75
46,DRB동일,2020,1.07,1.66,0.65
47,DRB동일,2021,1.17,1.65,0.69
48,DRB동일,2022,1.39,1.61,0.74
49,DRB동일,2023,1.51,1.58,0.77
50,DSR제강,2019,1.38,2.97,0.94
51,DSR제강,2020,1.22,2.94,0.86
52,DSR제강,2021,1.38,2.80,0.92
53,DSR제강,2022,1.55,3.19,1.04
54,DSR제강,2023,1.13,2.96,0.82
55,E1,2019,3.66,1.99,1.29
56,E1,2020,3.21,1.61,1.07
57,E1,2021,3.94,2.02,1.33
58,E1,2022,5.54,2.93,1.92
59,E1,2023,4.88,2.73,1.75
60,GKL,2019,0.86,1.86,0.59
61,GKL,2020,0.34,0.68,0.23
62,GKL,2021,0.20,0.46,0.14
63,GKL,2022,0.68,1.40,0.46
64,GKL,2023,1.00,1.75,0.64
65,GS,2019,1.65,1.38,0.75
66,GS,2020,1.42,1.13,0.63
67,GS,2021,1.62,1.31,0.72
68,GS,2022,1.86,1.66,0.88
69,GS,2023,1.52,1.52,0.76
70,GS건설,2019,2.68,1.19,0.83
71,GS건설,2020,2.39,1.10,0.75
72,GS건설,2021,1.97,0.91,0.62
73,GS건설,2022,2.40,1.12,0.77
74,GS건설,2023,2.62,1.10,0.78
75,GS글로벌,2019,9.93,4.42,3.06
76,GS글로벌,2020,8.29,3.80,2.60
77,GS글로벌,2021,12.00,4.38,3.21
78,GS글로벌,2022,13.54,4.80,3.54
79,GS글로벌,2023,9.16,3.98,2.78
80,JW중외제약,2019,2.09,1.51,0.88
81,JW중외제약,2020,2.50,1.60,0.98
82,JW중외제약,2021,3.06,1.54,1.03
83,JW중외제약,2022,3.30,1.62,1.09
84,JW중외제약,2023,3.05,1.91,1.18
85,JW홀딩스,2019,1.98,0.82,0.58
86,JW홀딩스,2020,2.37,0.93,0.67
87,JW홀딩스,2021,2.51,1.02,0.72
88,JW홀딩스,2022,2.71,1.09,0.78
89,JW홀딩스,2023,2.72,1.12,0.80
90,KC그린홀딩스,2019,2.41,1.54,0.94
91,KC그린홀딩스,2020,2.60,1.27,0.85
92,KC그린홀딩스,2021,2.50,1.03,0.73
93,KC그린홀딩스,2022,2.48,1.09,0.76
94,KC그린홀딩스,2023,2.95,1.13,0.82
95,KEC,2019,0.92,1.64,0.59
96,KEC,2020,1.05,1.26,0.57
97,KEC,2021,1.19,1.67,0.70
98,KEC,2022,0.88,2.35,0.64
99,KEC,2023,0.63,2.21,0.49
100,주성코퍼레이션,2019,완전잠식,0.97,0.99
101,주성코퍼레이션,2020,10.04,0.74,0.69
102,주성코퍼레이션,2021,4.66,1.66,1.23
103,주성코퍼레이션,2022,1.88,1.10,0.70
104,주성코퍼레이션,2023,1.29,1.59,0.71
105,KG케미칼,2019,2.12,1.12,0.73
106,KG케미칼,2020,2.58,1.31,0.87
107,KG케미칼,2021,2.93,1.63,1.05
108,KG케미칼,2022,2.59,1.93,1.10
109,KG케미칼,2023,2.57,2.25,1.20
110,KISCO홀딩스,2019,0.91,4.77,0.76
111,KISCO홀딩스,2020,0.80,4.63,0.68
112,KISCO홀딩스,2021,1.15,6.36,0.97
113,KISCO홀딩스,2022,1.24,7.11,1.05
114,KISCO홀딩스,2023,0.99,6.92,0.87
115,그린케미칼,2019,2.15,2.90,1.23
116,그린케미칼,2020,2.19,3.42,1.33
117,그린케미칼,2021,2.42,3.77,1.47
118,그린케미칼,2022,2.64,4.00,1.59
119,그린케미칼,2023,2.33,3.64,1.42
120,KPX케미칼,2019,1.65,10.41,1.43
121,KPX케미칼,2020,1.47,9.40,1.27
122,KPX케미칼,2021,1.84,6.75,1.44
123,KPX케미칼,2022,1.68,5.17,1.27
124,KPX케미칼,2023,1.47,5.10,1.14
125,KPX홀딩스,2019,0.84,3.48,0.68
126,KPX홀딩스,2020,0.76,3.03,0.61
127,KPX홀딩스,2021,0.92,3.07,0.71
128,KPX홀딩스,2022,0.91,2.77,0.68
129,KPX홀딩스,2023,0.85,2.64,0.64
130,KR모터스,2019,2.52,1.37,0.89
131,KR모터스,2020,2.77,1.10,0.79
132,KR모터스,2021,2.67,1.19,0.82
133,KR모터스,2022,2.59,1.03,0.74
134,KR모터스,2023,2.51,0.70,0.54
135,KSS해운,2019,0.87,0.35,0.25
136,KSS해운,2020,0.82,0.31,0.22
137,KSS해운,2021,1.06,0.34,0.26
138,KSS해운,2022,1.19,0.38,0.29
139,KSS해운,2023,1.14,0.38,0.29
140,LF,2019,1.44,2.48,0.91
141,LF,2020,1.15,1.54,0.66
142,LF,2021,1.23,1.70,0.71
143,LF,2022,1.25,2.00,0.77
144,LF,2023,1.13,1.93,0.71
145,LG,2019,0.35,1.62,0.29
146,LG,2020,0.26,1.52,0.22
147,LG,2021,0.32,1.92,0.27
148,LG,2022,0.30,2.02,0.26
149,LG,2023,0.28,2.24,0.25
150,LG디스플레이,2019,1.72,1.13,0.68
151,LG디스플레이,2020,1.92,1.07,0.69
152,LG디스플레이,2021,2.17,1.31,0.82
153,LG디스플레이,2022,2.01,1.10,0.71
154,LG디스플레이,2023,2.12,0.83,0.60
155,LG생활건강,2019,1.96,3.90,1.31
156,LG생활건강,2020,1.73,3.73,1.18
157,LG생활건강,2021,1.56,4.04,1.13
158,LG생활건강,2022,1.31,3.69,0.97
159,LG생활건강,2023,1.24,3.88,0.94
160,LG유플러스,2019,1.74,1.40,0.78
161,LG유플러스,2020,1.79,1.26,0.74
162,LG유플러스,2021,1.77,1.25,0.73
163,LG유플러스,2022,1.70,1.22,0.71
164,LG유플러스,2023,1.67,1.27,0.72
165,LG이노텍,2019,3.69,2.21,1.38
166,LG이노텍,2020,4.12,2.66,1.62
167,LG이노텍,2021,5.21,3.72,2.17
168,LG이노텍,2022,5.17,3.94,2.23
169,LG이노텍,2023,4.59,3.43,1.96
170,LG전자,2019,3.81,2.21,1.40
171,LG전자,2020,3.42,1.96,1.25
172,LG전자,2021,3.93,2.31,1.45
173,LG전자,2022,3.92,2.53,1.54
174,LG전자,2023,3.66,2.43,1.46
175,LX하우시스,2019,3.48,1.97,1.26
176,LX하우시스,2020,3.47,1.90,1.23
177,LX하우시스,2021,4.07,2.14,1.40
178,LX하우시스,2022,4.39,2.13,1.44
179,LX하우시스,2023,4.37,2.17,1.45
180,LG화학,2019,1.58,1.94,0.87
181,LG화학,2020,1.66,1.53,0.80
182,LG화학,2021,2.03,1.69,0.92
183,LG화학,2022,1.68,1.75,0.86
184,LG화학,2023,1.41,1.65,0.76
185,LS,2019,2.35,1.61,0.96
186,LS,2020,2.40,1.52,0.93
187,LS,2021,2.80,1.70,1.06
188,LS,2022,3.30,1.81,1.17
189,LS,2023,3.87,2.14,1.38
190,LS네트웍스,2019,0.70,0.62,0.33
191,LS네트웍스,2020,0.66,0.48,0.28
192,LS네트웍스,2021,0.75,0.52,0.31
193,LS네트웍스,2022,0.66,0.48,0.28
194,LS네트웍스,2023,0.68,0.51,0.29
195,MH에탄올,2019,0.95,0.22,0.18
196,MH에탄올,2020,1.18,0.26,0.21
197,MH에탄올,2021,1.24,0.28,0.23
198,MH에탄올,2022,1.23,0.31,0.25
199,MH에탄올,2023,1.08,0.30,0.24
200,NAVER,2019,0.70,0.90,0.39
201,NAVER,2020,0.72,0.73,0.36
202,NAVER,2021,0.42,0.74,0.27
203,NAVER,2022,0.35,0.82,0.24
204,NAVER,2023,0.41,0.88,0.28
205,NICE,2019,1.66,1.51,0.79
206,NICE,2020,1.66,1.46,0.78
207,NICE,2021,1.91,1.51,0.84
208,NICE,2022,2.08,1.44,0.85
209,NICE,2023,2.14,1.33,0.82
210,NI스틸,2019,1.36,1.04,0.59
211,NI스틸,2020,1.66,1.23,0.71
212,NI스틸,2021,1.89,1.36,0.79
213,NI스틸,2022,2.15,1.74,0.96
214,NI스틸,2023,1.81,1.81,0.91
215,SNT에너지,2019,0.90,3.08,0.69
216,SNT에너지,2020,0.99,2.52,0.71
217,SNT에너지,2021,0.71,1.83,0.51
218,SNT에너지,2022,0.81,1.57,0.53
219,SNT에너지,2023,1.20,2.03,0.75
220,SNT모티브,2019,1.25,2.89,0.87
221,SNT모티브,2020,1.26,2.96,0.88
222,SNT모티브,2021,1.16,3.02,0.84
223,SNT모티브,2022,1.20,3.27,0.88
224,SNT모티브,2023,1.25,3.70,0.93
225,SNT다이내믹스,2019,0.61,1.62,0.44
226,SNT다이내믹스,2020,0.50,1.31,0.36
227,SNT다이내믹스,2021,0.54,1.45,0.39
228,SNT다이내믹스,2022,0.62,1.64,0.45
229,SNT다이내믹스,2023,0.71,1.55,0.49
230,SNT홀딩스,2019,0.97,2.48,0.70
231,SNT홀딩스,2020,0.89,2.27,0.64
232,SNT홀딩스,2021,0.83,2.26,0.60
233,SNT홀딩스,2022,0.91,2.44,0.66
234,SNT홀딩스,2023,1.01,2.54,0.72
235,S-Oil,2019,3.76,2.52,1.51
236,S-Oil,2020,2.76,1.70,1.05
237,S-Oil,2021,4.34,2.53,1.60
238,S-Oil,2022,5.49,3.72,2.22
239,S-Oil,2023,4.08,3.02,1.73
240,SBS,2019,1.35,1.65,0.74
241,SBS,2020,1.41,1.44,0.71
242,SBS,2021,1.62,1.57,0.80
243,SBS,2022,1.47,1.84,0.82
244,SBS,2023,1.14,1.99,0.72
245,SG세계물산,2019,1.23,2.23,0.79
246,SG세계물산,2020,0.84,2.18,0.60
247,SG세계물산,2021,0.62,2.01,0.47
248,SG세계물산,2022,0.66,2.63,0.53
249,SG세계물산,2023,0.59,2.40,0.47
250,SG글로벌,2019,0.72,1.27,0.46
251,SG글로벌,2020,0.66,1.16,0.42
252,SG글로벌,2021,0.46,0.85,0.30
253,SG글로벌,2022,0.55,1.05,0.36
254,SG글로벌,2023,0.74,1.58,0.50
255,SH에너지화학,2019,1.38,6.79,1.15
256,SH에너지화학,2020,0.99,3.62,0.78
257,SH에너지화학,2021,1.58,5.21,1.21
258,SH에너지화학,2022,1.80,5.78,1.37
259,SH에너지화학,2023,1.46,4.41,1.09
260,SIMPAC,2019,0.98,1.77,0.63
261,SIMPAC,2020,0.81,1.43,0.52
262,SIMPAC,2021,1.21,1.95,0.75
263,SIMPAC,2022,1.17,1.86,0.72
264,SIMPAC,2023,1.03,1.45,0.60
