,종목명,업종명
0,AK홀딩스,기타금융
1,BYC,섬유의복
2,CJ,기타금융
3,CJCGV,서비스업
4,CJ대한통운,운수창고업
5,CJ씨푸드,음식료품
6,CJ제일제당,음식료품
7,CS홀딩스,기타금융
8,DB,서비스업
9,DB하이텍,전기전자
10,DRB동일,화학
11,DSR제강,철강금속
12,E1,유통업
13,GKL,서비스업
14,GS,기타금융
15,GS건설,건설업
16,GS글로벌,유통업
17,JW중외제약,의약품
18,JW홀딩스,기타금융
19,KC그린홀딩스,기타금융
20,KEC,전기전자
21,주성코퍼레이션,전기전자
22,KG케미칼,화학
23,KISCO홀딩스,철강금속
24,그린케미칼,화학
25,KPX케미칼,화학
26,KPX홀딩스,화학
27,KR모터스,운수장비
28,KSS해운,운수창고업
29,LF,섬유의복
30,LG,기타금융
31,LG디스플레이,전기전자
32,LG생활건강,화학
33,LG유플러스,통신업
34,LG이노텍,전기전자
35,LG전자,전기전자
36,LX하우시스,화학
37,LG화학,화학
38,LS,기타금융
39,LS네트웍스,유통업
40,LSELECTRIC,전기전자
41,MH에탄올,음식료품
42,NAVER,서비스업
43,NICE,서비스업
44,NI스틸,철강금속
45,SNT에너지,기계
46,SNT모티브,운수장비
47,SNT다이내믹스,운수장비
48,SNT홀딩스,기타금융
49,S-Oil,화학
50,SBS,서비스업
51,SG세계물산,유통업
52,SG글로벌,운수장비
53,SH에너지화학,화학
54,SIMPAC,철강금속
55,SK,기타금융
56,SKC,화학
57,SK가스,유통업
58,SK네트웍스,유통업
59,SK디스커버리,기타금융
60,SK이노베이션,화학
61,SK텔레콤,통신업
62,SK하이닉스,전기전자
63,SPC삼립,음식료품
64,STX,유통업
65,STX엔진,기계
66,STX중공업,기계
67,TCC스틸,철강금속
68,WISCOM,화학
69,YGPLUS,서비스업
70,가온전선,전기전자
71,강남제비스코,화학
72,강원랜드,서비스업
73,갤럭시아에스엠,서비스업
74,경농,화학
75,경동나비엔,전기전자
76,경동인베스트,기타금융
77,경방,유통업
78,경인양행,화학
79,경인전자,전기전자
80,계룡건설,건설업
81,계양전기,기계
82,고려산업,음식료품
83,고려아연,철강금속
84,고려제강,철강금속
85,광동제약,의약품
86,광명전기,전기전자
87,광전자,전기전자
88,광주신세계,유통업
89,국도화학,화학
90,국동,유통업
91,국보,운수창고업
92,국제약품,의약품
93,극동유화,화학
94,금강공업,철강금속
95,금비,비금속광물
96,금양,화학
97,금호건설,건설업
98,금호석유,화학
99,금호전기,전기전자
100,기아,운수장비
101,까뮤이앤씨,건설업
102,깨끗한나라,종이목재
103,이엔플러스,기계
104,남광토건,건설업
105,남선알미늄,철강금속
106,남성,유통업
107,남양유업,음식료품
108,비비안,섬유의복
109,남해화학,화학
110,넥센,화학
111,넥센타이어,화학
112,노루페인트,화학
113,노루홀딩스,기타금융
114,녹십자,의약품
115,녹십자홀딩스,서비스업
116,농심,음식료품
117,농심홀딩스,기타금융
118,다우기술,서비스업
119,키다리스튜디오,서비스업
120,KIB플러그에너지,기계
121,대교,서비스업
122,대구백화점,유통업
123,대동,기계
124,대림B&Co,비금속광물
125,DL,화학
126,대림통상,기계
127,대상,음식료품
128,대상홀딩스,기타금융
129,대성홀딩스,서비스업
130,대양금속,철강금속
131,대영포장,종이목재
132,대우건설,건설업
133,대우부품,운수장비
134,한화오션,운수장비
135,대웅,의약품
136,대웅제약,의약품
137,대원강업,운수장비
138,대원전선,전기전자
139,대원제약,의약품
140,대원화성,화학
141,대유에이텍,운수장비
142,대유플러스,전기전자
143,대창,철강금속
144,대창단조,운수장비
145,대한방직,섬유의복
146,대한유화,화학
147,대한전선,전기전자
148,대한제강,철강금속
149,대한제당,음식료품
150,대한제분,음식료품
151,대한항공,운수창고업
152,대한화섬,화학
153,대현,섬유의복
154,대호에이엘,철강금속
155,더존비즈온,서비스업
156,덕성,화학
157,덕양산업,운수장비
158,케이비아이동국실업,운수장비
159,하이스틸,철강금속
160,하이트진로,음식료품
161,하이트진로홀딩스,기타금융
162,한국가스공사,전기가스업
163,한국공항,운수창고업
164,한국내화,비금속광물
165,한국단자,전기전자
166,한국석유,비금속광물
167,한국수출포장,종이목재
168,한국쉘석유,화학
169,한국전력,전기가스업
170,한국전자홀딩스,기타금융
171,한국주강,기계
172,한국주철관,철강금속
173,한국철강,철강금속
174,한국카본,기계
175,한국앤컴퍼니,기타금융
176,한국특강,철강금속
177,한국무브넥스,운수장비
178,한국화장품제조,화학
179,한농화성,화학
180,한독,의약품
181,HLD&I,건설업
182,한미글로벌,서비스업
183,한미반도체,기계
184,한미사이언스,기타금융
185,한샘,유통업
186,한섬,섬유의복
187,한성기업,음식료품
188,한세실업,섬유의복
189,한세예스24홀딩스,섬유의복
190,한솔로지스틱스,운수창고업
191,한솔케미칼,화학
192,한솔테크닉스,전기전자
193,한솔PNS,유통업
194,한솔홀딩스,기타금융
195,한솔홈데코,종이목재
196,한신공영,건설업
197,한신기계,기계
198,한온시스템,기계
199,한올바이오파마,의약품
200,한익스프레스,운수창고업
201,한일시멘트,비금속광물
202,한일철강,철강금속
203,한전KPS,건설업
204,한전기술,서비스업
205,한진,운수창고업
206,HJ중공업,건설업
207,한진중공업홀딩스,전기가스업
208,한창,유통업
209,한창제지,종이목재
210,한화,화학
211,한화솔루션,화학
212,한화에어로스페이스,운수장비
213,HDC현대EP,화학
214,현대건설,건설업
215,현대글로비스,운수창고업
216,현대리바트,기타제조업
217,현대모비스,운수장비
218,HD현대미포,운수장비
219,현대백화점,유통업
220,현대비앤지스틸,철강금속
221,HDC현대산업개발,건설업
222,HMM,운수창고업
223,한일현대시멘트,비금속광물
224,현대약품,의약품
225,현대엘리베이,기계
226,현대차,운수장비
227,현대제철,철강금속
228,현대코퍼레이션,유통업
229,형지엘리트,섬유의복
230,혜인,유통업
231,호텔신라,유통업
232,화성산업,건설업
233,화승인더,화학
234,화신,운수장비
235,화천기계,기계
236,화천기공,기계
237,환인제약,의약품
238,황금에스티,철강금속
239,효성,기타금융
240,효성ITX,서비스업
241,후성,화학
242,휴니드,전기전자
243,휴스틸,철강금속
244,TKG휴켐스,화학
245,흥아해운,운수창고업
246,동남합성,화학
247,동방,운수창고업
248,동방아그로,화학
249,동부건설,건설업
250,KG스틸,철강금속
251,동성제약,의약품
252,동성케미컬,서비스업
253,동아쏘시오홀딩스,기타금융
254,다스코,기계
255,동아지질,건설업
256,동양,비금속광물
257,동양고속,운수창고업
258,TYM,기계
259,동양철관,철강금속
260,HLB글로벌,광업
261,동원F&B,음식료품
262,동원산업,기타금융
263,동원수산,"농업, 임업 및 어업"
264,동원시스템즈,화학
265,DI동일,유통업
266,동일산업,철강금속
267,동화약품,의약품
268,두산,기타금융
269,HD현대인프라코어,기계
270,두산에너빌리티,기계
271,디씨엠,철강금속
272,디아이,의료정밀
273,디아이씨,운수장비
274,디와이,기타금융
275,DN오토모티브,전기전자
276,롯데관광개발,서비스업
277,롯데쇼핑,유통업
278,롯데정밀화학,화학
279,롯데지주,기타금융
280,롯데칠성,음식료품
281,롯데케미칼,화학
282,마니커,음식료품
283,만호제강,철강금속
284,명문제약,의약품
285,모나리자,종이목재
286,모나미,유통업
287,모토닉,운수장비
288,무림P&P,종이목재
289,무림페이퍼,종이목재
290,문배철강,철강금속
291,미래산업,의료정밀
292,미래아이앤지,서비스업
293,미원상사,화학
294,미원홀딩스,기타금융
295,미창석유,화학
296,방림,섬유의복
297,백광산업,화학
298,태경비케이,비금속광물
299,백산,화학
300,범양건영,건설업
301,보락,화학
302,보령,의약품
303,보해양조,음식료품
304,부광약품,의약품
305,부국철강,철강금속
306,부산산업,비금속광물
307,부산주공,운수장비
308,비상교육,서비스업
309,빙그레,음식료품
310,사조대림,음식료품
311,사조동아원,음식료품
312,사조산업,"농업, 임업 및 어업"
313,사조오양,음식료품
314,SGC에너지,전기가스업
315,삼성SDI,전기전자
316,삼성공조,운수장비
317,삼성물산,유통업
318,삼성E&A,서비스업
319,삼성전기,전기전자
320,삼성전자,전기전자
321,삼성제약,의약품
322,삼성중공업,운수장비
323,삼성출판사,서비스업
324,삼아알미늄,철강금속
325,삼양식품,음식료품
326,삼양통상,기타제조업
327,삼양홀딩스,기타금융
328,삼영무역,유통업
329,삼영전자,전기전자
330,삼영,화학
331,삼익THK,기계
332,삼익악기,기타제조업
333,삼일제약,의약품
334,삼정펄프,종이목재
335,삼진제약,의약품
336,삼천리,전기가스업
337,삼호개발,건설업
338,삼화왕관,기계
339,삼화전기,전기전자
340,삼화전자,전기전자
341,삼화콘덴서,전기전자
342,삼화페인트,화학
343,상신브레이크,운수장비
344,새론오토모티브,운수장비
345,샘표,기타금융
346,서연,기타금융
347,서울가스,전기가스업
348,서울식품,음식료품
349,서원,철강금속
350,서흥,화학
351,선도전기,전기전자
352,SUN&L,종이목재
353,성문전자,전기전자
354,성보화학,화학
355,성신양회,비금속광물
356,성창기업지주,서비스업
357,세기상사,유통업
358,세방,운수창고업
359,세방전지,전기전자
360,세아베스틸지주,철강금속
361,세아제강,철강금속
362,세아홀딩스,철강금속
363,세우글로벌,유통업
364,세원이앤씨,기계
365,세원정공,운수장비
366,세이브존I&C,유통업
367,에스제이지세종,운수장비
368,송원산업,화학
369,수산중공업,기계
370,신대양제지,종이목재
371,신도리코,전기전자
372,신라교역,"농업, 임업 및 어업"
373,신성이엔지,전기전자
374,신성통상,유통업
375,신세계,유통업
376,신세계I&C,서비스업
377,신세계건설,건설업
378,신영와코루,섬유의복
379,신원,섬유의복
380,신일전자,유통업
381,신풍제약,의약품
382,신풍,유통업
383,SHD,철강금속
384,신흥,유통업
385,쌍방울,섬유의복
386,쌍용C&E,비금속광물
387,써니전자,전기전자
388,씨아이테크,기타제조업
389,아남전자,전기전자
390,아모레퍼시픽,화학
391,아모레G,화학
392,메타랩스,섬유의복
393,아세아,서비스업
394,아세아제지,종이목재
395,아시아나항공,운수창고업
396,아이에스동서,비금속광물
397,IHQ,서비스업
398,알루코,철강금속
399,에넥스,기타제조업
400,에스엘,운수장비
401,에스원,서비스업
402,SJM홀딩스,유통업
403,에쓰씨엔지니어링,건설업
404,에이엔피,전기전자
405,에이프로젠,기계
406,에이프로젠바이오로직스,의약품
407,엔씨소프트,서비스업
408,엔케이,기계
409,플레이그램,유통업
410,NPC,화학
411,영보화학,화학
412,영원무역,유통업
413,영원무역홀딩스,기타금융
414,영진약품,의약품
415,영풍,철강금속
416,영풍제지,종이목재
417,영화금속,운수장비
418,예스코홀딩스,서비스업
419,오뚜기,음식료품
420,오리온홀딩스,기타금융
421,웰바이오텍,유통업
422,팜젠사이언스,의약품
423,에스메디,유통업
424,우성,음식료품
425,우신시스템,기계
426,우진플라임,기계
427,웅진,서비스업
428,웅진씽크빅,서비스업
429,원림,섬유의복
430,윌비스,유통업
431,유나이티드제약,의약품
432,유니드,화학
433,유니온,비금속광물
434,유니온머티리얼,비금속광물
435,유니퀘스트,유통업
436,유성기업,운수장비
437,유수홀딩스,서비스업
438,유엔젤,서비스업
439,유유제약,의약품
440,유한양행,의약품
441,율촌화학,화학
442,이건산업,종이목재
443,이구산업,철강금속
444,이수페타시스,전기전자
445,이수화학,화학
446,이스타코,서비스업
447,이아이디,유통업
448,이월드,기타제조업
449,이화산업,유통업
450,인디에프,섬유의복
451,인스코비,통신업
452,인지컨트롤스,운수장비
453,인천도시가스,전기가스업
454,인팩,운수장비
455,일동홀딩스,의약품
456,일성건설,건설업
457,일성아이에스,의약품
458,일신방직,섬유의복
459,일신석재,유통업
460,일양약품,의약품
461,일정실업,섬유의복
462,일진다이아,화학
463,일진디스플,전기전자
464,일진전기,전기전자
465,일진홀딩스,기타금융
466,자화전자,전기전자
467,전방,섬유의복
468,제이준코스메틱,화학
469,제일기획,서비스업
470,제일연마,비금속광물
471,제일파마홀딩스,서비스업
472,조광페인트,화학
473,조광피혁,기타제조업
474,조비,화학
475,조일알미늄,철강금속
476,조흥,음식료품
477,종근당바이오,의약품
478,종근당홀딩스,의약품
479,주연테크,전기전자
480,HS애드,서비스업
481,진도,유통업
482,진양산업,화학
483,진양폴리,화학
484,진양홀딩스,화학
485,진양화학,화학
486,진원생명과학,의약품
487,진흥기업,건설업
488,참엔지니어링,기계
489,천일고속,운수창고업
490,청호ICT,기계
491,체시스,운수장비
492,카프로,화학
493,케이씨,의료정밀
494,KCC,화학
495,KCTC,운수창고업
496,KT,통신업
497,KT&G,기타제조업
498,코리아써키트,전기전자
499,코스맥스비티아이,기타금융
500,코스모신소재,화학
501,코스모화학,화학
502,코아스,기타제조업
503,코오롱,기타금융
504,코오롱글로벌,건설업
505,코웨이,서비스업
506,콤텍시스템,서비스업
507,크라운해태홀딩스,기타금융
508,태경산업,화학
509,태경케미컬,화학
510,태광산업,화학
511,태림포장,종이목재
512,태양금속,운수장비
513,태영건설,건설업
514,태원물산,운수장비
515,TP,섬유의복
516,텔코웨어,서비스업
517,TBH글로벌,섬유의복
518,티에이치엔,전기전자
519,파미셀,의약품
520,팜스코,음식료품
521,팬오션,운수창고업
522,퍼스텍,기계
523,퍼시스,기타제조업
524,페이퍼코리아,종이목재
525,평화산업,운수장비
526,평화홀딩스,운수장비
527,POSCO홀딩스,철강금속
528,포스코스틸리온,철강금속
529,포스코인터내셔널,유통업
530,풀무원,음식료품
531,풍산,철강금속
532,풍산홀딩스,기타금융
533,KH필룩스,전기전자
534,KC코트렐,기계
535,KTcs,서비스업
536,금호타이어,화학
537,대성산업,유통업
538,대성에너지,전기가스업
539,도화엔지니어링,서비스업
540,한화엔진,기계
541,락앤락,화학
542,롯데하이마트,유통업
543,무학,음식료품
544,벽산,비금속광물
545,삼부토건,건설업
546,삼양사,음식료품
547,삼원강재,운수장비
548,세아특수강,철강금속
549,신세계인터내셔날,유통업
550,신세계푸드,서비스업
551,아이마켓코리아,유통업
552,인바이오젠,유통업
553,SJM,운수장비
554,에이블씨엔씨,화학
555,영흥,철강금속
556,우진,의료정밀
557,유니켐,기타제조업
558,이마트,유통업
559,이연제약,의약품
560,롯데에너지머티리얼즈,전기전자
561,조선선재,기계
562,지역난방공사,전기가스업
563,KTis,서비스업
564,스카이라이프,서비스업
565,코오롱인더,화학
566,코오롱플라스틱,화학
567,티웨이홀딩스,비금속광물
568,하나투어,서비스업
569,한국항공우주,운수장비
570,한국화장품,유통업
571,HL홀딩스,기타금융
572,한미약품,의약품
573,한세엠케이,유통업
574,한전산업,서비스업
575,현대위아,운수장비
576,현대홈쇼핑,유통업
577,휠라홀딩스,유통업
578,GS리테일,유통업
579,미원화학,화학
580,선진,음식료품
581,인터지스,운수창고업
582,시디즈,기타제조업
583,한국종합기술,서비스업
584,LG헬로비전,서비스업
585,대한해운,운수창고업
586,동일고무벨트,화학
587,사조씨푸드,음식료품
588,애경케미칼,화학
589,지엠비코리아,운수장비
590,한국콜마,화학
591,한국타이어앤테크놀로지,화학
592,휴비스,화학
593,DSR,철강금속
594,NHN,서비스업
595,동아에스티,의약품
596,한진칼,운수창고업
597,현대로템,운수장비
598,신송홀딩스,유통업
599,아세아시멘트,비금속광물
600,종근당,의약품
601,AJ네트웍스,서비스업
602,BGF,기타금융
603,디와이파워,기계
604,HL만도,운수장비
605,코스맥스,화학
606,쿠쿠홀딩스,기타금융
607,화인베스틸,철강금속
608,삼성에스디에스,서비스업
609,서연이화,운수장비
610,씨에스윈드,기계
611,JW생명과학,의약품
612,LIG넥스원,기계
613,LS에코에너지,기타금융
614,SK디앤디,서비스업
615,경보제약,의약품
616,금호에이치티,운수장비
617,삼일씨엔에스,비금속광물
618,동서,유통업
619,동일제강,철강금속
620,두산밥캣,기계
621,두올,운수장비
622,삼성바이오로직스,의약품
623,샘표식품,음식료품
624,세진중공업,운수장비
625,다이나믹디자인,기계
626,HDC랩스,건설업
627,용평리조트,서비스업
628,이노션,서비스업
629,일동제약,의약품
630,잇츠한불,화학
631,제이에스코퍼레이션,기타제조업
632,제주항공,운수창고업
633,토니모리,화학
634,한솔제지,종이목재
635,해성디에스,전기전자
636,해태제과식품,음식료품
637,핸즈코퍼레이션,운수장비
638,현대코퍼레이션홀딩스,유통업
639,화승엔터프라이즈,기타제조업
640,셀트리온,의약품
641,카카오,서비스업
642,HDC,기타금융
643,BGF리테일,유통업
644,F&F홀딩스,기타금융
645,HD한국조선해양,기타금융
646,HD현대,기타금융
647,HD현대건설기계,기계
648,HD현대일렉트릭,전기전자
649,LX세미콘,전기전자
650,LX인터내셔널,유통업
651,OCI홀딩스,화학
652,SK케미칼,화학
653,경동도시가스,전기가스업
654,넷마블,서비스업
655,대덕,기타금융
656,더블유게임즈,서비스업
657,덴티움,의료정밀
658,동국홀딩스,철강금속
659,동아타이어,화학
660,동양피스톤,운수장비
661,롯데웰푸드,음식료품
662,롯데이노베이트,서비스업
663,미원에스씨,화학
664,삼양패키징,화학
665,성안머티리얼스,섬유의복
666,세아제강지주,기타금융
667,CR홀딩스,비금속광물
668,아시아나IDT,서비스업
669,애경산업,화학
670,에어부산,운수창고업
671,오리온,음식료품
672,우진아이엔에스,건설업
673,제일약품,의약품
674,진에어,운수창고업
675,케이씨텍,의료정밀
676,콘텐트리중앙,서비스업
677,콜마홀딩스,기타금융
678,쿠쿠홈시스,서비스업
679,크라운제과,음식료품
680,테이팩스,화학
681,티웨이항공,운수창고업
682,포스코퓨처엠,전기전자
683,하나제약,의약품
684,한일홀딩스,비금속광물
685,현대지에프홀딩스,기타금융
686,호전실업,섬유의복
687,화승코퍼레이션,운수장비
688,효성중공업,전기전자
689,효성첨단소재,화학
690,효성티앤씨,화학
691,효성화학,화학
