Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원),총자산(천원)
A005930,삼성전자,12,2011,Annual,"101,313,630,000","54,486,633,000","155,800,263,000"
A005930,삼성전자,12,2012,Annual,"121,480,206,000","59,591,364,000","181,071,570,000"
A005930,삼성전자,12,2013,Annual,"150,016,010,000","64,059,008,000","214,075,018,000"
A005930,삼성전자,12,2014,Annual,"168,088,188,000","62,334,770,000","230,422,958,000"
A005930,삼성전자,12,2015,Annual,"179,059,805,000","63,119,716,000","242,179,521,000"
A005930,삼성전자,12,2016,Annual,"192,963,033,000","69,211,291,000","262,174,324,000"
A005930,삼성전자,12,2017,Annual,"214,491,428,000","87,260,662,000","301,752,090,000"
A005930,삼성전자,12,2018,Annual,"247,753,177,000","91,604,067,000","339,357,244,000"
A005930,삼성전자,12,2019,Annual,"262,880,421,000","89,684,076,000","352,564,497,000"
A005930,삼성전자,12,2020,Annual,"275,948,016,000","102,287,702,000","378,235,718,000"
A005930,삼성전자,12,2021,Annual,"304,899,931,000","121,721,227,000","426,621,158,000"
A005930,삼성전자,12,2022,Annual,"354,749,604,000","93,674,903,000","448,424,507,000"
A005930,삼성전자,12,2023,Annual,"363,677,865,000","92,228,115,000","455,905,980,000"
A005930,삼성전자,12,2024,Annual,,,
A000660,SK하이닉스,12,2011,Annual,"7,875,271,000","9,362,877,000","17,238,148,000"
A000660,SK하이닉스,12,2012,Annual,"9,739,442,000","8,909,251,000","18,648,693,000"
A000660,SK하이닉스,12,2013,Annual,"13,066,859,000","7,730,439,000","20,797,298,000"
A000660,SK하이닉스,12,2014,Annual,"18,036,303,000","8,846,975,000","26,883,278,000"
A000660,SK하이닉스,12,2015,Annual,"21,387,703,000","8,290,203,000","29,677,906,000"
A000660,SK하이닉스,12,2016,Annual,"24,023,530,000","8,192,496,000","32,216,026,000"
A000660,SK하이닉스,12,2017,Annual,"33,820,919,000","11,597,545,000","45,418,464,000"
A000660,SK하이닉스,12,2018,Annual,"46,852,331,000","16,806,004,000","63,658,335,000"
A000660,SK하이닉스,12,2019,Annual,"47,935,882,000","17,312,468,000","65,248,350,000"
A000660,SK하이닉스,12,2020,Annual,"51,909,097,000","19,264,756,000","71,173,853,000"
A000660,SK하이닉스,12,2021,Annual,"62,191,058,000","34,155,467,000","96,346,525,000"
A000660,SK하이닉스,12,2022,Annual,"63,290,542,000","40,580,970,000","103,871,512,000"
A000660,SK하이닉스,12,2023,Annual,"53,503,752,000","46,826,413,000","100,330,165,000"
A000660,SK하이닉스,12,2024,Annual,,,
A373220,LG에너지솔루션,12,2011,Annual,,,
A373220,LG에너지솔루션,12,2012,Annual,,,
A373220,LG에너지솔루션,12,2013,Annual,,,
A373220,LG에너지솔루션,12,2014,Annual,,,
A373220,LG에너지솔루션,12,2015,Annual,,,
A373220,LG에너지솔루션,12,2016,Annual,,,
A373220,LG에너지솔루션,12,2017,Annual,,,
A373220,LG에너지솔루션,12,2018,Annual,,,
A373220,LG에너지솔루션,12,2019,Annual,,,
A373220,LG에너지솔루션,12,2020,Annual,"7,565,405,000","12,376,390,000","19,941,795,000"
A373220,LG에너지솔루션,12,2021,Annual,"8,742,373,000","15,021,764,000","23,764,137,000"
A373220,LG에너지솔루션,12,2022,Annual,"20,593,762,000","17,705,683,000","38,299,445,000"
A373220,LG에너지솔루션,12,2023,Annual,"24,373,509,000","21,063,635,000","45,437,144,000"
A373220,LG에너지솔루션,12,2024,Annual,,,
A207940,삼성바이오로직스,12,2011,Annual,"142,006,147","42,341,620","184,347,767"
A207940,삼성바이오로직스,12,2012,Annual,"456,382,283","113,896,302","570,278,585"
A207940,삼성바이오로직스,12,2013,Annual,"400,095,798","253,329,866","653,425,664"
A207940,삼성바이오로직스,12,2014,Annual,"662,114,006","695,181,201","1,357,295,208"
A207940,삼성바이오로직스,12,2015,Annual,"2,774,834,159","3,185,659,558","5,960,493,716"
A207940,삼성바이오로직스,12,2016,Annual,"4,082,379,460","3,450,636,647","7,533,016,106"
