종목명,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2020,총자산_2021,총자산_2022,총자산_2023,2020 tobinQ,2021 tobinQ,2022 tobinQ,2023 tobinQ,2020대비 2021 tobinQ증가율,2020대비 2022 tobinQ증가율,2020대비 2023 tobinQ증가율,2021대비 2022 tobinQ증가율,2021대비 2023 tobinQ증가율,2022대비 2023 tobinQ증가율
AK홀딩스,3.33E+11,2.56E+11,2.28E+11,2.27E+11,2889429546,3346377386,3721996782,4020733884,4152091609,4548736657,4985365771,5314995084,0.77614028,0.791880396,0.792289867,0.799110219,2.027998814,2.080756094,2.959508584,0.05170863,0.912994257,0.860840499
BYC,2.09E+11,3.21E+11,2.59E+11,2.97E+11,226466839,202622248,153134740,150742490,679134864,684434512,668872026,685663060,0.640888669,0.765230623,0.616613827,0.653169926,19.40149048,-3.787684613,1.916285534,-19.42117724,-14.64404244,5.928523937
CJ,3.12E+12,2.85E+12,2.87E+12,3.17E+12,24628738994,25492465688,30506774819,29310944319,40024965069,41955995804,48240408307,47203762893,0.693319755,0.675598211,0.691948431,0.688064517,-2.556042107,-0.197791115,-0.757981919,2.420110024,1.845224914,-0.561301008
CJCGV,8.85E+11,9.51E+11,8.09E+11,7.08E+11,4066971785,3484207008,3208379046,2932973510,4354856896,3785492376,3601468386,3194214710,1.137004476,1.171562261,1.115450037,1.139756667,3.039371043,-1.89572156,0.242056222,-4.789521281,-2.714801918,2.179087208
CJ대한통운,3.78E+12,2.87E+12,2.14E+12,2.90E+12,5603556698,4977570577,5658991480,5314491024,9643498960,8993928516,9693299818,9357587267,0.972571961,0.873025682,0.804319646,0.878027721,-10.23536389,-17.29972916,-9.721053446,-7.869875684,0.572954411,9.16402768
CJ씨푸드,1.91E+11,1.44E+11,1.08E+11,1.10E+11,69472863,66278140,67719807,90158645,135332382,133389814,143409087,168208969,1.927992836,1.575721067,1.228588862,1.189976053,-18.27142523,-36.27627453,-38.27902103,-22.03005418,-24.48053922,-3.142858467
CJ제일제당,5.96E+12,6.07E+12,5.95E+12,5.06E+12,15445453188,16049003859,18484219204,17826337301,25611892185,26855804277,30013241845,29606279551,0.835683792,0.823588213,0.814174268,0.772873446,-1.447387056,-2.573883165,-7.516042168,-1.143040326,-6.157782052,-5.072725019
CS홀딩스,68114438000,74002296200,66498163200,71462435800,28164319,41521128,33693421,36702820,323725568,353716996,364121571,383909711,0.297408566,0.326598454,0.275159705,0.2817466,9.814743629,-7.480907844,-5.266144916,-15.7498446,-13.73302714,2.393844206
DB,1.60E+11,1.91E+11,1.62E+11,3.49E+11,158786944,164214797,129333891,484173981,472491491,601998919,414317385,879384842,0.674977116,0.590249892,0.702062963,0.947034724,-12.5526069,4.012854119,40.30619723,18.94334459,60.44640355,34.8931326
DB금융투자,1.98E+11,2.79E+11,1.74E+11,1.63E+11,9037534454,8535236409,8710072105,9038074594,9959594273,9583673039,9757370294,10211959858,0.927258902,0.919744797,0.910501686,0.901050702,-0.810356836,-1.807177717,-2.826416744,-1.004964681,-2.032530659,-1.037997487
DB손해보험,3.10E+12,3.82E+12,4.62E+12,5.93E+12,53559522083,58019133909,45510911766,49736681328,60054421461,64751602574,57635178301,60040428591,0.943427989,0.955070322,0.86985333,0.927086009,1.234045707,-7.798651316,-1.732191571,-8.922588206,-2.930078767,6.579578099
DB하이텍,2.28E+12,3.24E+12,1.66E+12,2.60E+12,383996685,443888190,507381719,303296256,1178581197,1549937896,2142165862,2043378694,2.258288773,2.376300495,1.010440768,1.421692545,5.225714442,-55.2563525,-37.04558238,-57.4784094,-40.17202168,40.70023597
DRB동일,1.37E+11,1.05E+11,81314400000,1.17E+11,312819481,356400810,465469810,465541738,776434763,831956562,945238495,963651592,0.579749262,0.554395303,0.57846164,0.604090465,-4.373262924,-0.222099845,4.198574118,4.341006715,8.96384976,4.430514129
DSR제강,70344000000,68112000000,68760000000,60192000000,59997585,87876177,76302600,67790249,206252816,241710739,259398157,262988107,0.631950572,0.645350627,0.559227566,0.486646527,2.120427763,-11.5077047,-22.99294453,-13.34515802,-24.59191843,-12.97880205
E1,3.06E+11,3.31E+11,3.12E+11,4.27E+11,2487985637,2625919366,2829299481,2899257176,3731448422,3999326311,4339655186,4597407646,0.748847182,0.739267351,0.723810152,0.723589343,-1.279277272,-3.343409803,-3.372896423,-2.090880692,-2.120749416,-0.03050658
GKL,1.03E+12,8.13E+11,1.17E+12,8.34E+11,222055672,147757778,227057758,227557872,708445969,531306108,609513167,639368284,1.771547481,1.809050872,2.290562097,1.661000238,2.116984793,29.29724556,-6.240151296,26.61678743,-8.183884498,-27.48503783
GS,3.54E+12,3.70E+12,4.13E+12,3.86E+12,13720298000,16988343000,17434432000,16823230000,24476843000,31191287000,33922242000,34448425000,0.705300434,0.663127591,0.635718358,0.600464317,-5.979415522,-9.865593796,-14.86403693,-4.133327076,-9.449655586,-5.545543981
GS건설,3.03E+12,3.39E+12,1.81E+12,1.29E+12,9458561906,10311003422,11590413888,12822138677,13770677889,15183727265,16946616697,17707298538,0.906950406,0.902283951,0.790745677,0.796709258,-0.514521588,-12.81268841,-12.15514626,-12.3617708,-11.70082796,0.754171832
GS글로벌,1.60E+11,1.96E+11,1.86E+11,2.10E+11,657805876,1100168067,1012698525,953110257,956821701,1442681821,1419412958,1401098380,0.854832071,0.898169678,0.844292366,0.830470775,5.069721762,-1.232956139,-2.849834129,-5.998567232,-7.537429202,-1.637062249
JW중외제약,7.45E+11,5.03E+11,4.43E+11,8.36E+11,341618154,444513607,402213719,379598339,549085029,633053136,627972755,645038796,1.979276609,1.497044329,1.345495823,1.884079448,-24.36406704,-32.02082935,-4.809694596,-10.12318089,25.85328386,40.02863597
JW홀딩스,3.87E+11,2.35E+11,2.10E+11,2.53E+11,789222443,760956331,824316934,827511708,1113573849,1065779475,1157579707,1176266428,1.05663261,0.934254557,0.893452026,0.918639419,-11.58189256,-15.4434553,-13.05971348,-4.367389044,-1.671400758,2.819109777
KB금융,1.80E+13,2.29E+13,1.98E+13,2.18E+13,5.67E+11,6.16E+11,6.35E+11,6.57E+11,6.11E+11,6.64E+11,6.89E+11,7.16E+11,0.958481956,0.961703942,0.950227614,0.948244888,0.336155087,-0.861189027,-1.068050073,-1.193332666,-1.399500668,-0.208657986
KC그린홀딩스,1.17E+11,1.00E+11,63266643600,78746779800,546084292,646639159,534872843,701431383,776133685,906605618,792860678,916578396,0.853907394,0.823992422,0.7544068,0.851185415,-3.503303958,-11.65238698,-0.318767363,-8.444934758,3.300150912,12.82843897
KEC,3.43E+11,5.37E+11,2.83E+11,3.13E+11,199573553,121440786,96489868,91040501,368345953,400589167,401136513,447745861,1.471737503,1.643441312,0.946066627,0.901467855,11.66674142,-35.71770606,-38.74805435,-42.43380516,-45.14754808,-4.714125933
주성코퍼레이션,53879690800,71952027500,1.51E+11,1.51E+11,24623437,23434919,18158117,11872345,32146507,33044553,32951332,34134612,2.442042235,2.886616336,5.131207351,4.769186918,18.20501278,110.1195171,95.29502192,77.75855031,65.21720808,-7.055268063
KG케미칼,3.10E+11,4.26E+11,2.85E+11,4.69E+11,2815857534,3097379164,3761420644,4181830349,4323538345,4884892280,7076647393,7818145771,0.723070616,0.721359031,0.571791757,0.594878055,-0.236710548,-20.92172686,-17.72891308,-20.7340961,-17.53370667,4.037536037
KISCO홀딩스,2.62E+11,2.69E+11,2.53E+11,3.85E+11,229774076,267377534,242025489,203567063,1564589807,1688093089,1745832248,1802517205,0.314548308,0.317641567,0.283638643,0.326523964,0.983397217,-9.826683005,3.807255056,-10.70480942,2.796358527,15.11970338
그린케미칼,2.39E+11,2.22E+11,2.30E+11,1.61E+11,63603656,88296552,74168153,81009099,176839793,211689251,196645335,201377924,1.712757354,1.468079038,1.545158206,1.203156206,-14.28563804,-9.785341055,-29.75325998,5.250341813,-18.04554287,-22.1337853
KPX케미칼,2.66E+11,2.59E+11,2.47E+11,2.11E+11,103372859,199075058,181591489,175893523,637003840,777143204,776778117,822466229,0.579413868,0.589980142,0.55154938,0.469847283,1.82361427,-4.809081991,-18.90990038,-6.51390771,-20.36218691,-14.81319719
KPX홀딩스,2.55E+11,2.68E+11,2.28E+11,2.17E+11,361946207,445438443,448980402,465634459,1698659221,1814858039,1819893803,1928646650,0.363295474,0.393255796,0.372060942,0.353801698,8.246819514,2.412765412,-2.613238281,-5.389584774,-10.03268072,-4.907594939
KR모터스,1.04E+11,83158823320,53837540400,34417570470,106028407,118211175,109161230,116165786,155873461,168436811,149185246,138570417,1.347653447,1.195522506,1.0925931,1.086691949,-11.28858029,-18.92625641,-19.36413986,-8.609574903,-9.103179276,-0.540105129
KSS해운,2.40E+11,2.75E+11,2.14E+11,2.14E+11,800671677,1103404278,1252892415,1235554637,1069527678,1446228923,1659172643,1656034880,0.972995555,0.952931625,0.883835941,0.875041133,-2.062078293,-9.1634143,-10.06730423,-7.2508543,-8.173775594,-0.995072556
다올투자증권,1.92E+11,3.13E+11,1.69E+11,2.38E+11,3766921211,8261480968,8517287853,8381319281,4356250899,9229156625,9503703776,9211837352,0.908883189,0.929067662,0.91397702,0.935630098,2.22079942,0.560449385,2.942832316,-1.624278077,0.70634636,2.369105294
LF,4.30E+11,5.04E+11,4.65E+11,3.88E+11,1065019216,1042768391,927192270,1042077874,2479439884,2541137895,2584040376,2755627762,0.60289714,0.60884472,0.538733173,0.518971718,0.986499931,-10.64260609,-13.92035503,-11.51550557,-14.76123538,-3.668133982
LG,1.53E+13,1.29E+13,1.25E+13,1.37E+13,3420978000,3729575000,3399491000,3236596000,24282268000,25669796000,29633677000,30253085000,0.771817443,0.648519957,0.53537369,0.559684938,-15.97495458,-30.63467344,-27.48480318,-17.44684431,-13.69811649,4.540986698
LG디스플레이,6.64E+12,8.80E+12,4.45E+12,4.56E+12,22334584000,23392014000,24366792000,26988754000,35066012000,38154515000,35686019000,35759298000,0.826214968,0.843787007,0.80764408,0.88221318,2.126811879,-2.247706561,6.777680573,-4.283418193,4.554013396,9.232915993
LG생활건강,2.68E+13,1.84E+13,1.19E+13,5.88E+12,1952220085,2057406606,1834093664,1671359346,6801415784,7555239418,7302929652,7220285812,4.228725459,2.711231964,1.885940892,1.04535742,-35.88536333,-55.40167101,-75.27961014,-30.43970722,-61.44345325,-44.57104016
