,종목명,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2020,총자산_2021,총자산_2022,총자산_2023
0,AK홀딩스,2889429546.0,3346377386.0,3721996782.0,4020733884.0,4152091609.0,4548736657.0,4985365771.0,5314995084.0
1,BYC,226466839.0,202622248.0,153134740.0,150742490.0,679134864.0,684434512.0,668872026.0,685663060.0
2,CJ,24628738994.0,25492465688.0,30506774819.0,29310944319.0,40024965069.0,41955995804.0,48240408307.0,47203762893.0
3,CJCGV,4066971785.0,3484207008.0,3208379046.0,2932973510.0,4354856896.0,3785492376.0,3601468386.0,3194214710.0
4,CJ대한통운,5603556698.0,4977570577.0,5658991480.0,5314491024.0,9643498960.0,8993928516.0,9693299818.0,9357587267.0
5,CJ씨푸드,69472863.0,66278140.0,67719807.0,90158645.0,135332382.0,133389814.0,143409087.0,168208969.0
6,CJ제일제당,15445453188.0,16049003859.0,18484219204.0,17826337301.0,25611892185.0,26855804277.0,30013241845.0,29606279551.0
7,CS홀딩스,28164319.0,41521128.0,33693421.0,36702820.0,323725568.0,353716996.0,364121571.0,383909711.0
8,DB,158786944.0,164214797.0,129333891.0,484173981.0,472491491.0,601998919.0,414317385.0,879384842.0
9,DB금융투자,9037534454.0,8535236409.0,8710072105.0,9038074594.0,9959594273.0,9583673039.0,9757370294.0,10211959858.0
10,DB손해보험,53559522083.0,58019133909.0,45510911766.0,49736681328.0,60054421461.0,64751602574.0,57635178301.0,60040428591.0
11,DB하이텍,383996685.0,443888190.0,507381719.0,303296256.0,1178581197.0,1549937896.0,2142165862.0,2043378694.0
12,DRB동일,312819481.0,356400810.0,465469810.0,465541738.0,776434763.0,831956562.0,945238495.0,963651592.0
13,DSR제강,59997585.0,87876177.0,76302600.0,67790249.0,206252816.0,241710739.0,259398157.0,262988107.0
14,E1,2487985637.0,2625919366.0,2829299481.0,2899257176.0,3731448422.0,3999326311.0,4339655186.0,4597407646.0
15,GKL,222055672.0,147757778.0,227057758.0,227557872.0,708445969.0,531306108.0,609513167.0,639368284.0
16,GS,13720298000.0,16988343000.0,17434432000.0,16823230000.0,24476843000.0,31191287000.0,33922242000.0,34448425000.0
17,GS건설,9458561906.0,10311003422.0,11590413888.0,12822138677.0,13770677889.0,15183727265.0,16946616697.0,17707298538.0
18,GS글로벌,657805876.0,1100168067.0,1012698525.0,953110257.0,956821701.0,1442681821.0,1419412958.0,1401098380.0
19,JW중외제약,341618154.0,444513607.0,402213719.0,379598339.0,549085029.0,633053136.0,627972755.0,645038796.0
20,JW홀딩스,789222443.0,760956331.0,824316934.0,827511708.0,1113573849.0,1065779475.0,1157579707.0,1176266428.0
21,KB금융,567318000000.0,615602000000.0,634557000000.0,656865000000.0,610720000000.0,663896000000.0,688665000000.0,715738000000.0
22,KC그린홀딩스,546084292.0,646639159.0,534872843.0,701431383.0,776133685.0,906605618.0,792860678.0,916578396.0
23,KEC,199573553.0,121440786.0,96489868.0,91040501.0,368345953.0,400589167.0,401136513.0,447745861.0
24,주성코퍼레이션,24623437.0,23434919.0,18158117.0,11872345.0,32146507.0,33044553.0,32951332.0,34134612.0
25,KG케미칼,2815857534.0,3097379164.0,3761420644.0,4181830349.0,4323538345.0,4884892280.0,7076647393.0,7818145771.0
26,KISCO홀딩스,229774076.0,267377534.0,242025489.0,203567063.0,1564589807.0,1688093089.0,1745832248.0,1802517205.0
27,그린케미칼,63603656.0,88296552.0,74168153.0,81009099.0,176839793.0,211689251.0,196645335.0,201377924.0
28,KPX케미칼,103372859.0,199075058.0,181591489.0,175893523.0,637003840.0,777143204.0,776778117.0,822466229.0
29,KPX홀딩스,361946207.0,445438443.0,448980402.0,465634459.0,1698659221.0,1814858039.0,1819893803.0,1928646650.0
30,KR모터스,106028407.0,118211175.0,109161230.0,116165786.0,155873461.0,168436811.0,149185246.0,138570417.0
31,KSS해운,800671677.0,1103404278.0,1252892415.0,1235554637.0,1069527678.0,1446228923.0,1659172643.0,1656034880.0
32,다올투자증권,3766921211.0,8261480968.0,8517287853.0,8381319281.0,4356250899.0,9229156625.0,9503703776.0,9211837352.0
33,LF,1065019216.0,1042768391.0,927192270.0,1042077874.0,2479439884.0,2541137895.0,2584040376.0,2755627762.0
34,LG,3420978000.0,3729575000.0,3399491000.0,3236596000.0,24282268000.0,25669796000.0,29633677000.0,30253085000.0
35,LG디스플레이,22334584000.0,23392014000.0,24366792000.0,26988754000.0,35066012000.0,38154515000.0,35686019000.0,35759298000.0
36,LG생활건강,1952220085.0,2057406606.0,1834093664.0,1671359346.0,6801415784.0,7555239418.0,7302929652.0,7220285812.0
37,LG유플러스,10698976000.0,11411957000.0,11325133000.0,11343820000.0,18350190000.0,19370515000.0,19774800000.0,20100605000.0
38,LG이노텍,3610912435.0,4427146647.0,5527824867.0,6489730988.0,6038600272.0,7741352841.0,9793617826.0,11204305524.0
39,LG전자,30662102000.0,33383445000.0,32664144000.0,36742257000.0,48204227000.0,53481478000.0,55156141000.0,60240793000.0
40,LX하우시스,1548157000.0,1683973000.0,1703786000.0,1551810000.0,2385372000.0,2547391000.0,2483729000.0,2384792000.0
41,LG화학,22598454000.0,27925314000.0,30492696000.0,36528509000.0,41388894000.0,51135302000.0,67973823000.0,77466694000.0
42,LS,7212043000.0,7915665000.0,11363417000.0,11495353000.0,11660540000.0,12625931000.0,17257356000.0,18245954000.0
43,LS네트웍스,735193129.0,755744195.0,748565972.0,745211526.0,1228401794.0,1309373198.0,1300442455.0,1309219122.0
44,LSELECTRIC,1126926171.0,1323312293.0,1773513972.0,2008849631.0,2540396072.0,2796731558.0,3322804978.0,3732891934.0
45,MH에탄올,369253871.0,366757413.0,352042677.0,346161545.0,449679366.0,451460752.0,447440404.0,445231563.0
46,NAVER,8759106629.0,9663630408.0,10448720409.0,11499828149.0,17014238664.0,33691006757.0,33899042889.0,35737826964.0
47,NH투자증권,56935559000.0,51718694000.0,46200211000.0,49084465000.0,62738433000.0,58541999000.0,53428267000.0,56697893000.0
48,NICE,1480757599.0,1763338212.0,2058288744.0,2166601590.0,2730355253.0,3083783180.0,3378563521.0,3484123286.0
49,NI스틸,165936197.0,199203740.0,209249323.0,213796827.0,287376146.0,341056807.0,397444643.0,447987063.0
50,SNT에너지,99578947.0,87294232.0,170636296.0,147149187.0,335351657.0,332143488.0,429772702.0,423163460.0
51,SNT모티브,332203457.0,292219245.0,346460014.0,267853621.0,1092927846.0,1149796359.0,1225486690.0,1211181269.0
52,SNT다이내믹스,235915632.0,226675590.0,271939015.0,356207739.0,833364508.0,879625081.0,930994305.0,1056904317.0
53,SNT홀딩스,652956674.0,592194060.0,742131375.0,748975381.0,2270485740.0,2372324440.0,2558426987.0,2701797834.0
54,S-Oil,10008033000.0,11705193000.0,11129666000.0,12538558000.0,15690510000.0,18693235000.0,19613135000.0,21576123000.0
55,SBS,597980910.0,740552349.0,534612152.0,465277013.0,1169090151.0,1462149708.0,1407888697.0,1346398452.0
56,SG세계물산,70956781.0,64147889.0,58390586.0,60692456.0,267195626.0,308412903.0,303815670.0,303534567.0
57,SG글로벌,72419539.0,64041656.0,64775256.0,57195064.0,198865922.0,187021454.0,185935448.0,198246797.0
58,SH에너지화학,27348204.0,27889956.0,30058824.0,30661330.0,117356594.0,119629058.0,124160292.0,120793105.0
59,SIMPAC,273291527.0,356567304.0,365415682.0,475335058.0,737277692.0,903229593.0,965098439.0,1057913470.0
60,SK,85807988000.0,99815712000.0,122697000000.0,129091000000.0,137668000000.0,165368000000.0,194506000000.0,206970000000.0
61,SKC,3491292259.0,3897771812.0,4151241804.0,4507897883.0,5406405841.0,6180132504.0,6393092565.0,7032322132.0
62,SK가스,2600204915.0,3004172080.0,3490881745.0,3493505644.0,4498920424.0,5121535472.0,5831776892.0,6081811411.0
63,SK네트웍스,6528232000.0,7021921000.0,7048547000.0,6954518000.0,8773482000.0,9410916000.0,9499259000.0,9110359000.0
64,SK디스커버리,3005272711.0,3812564887.0,5826776624.0,6181138047.0,5621634329.0,6881873215.0,11780098492.0,12250710295.0
65,SK이노베이션,23039681023.0,29924245706.0,43976612895.0,50815545738.0,38498146106.0,49544942070.0,67218924277.0,80835513251.0
66,SK증권,4778756884.0,5752726009.0,5823507503.0,5801855293.0,5359425406.0,6371402201.0,6464840830.0,6449093772.0
67,SK텔레콤,23510714000.0,18576139000.0,19153066000.0,17890828000.0,47906957000.0,30911277000.0,31308262000.0,30119227000.0
68,SK하이닉스,19264756000.0,34155467000.0,40580970000.0,46826413000.0,71173853000.0,96346525000.0,103872000000.0,100330000000.0
69,SPC삼립,878876229.0,887952393.0,906290707.0,874719615.0,1181871545.0,1222983111.0,1295399586.0,1293732305.0
70,STX,543156000.0,553619000.0,639377000.0,430038000.0,650840000.0,676149000.0,741784000.0,578680000.0
71,STX엔진,542790928.0,553504812.0,593142012.0,639500162.0,809261679.0,837479879.0,853387673.0,899134400.0
72,STX중공업,293443430.0,276445468.0,224154880.0,228637993.0,467363346.0,430406730.0,416290994.0,454013908.0
73,TCC스틸,185628052.0,211767466.0,298677336.0,324690124.0,306758932.0,366996615.0,507482317.0,559737446.0
74,WISCOM,13938143.0,15140908.0,15926877.0,12077939.0,130666515.0,135283854.0,128503266.0,122990007.0
