종목명,총부채_2011,총부채_2012,총부채_2013,총부채_2014,총부채_2015,총부채_2016,총부채_2017,총부채_2018,총부채_2019,총부채_2020,총부채_2021,총부채_2022,총부채_2023,총자산_2011,총자산_2012,총자산_2013,총자산_2014,총자산_2015,총자산_2016,총자산_2017,총자산_2018,총자산_2019,총자산_2020,총자산_2021,총자산_2022,총자산_2023
AK홀딩스,446398508.0,551197541.0,1739973013.0,1946141284.0,1593921534.0,1730525758.0,1792720288.0,1924033598.0,2898025667.0,2889429546.0,3346377386.0,3721996782.0,4020733884.0,797395267.0,1062012676.0,2374994472.0,2773153876.0,2495514993.0,2741946503.0,2944784347.0,3397931239.0,4327964555.0,4152091609.0,4548736657.0,4985365771.0,5314995084.0
BYC,169119743.0,172109096.0,177223435.0,242958473.0,313347277.0,339167415.0,346484954.0,331027820.0,259555399.0,226466839.0,202622248.0,153134740.0,150742490.0,477929172.0,505456934.0,525157538.0,608388101.0,691464609.0,733018518.0,745823200.0,738431267.0,693882853.0,679134864.0,684434512.0,668872026.0,685663060.0
CJ,12092041534.0,13000982677.0,13522759512.0,13969444303.0,13698687478.0,15755138247.0,17333214255.0,19207738403.0,25766279658.0,24628738994.0,25492465688.0,30506774819.0,29310944319.0,19656075093.0,21385040866.0,22123704854.0,23039318812.0,23562143506.0,27009587950.0,29325383064.0,31729548648.0,40381364593.0,40024965069.0,41955995804.0,48240408307.0,47203762893.0
CJCGV,625654643.0,659978085.0,720542557.0,863739963.0,972407247.0,1621292084.0,1682438285.0,1683905312.0,3922936968.0,4066971785.0,3484207008.0,3208379046.0,2932973510.0,933435854.0,1007974719.0,1099174954.0,1254918923.0,1417577427.0,2541773014.0,2460100846.0,2234185993.0,4524046865.0,4354856896.0,3785492376.0,3601468386.0,3194214710.0
CJ대한통운,1330470686.0,1341438819.0,2360513240.0,2262195616.0,2128783996.0,2781927821.0,3526210932.0,4737828935.0,5454770838.0,5603556698.0,4977570577.0,5658991480.0,5314491024.0,3595163312.0,3669501369.0,4608720687.0,4542856099.0,4500489064.0,5521193039.0,6285983376.0,7868566775.0,9110016110.0,9643498960.0,8993928516.0,9693299818.0,9357587267.0
CJ씨푸드,47942613.0,45000536.0,36742740.0,53865255.0,43591128.0,64456088.0,60161191.0,64748289.0,62991686.0,69472863.0,66278140.0,67719807.0,90158645.0,81363764.0,84020228.0,81266483.0,101198140.0,93610372.0,119740511.0,120215051.0,126515257.0,127344142.0,135332382.0,133389814.0,143409087.0,168208969.0
CJ제일제당,6643045604.0,7142847716.0,8191910984.0,8432650582.0,8366031773.0,9705761673.0,10724270560.0,12188810794.0,16799151931.0,15445453188.0,16049003859.0,18484219204.0,17826337301.0,11339519300.0,12363882660.0,13004490092.0,13382531013.0,13751265058.0,15766238539.0,16868123895.0,19497022884.0,26280632351.0,25611892185.0,26855804277.0,30013241845.0,29606279551.0
CS홀딩스,25960045.0,26710404.0,30123447.0,35962320.0,39069233.0,32038731.0,33003455.0,29665433.0,28138800.0,28164319.0,41521128.0,33693421.0,36702820.0,188753459.0,218181889.0,233929444.0,260355830.0,284933124.0,293927435.0,302433875.0,304418193.0,314291513.0,323725568.0,353716996.0,364121571.0,383909711.0
DB,430206277.0,397390951.0,392079771.0,255603853.0,110370381.0,63423582.0,58372533.0,150848167.0,152166923.0,158786944.0,164214797.0,129333891.0,484173981.0,686746431.0,693327543.0,638356756.0,365853366.0,276200611.0,214971054.0,197512862.0,288416201.0,363158130.0,472491491.0,601998919.0,414317385.0,879384842.0
DB금융투자,3713299875.0,5848690834.0,5536611794.0,5795339866.0,5954145397.0,5639570468.0,6290659471.0,6282325285.0,7610866808.0,9037534454.0,8535236409.0,8710072105.0,9038074594.0,4333496523.0,6552570265.0,6216833538.0,6490286503.0,6639172275.0,6335596389.0,6998331079.0,7043191614.0,8422447069.0,9959594273.0,9583673039.0,9757370294.0,10211959858.0
DB손해보험,15403498659.0,25183444357.0,27455719181.0,31340890882.0,36051445686.0,40518709028.0,43542601178.0,45636344236.0,49634011997.0,53559522083.0,58019133909.0,45510911766.0,49736681328.0,17664260394.0,28250023438.0,30313490065.0,34932066498.0,40018390609.0,44863439973.0,48375610761.0,50929102340.0,55779051736.0,60054421461.0,64751602574.0,57635178301.0,60040428591.0
DB하이텍,890982181.0,866861695.0,853635085.0,864173902.0,730586221.0,644871257.0,538152775.0,508142309.0,444239080.0,383996685.0,443888190.0,507381719.0,303296256.0,1199043869.0,1157755031.0,1058391832.0,984876636.0,984643712.0,986788572.0,993950720.0,1066533840.0,1088889810.0,1178581197.0,1549937896.0,2142165862.0,2043378694.0
DRB동일,295096996.0,220885847.0,277609051.0,282962974.0,253964151.0,270797494.0,240358582.0,267955160.0,283757307.0,312819481.0,356400810.0,465469810.0,465541738.0,522115419.0,368994998.0,567066429.0,617244613.0,639083096.0,701206828.0,677426447.0,716166879.0,745278927.0,776434763.0,831956562.0,945238495.0,963651592.0
DSR제강,104096152.0,99996952.0,102542802.0,93318465.0,66215490.0,63775623.0,66034488.0,69290286.0,59774432.0,59997585.0,87876177.0,76302600.0,67790249.0,204273623.0,200277496.0,203893139.0,202111793.0,184284619.0,190208395.0,196090792.0,205433843.0,201633524.0,206252816.0,241710739.0,259398157.0,262988107.0
E1,2141052324.0,2312266489.0,2408362372.0,2411396991.0,2273755026.0,2360951582.0,2209052239.0,2249487466.0,2391690338.0,2487985637.0,2625919366.0,2829299481.0,2899257176.0,3270355545.0,3512419789.0,3629693275.0,3658165076.0,3509763920.0,3544179098.0,3460084198.0,3565388941.0,3594979133.0,3731448422.0,3999326311.0,4339655186.0,4597407646.0
GKL,155037919.0,171240905.0,167377759.0,219601245.0,194278364.0,211451259.0,199851863.0,203672777.0,324258160.0,222055672.0,147757778.0,227057758.0,227557872.0,376356788.0,502672156.0,562914254.0,651013158.0,650518244.0,730177649.0,731904311.0,765759332.0,909430532.0,708445969.0,531306108.0,609513167.0,639368284.0
GS,3635551000.0,5539444000.0,5211722000.0,7854856000.0,10925156000.0,11420898000.0,12341065000.0,12105993000.0,13718283000.0,13720298000.0,16988343000.0,17434432000.0,16823230000.0,10424837000.0,12712426000.0,12636266000.0,15072770000.0,19023008000.0,20341172000.0,22003689000.0,22630978000.0,24734086000.0,24476843000.0,31191287000.0,33922242000.0,34448425000.0
GS건설,7305538734.0,7847483650.0,9268033517.0,9513096912.0,9657468064.0,10023424375.0,10456899427.0,8408589419.0,9028178350.0,9458561906.0,10311003422.0,11590413888.0,12822138677.0,11263576376.0,11775952203.0,12427312942.0,13094708930.0,13005492988.0,13376589310.0,13696614624.0,12033275313.0,13171205734.0,13770677889.0,15183727265.0,16946616697.0,17707298538.0
GS글로벌,807889403.0,871082337.0,443643022.0,604901681.0,597989808.0,972158080.0,1010185598.0,932911606.0,825321064.0,657805876.0,1100168067.0,1012698525.0,953110257.0,1066064452.0,1144032690.0,700315672.0,856611062.0,800714753.0,1326423033.0,1397854513.0,1336006542.0,1205244855.0,956821701.0,1442681821.0,1419412958.0,1401098380.0
JW중외제약,496840929.0,439482599.0,388629268.0,369219165.0,388074345.0,374764691.0,360096626.0,333680091.0,343116046.0,341618154.0,444513607.0,402213719.0,379598339.0,667091705.0,603145264.0,589368538.0,589243249.0,613481028.0,651077844.0,630873131.0,593791187.0,573207865.0,549085029.0,633053136.0,627972755.0,645038796.0
JW홀딩스,848163133.0,871669889.0,778416999.0,822989888.0,812556924.0,919038933.0,976649666.0,874638659.0,891301821.0,789222443.0,760956331.0,824316934.0,827511708.0,1094786336.0,1077132172.0,1014442067.0,1030745502.0,1082862853.0,1196629709.0,1347252529.0,1275635934.0,1226595425.0,1113573849.0,1065779475.0,1157579707.0,1176266428.0
KB금융,254501000000.0,260988000000.0,266185000000.0,280843000000.0,300163000000.0,344412000000.0,402741000000.0,443875000000.0,479419000000.0,567318000000.0,615602000000.0,634557000000.0,656865000000.0,277601000000.0,285751000000.0,292168000000.0,308356000000.0,329065000000.0,375674000000.0,436786000000.0,479588000000.0,518538000000.0,610720000000.0,663896000000.0,688665000000.0,715738000000.0
KC그린홀딩스,250982135.0,293082382.0,217906899.0,243410230.0,254493177.0,254431616.0,271769033.0,384112880.0,521778677.0,546084292.0,646639159.0,534872843.0,701431383.0,416823410.0,485305389.0,429933873.0,437508862.0,450314764.0,462751008.0,519933655.0,670840467.0,816143779.0,776133685.0,906605618.0,792860678.0,916578396.0
KEC,312531013.0,254745797.0,220305018.0,195253724.0,189474238.0,180908585.0,137201102.0,125768863.0,120251347.0,199573553.0,121440786.0,96489868.0,91040501.0,479025819.0,409366183.0,376185399.0,346623526.0,340459280.0,383108805.0,359839158.0,351174343.0,334212514.0,368345953.0,400589167.0,401136513.0,447745861.0
주성코퍼레이션,120830676.0,91234366.0,68930351.0,62034744.0,56149297.0,55972707.0,53971826.0,64002670.0,30562180.0,24623437.0,23434919.0,18158117.0,11872345.0,146573043.0,105726256.0,74487642.0,67495668.0,68293126.0,78594380.0,64607126.0,64916025.0,27113647.0,32146507.0,33044553.0,32951332.0,34134612.0
KG케미칼,574164639.0,674103942.0,498871936.0,495751880.0,678433511.0,753316753.0,902897458.0,904440514.0,2799967272.0,2815857534.0,3097379164.0,3761420644.0,4181830349.0,854039979.0,1011500974.0,911141519.0,928917994.0,1142452651.0,1263528834.0,1480673142.0,1508599076.0,4151542217.0,4323538345.0,4884892280.0,7076647393.0,7818145771.0
KISCO홀딩스,96999005.0,279325467.0,241825209.0,250327751.0,205063812.0,219986880.0,230003665.0,266111097.0,229757770.0,229774076.0,267377534.0,242025489.0,203567063.0,779731867.0,1398716024.0,1377429174.0,1379712311.0,1407103545.0,1493955210.0,1488800280.0,1545159970.0,1557313864.0,1564589807.0,1688093089.0,1745832248.0,1802517205.0
그린케미칼,39599286.0,60107620.0,55843893.0,80575082.0,102629659.0,90866908.0,85528586.0,81834672.0,78322382.0,63603656.0,88296552.0,74168153.0,81009099.0,129851420.0,158667057.0,162058008.0,196396573.0,218566708.0,206368678.0,195270243.0,189074022.0,186816236.0,176839793.0,211689251.0,196645335.0,201377924.0
KPX케미칼,137657049.0,113174427.0,122417908.0,129551771.0,100999621.0,101955026.0,105300084.0,91621793.0,55559442.0,103372859.0,199075058.0,181591489.0,175893523.0,444989970.0,450374133.0,471662716.0,512061535.0,507600643.0,531964308.0,548114232.0,535273094.0,537885808.0,637003840.0,777143204.0,776778117.0,822466229.0
